Time: 13:14:27 | Second: 1 | Number of Sorts: 115
Time: 13:14:28 | Second: 2 | Number of Sorts: 85188
Time: 13:14:29 | Second: 3 | Number of Sorts: 117074
Time: 13:14:30 | Second: 4 | Number of Sorts: 135081
Time: 13:14:31 | Second: 5 | Number of Sorts: 164442
Time: 13:14:32 | Second: 6 | Number of Sorts: 143756
Time: 13:14:33 | Second: 7 | Number of Sorts: 164405
Time: 13:14:34 | Second: 8 | Number of Sorts: 177039
Time: 13:14:35 | Second: 9 | Number of Sorts: 176891
Time: 13:14:36 | Second: 10 | Number of Sorts: 176986
Time: 13:14:37 | Second: 11 | Number of Sorts: 130861
Time: 13:14:38 | Second: 12 | Number of Sorts: 177035
Time: 13:14:39 | Second: 13 | Number of Sorts: 177386
Time: 13:14:40 | Second: 14 | Number of Sorts: 177414
Time: 13:14:41 | Second: 15 | Number of Sorts: 177101
Time: 13:14:42 | Second: 16 | Number of Sorts: 172726
Time: 13:14:43 | Second: 17 | Number of Sorts: 150066
Time: 13:14:44 | Second: 18 | Number of Sorts: 150470
Time: 13:14:45 | Second: 19 | Number of Sorts: 127087
Time: 13:14:46 | Second: 20 | Number of Sorts: 96298
Time: 13:14:47 | Second: 21 | Number of Sorts: 99231
Time: 13:14:48 | Second: 22 | Number of Sorts: 101780
Time: 13:14:49 | Second: 23 | Number of Sorts: 103924
Time: 13:14:50 | Second: 24 | Number of Sorts: 103035
Time: 13:14:51 | Second: 25 | Number of Sorts: 102794
Time: 13:14:52 | Second: 26 | Number of Sorts: 121979
Time: 13:14:53 | Second: 27 | Number of Sorts: 132522
Time: 13:14:54 | Second: 28 | Number of Sorts: 154266
Time: 13:14:55 | Second: 29 | Number of Sorts: 176973
Time: 13:14:56 | Second: 30 | Number of Sorts: 176889
Time: 13:14:57 | Second: 31 | Number of Sorts: 177274
Time: 13:14:58 | Second: 32 | Number of Sorts: 177004
Time: 13:14:59 | Second: 33 | Number of Sorts: 177220
Time: 13:15:00 | Second: 34 | Number of Sorts: 176817
Time: 13:15:01 | Second: 35 | Number of Sorts: 170708
