Time: 12:31:01 | Second: 1 | Number of Sorts: 218
Time: 12:31:02 | Second: 2 | Number of Sorts: 124672
Time: 12:31:03 | Second: 3 | Number of Sorts: 117952
Time: 12:31:04 | Second: 4 | Number of Sorts: 164666
Time: 12:31:05 | Second: 5 | Number of Sorts: 176658
Time: 12:31:06 | Second: 6 | Number of Sorts: 176823
Time: 12:31:07 | Second: 7 | Number of Sorts: 176773
Time: 12:31:08 | Second: 8 | Number of Sorts: 177080
Time: 12:31:09 | Second: 9 | Number of Sorts: 177117
Time: 12:31:10 | Second: 10 | Number of Sorts: 177039
Time: 12:31:11 | Second: 11 | Number of Sorts: 138866
Time: 12:31:12 | Second: 12 | Number of Sorts: 170266
Time: 12:31:13 | Second: 13 | Number of Sorts: 176765
Time: 12:31:14 | Second: 14 | Number of Sorts: 176888
Time: 12:31:15 | Second: 15 | Number of Sorts: 176928
Time: 12:31:16 | Second: 16 | Number of Sorts: 176892
Time: 12:31:17 | Second: 17 | Number of Sorts: 167254
Time: 12:31:18 | Second: 18 | Number of Sorts: 155776
Time: 12:31:19 | Second: 19 | Number of Sorts: 154427
Time: 12:31:20 | Second: 20 | Number of Sorts: 154503
Time: 12:31:21 | Second: 21 | Number of Sorts: 153784
Time: 12:31:22 | Second: 22 | Number of Sorts: 160026
Time: 12:31:23 | Second: 23 | Number of Sorts: 161402
Time: 12:31:24 | Second: 24 | Number of Sorts: 82221
Time: 12:31:25 | Second: 25 | Number of Sorts: 131204
Time: 12:31:26 | Second: 26 | Number of Sorts: 139326
Time: 12:31:27 | Second: 27 | Number of Sorts: 168107
Time: 12:31:28 | Second: 28 | Number of Sorts: 177097
Time: 12:31:29 | Second: 29 | Number of Sorts: 177068
Time: 12:31:30 | Second: 30 | Number of Sorts: 177132
Time: 12:31:31 | Second: 31 | Number of Sorts: 177097
Time: 12:31:32 | Second: 32 | Number of Sorts: 176780
Time: 12:31:33 | Second: 33 | Number of Sorts: 176800
Time: 12:31:34 | Second: 34 | Number of Sorts: 176981
Time: 12:31:35 | Second: 35 | Number of Sorts: 176967
