Linux 4.4.0-142-generic (vm) 	2025-02-11 	_x86_64_	(1 CPU)

18:05:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:05:32     all   67.65    0.00   24.51    0.00    0.00    0.00    0.00    0.00    0.00    7.84
18:05:33     all   19.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   69.00
18:05:34     all    4.08    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00   91.84
18:05:35     all   11.76    0.00    4.90    0.98    0.00    0.00    0.00    0.00    0.00   82.35
18:05:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:37     all    0.00    0.00    0.00    9.09    0.00    0.00    0.00    0.00    0.00   90.91
18:05:38     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:05:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:43     all   52.00    0.00   16.00   31.00    0.00    0.00    1.00    0.00    0.00    0.00
18:05:44     all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
18:05:45     all   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:46     all   98.98    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:47     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:48     all   96.04    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:49     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:50     all   65.00   30.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:51     all   50.00   49.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:52     all   51.00   49.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:53     all   50.51   48.48    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:54     all   53.47   31.68   13.86    0.00    0.00    0.99    0.00    0.00    0.00    0.00
18:05:55     all   54.55   38.38    7.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:56     all   72.28    5.94   21.78    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:57     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:58     all   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:59     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:00     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:01     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:02     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:03     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:04     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:05     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:06     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:07     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:08     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:09     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:10     all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:11     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:12     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:13     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:14     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:15     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:06:16     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
