  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:16:20      0.00      0.00
18:16:21      0.33      0.00
18:16:22      0.00      0.00
18:16:23      0.06      0.06
18:16:24      0.00      0.00
18:16:25      0.33      0.00
18:16:26      0.12      0.00
18:16:27      0.00      0.00
18:16:28      0.00      0.00
18:16:29      0.24      0.11
18:16:30      3.42      3.72
18:16:31      0.00      0.06
18:16:32      0.00      0.00
18:16:33      0.00      0.00
18:16:34      0.00      0.00
18:16:35      0.00      0.00
18:16:36      0.33      0.00
18:16:37      0.00      0.00
18:16:38      0.00      0.00
18:16:39      0.33      0.00
18:16:40      2.94      3.14
18:16:41      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:16:42      0.86      0.84
18:16:43      0.33      0.00
18:16:44      0.00      0.00
18:16:45      0.00      0.00
18:16:46      0.00      0.00
18:16:47      0.00      0.00
18:16:49      0.00      0.00
18:16:50      0.00      0.00
18:16:51      0.00      0.00
18:16:52      0.12      0.00
18:16:53      0.06      0.00
18:16:54      0.00      0.00
18:16:55      0.33      0.00
18:16:56      0.00      0.00
18:16:57      0.12      0.00
18:16:58      0.33      0.00
18:16:59      0.00      0.00
18:17:00      0.00      0.00
18:17:01      0.06      0.00
18:17:02      0.51      0.00
18:17:03      0.06      0.00
18:17:04      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:17:05      0.00      0.00
18:17:06      0.00      0.00
18:17:07      0.00      0.00
18:17:08      0.00      0.00
18:17:09      0.00      0.00
18:17:10      0.00      0.00
18:17:11      0.00      0.00
18:17:12      0.00      0.00
18:17:13      0.33      0.00
18:17:14      0.00      0.00
18:17:15      0.00      0.00
18:17:16      0.33      0.00
18:17:17      0.00      0.00
18:17:18      0.00      0.00
18:17:19      0.00      0.00
18:17:20      0.33      0.00
18:17:21      0.00      0.00
18:17:22      0.00      0.00
18:17:23      0.00      0.00
18:17:24      0.00      0.00
18:17:25      0.00      0.00
18:17:26      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:17:27      0.06      0.00
18:17:28      0.06      0.00
18:17:29      0.00      0.00
18:17:30      0.00      0.00
18:17:31      0.39      0.00
18:17:32      0.06      0.00
18:17:33      0.00      0.00
18:17:34      0.33      0.00
18:17:35      0.00      0.06
18:17:36      0.00      0.08
18:17:37      0.00      0.00
18:17:38      0.33      0.00
18:17:39      0.00      0.00
18:17:40      0.00      0.00
18:17:41      0.12      0.00
18:17:42      0.06      0.00
18:17:50      2.29      0.02
18:17:51      0.00      0.00
18:17:52      0.45      0.00
18:17:53      0.06      0.00
18:17:54      0.00      0.00
18:17:55      0.00      0.64
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:17:56      0.33      0.36
18:17:57      0.06      0.00
18:17:58      0.17      0.00
18:17:59      0.00      0.00
18:18:00      0.00      0.00
18:18:01      0.06      0.00
18:18:02      0.20      0.18
18:18:03      0.06      0.00
18:18:04      0.00      0.00
18:18:05      0.00      0.00
18:18:06      0.00      0.00
18:18:07      0.42      0.08
18:18:08      0.00      0.00
18:18:09      0.00      0.00
18:18:10      0.33      0.00
18:18:11      0.00      0.00
18:18:12      0.00      0.00
18:18:13      0.00      0.00
18:18:14      0.33      0.00
18:18:15      0.00      0.00
18:18:16      0.06      0.00
18:18:17      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:18:18      0.00      0.00
18:18:19      0.00      0.00
18:18:20      0.08      0.08
18:18:21      0.00      0.00
18:18:22      0.00      0.00
18:18:23      0.00      0.00
18:18:24      0.00      0.00
18:18:25      0.42      0.08
18:18:26      0.00      0.00
18:18:27      0.00      0.00
18:18:28      0.45      0.00
18:18:29      0.00      0.00
18:18:30      0.00      0.00
18:18:31      0.00      0.00
18:18:32      0.39      0.00
18:18:33      0.00      0.00
18:18:34      0.00      0.00
18:18:35      0.00      0.00
18:18:36      0.00      0.00
18:18:37      0.00      0.00
18:18:38      0.00      0.00
18:18:39      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:18:40      0.00      0.00
18:18:41      0.12      0.00
18:18:42      0.06      0.00
18:18:43      0.33      0.00
18:18:44      0.00      0.00
18:18:45      0.00      0.00
18:18:46      0.39      0.00
18:18:47      0.00      0.00
18:18:48      0.00      0.00
18:18:49      0.00      0.00
18:18:50      0.33      0.00
18:18:51      0.00      0.00
18:18:52      0.12      0.00
18:18:53      0.06      0.00
18:18:54      0.00      0.00
18:18:55      0.00      0.00
18:18:56      0.00      0.00
18:18:57      0.00      0.00
18:18:58      0.12      0.00
18:18:59      0.00      0.00
18:19:00      0.00      0.00
18:19:01      0.33      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:19:02      0.18      0.00
18:19:03      0.06      0.00
18:19:04      0.33      0.00
18:19:05      0.00      0.00
18:19:06      0.00      0.00
18:19:07      0.00      0.00
18:19:08      0.33      0.00
18:19:09      0.00      0.00
18:19:10      0.00      0.00
18:19:11      0.00      0.00
18:19:12      0.00      0.00
18:19:13      0.00      0.00
18:19:14      0.00      0.00
18:19:15      0.00      0.00
18:19:16      0.00      0.00
18:19:17      0.06      0.00
18:19:18      0.00      0.00
18:19:19      0.33      0.00
18:19:20      0.00      0.00
18:19:21      0.00      0.00
18:19:22      0.33      0.00
18:19:23      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:19:24      0.00      0.00
18:19:25      0.00      0.00
18:19:26      0.33      0.00
18:19:27      0.00      0.00
18:19:28      0.06      0.00
18:19:29      0.06      0.00
18:19:30      0.00      0.00
18:19:31      0.00      0.00
18:19:32      0.00      0.00
18:19:33      0.06      0.00
18:19:34      0.00      0.00
18:19:35      0.00      0.00
18:19:36      0.00      0.00
18:19:37      0.33      0.00
18:19:38      0.00      0.00
18:19:39      0.00      0.00
18:19:40      0.33      0.00
18:19:41      0.12      0.00
18:19:42      0.15      0.08
18:19:43      0.10      0.28
18:19:44      0.43      0.10
18:19:45      0.10      0.10
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:19:46      2.51      2.74
18:19:47      1.92     19.80
18:19:48      3.73     48.22
18:19:49      3.56      7.35
