  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:49:58      0.00      0.00
00:49:59      0.00      0.00
00:50:00      0.00      0.00
00:50:01      0.06      0.06
00:50:02      0.00      0.00
00:50:03      0.00      0.00
00:50:04      0.00      0.00
00:50:05      0.33      0.00
00:50:06      0.00      0.00
00:50:07      0.31      0.18
00:50:08      3.28      3.29
00:50:09      0.06      0.12
00:50:10      0.06      0.00
00:50:11      0.06      0.00
00:50:12      0.45      0.00
00:50:13      0.06      0.00
00:50:14      0.00      0.00
00:50:15      0.00      0.00
00:50:16      0.00      0.00
00:50:17      0.24      0.18
00:50:18      3.37      3.80
00:50:19      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:50:20      0.00      0.00
00:50:21      0.00      0.00
00:50:22      0.18      0.00
00:50:23      0.39      0.00
00:50:24      0.06      0.00
00:50:25      0.00      0.00
00:50:26      0.33      0.00
00:50:27      0.00      0.00
00:50:28      0.00      0.00
00:50:29      0.00      0.00
00:50:30   6612.90    418.21
00:50:31  13305.35    840.89
00:50:32  13888.24    877.50
00:50:33  14253.34    900.79
00:50:34  13597.15    859.18
00:50:35  15075.60    952.40
00:50:36  11213.41    708.62
00:50:37  11797.87    745.84
00:50:38  12391.26    783.34
00:50:39  10326.17    653.08
00:50:40  13448.64    849.87
00:50:41  12335.35    779.14
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:50:42  14137.08    893.45
00:50:43  12954.72    818.95
00:50:44  12327.40    779.00
00:50:45  12734.66    804.46
00:50:46  13120.85    829.01
00:50:47  10889.55    688.30
00:50:48   9895.03    625.91
00:50:49  12182.98    769.89
00:50:50  13028.89    823.42
00:50:51  14105.38    891.30
00:50:52  11799.31    745.78
00:50:53   9562.18    604.87
00:50:54  11475.35    725.34
00:50:55  11723.09    741.21
00:50:56  12406.04    784.27
00:50:57  10931.89    690.54
00:50:58  10351.09    654.05
00:50:59  10675.41    674.60
00:51:00  10541.59    666.16
00:51:01  10462.92    661.18
00:51:02  11070.31    699.55
00:51:03  12083.04    763.79
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:51:04  10805.57    682.56
00:51:05  10417.72    658.34
00:51:06  10723.39    677.78
00:51:07   9975.39    630.24
00:51:08    314.16     20.32
00:51:09  12065.19    763.21
00:51:10  13773.56    870.33
00:51:11  10953.35    692.41
00:51:12  11438.83    722.78
00:51:13  12320.35    778.60
00:51:14  11853.07    749.04
00:51:15  11111.85    702.74
00:51:16  11012.89    695.73
00:51:17  11252.11    711.11
00:51:18  10307.51    651.30
00:51:19  11454.46    723.92
00:51:20   4388.52    278.13
00:51:21   5990.82    378.91
00:51:22   5118.93    324.12
00:51:23   4646.34    294.20
00:51:24   8658.08    547.11
00:51:25   6610.72    417.75
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:51:26   3548.38    225.01
00:51:27    695.72     44.98
00:51:28   9577.25    605.43
00:51:29   9358.89    591.35
00:51:30   9513.10    601.17
00:51:31  10463.06    661.20
00:51:32   7505.43    474.65
00:51:33   8309.36    524.74
00:51:34  10001.51    631.96
00:51:35   9387.25    593.70
00:51:36   8756.82    552.73
00:51:37   5293.92    334.76
00:51:38   8702.35    550.06
00:51:39   6389.18    403.68
00:51:46    533.93     33.46
00:51:47      7.31      2.99
00:51:48     20.53      1.30
00:51:49     24.47      0.73
00:51:50   2106.89    135.84
00:51:51  13742.40    868.51
00:51:52  12677.12    801.12
00:51:53  12273.52    775.61
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:51:54   9751.95    616.17
00:51:55   9106.15    575.52
00:51:56   6066.44    383.28
00:51:57    461.95     31.71
00:51:58   2276.26    144.22
00:51:59   5503.44    347.71
00:52:00   5535.81    349.90
00:52:01   3357.31    212.14
00:52:02   2421.40    153.33
00:52:03   3616.95    228.64
00:52:04   3412.84    215.67
00:52:05   3476.57    219.77
00:52:06   3127.53    197.55
00:52:07   2739.22    173.03
00:52:08   2888.52    182.61
00:52:09   1733.85    109.28
00:52:10   2082.14    131.71
00:52:11   1701.95    108.47
00:52:12    705.10     46.67
00:52:13   1103.51     70.43
00:52:14    945.23     60.83
00:52:15   1089.93     69.63
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:52:16    424.88     29.75
00:52:17   1115.87     70.97
00:52:18    585.91     37.65
00:52:19    894.72     56.85
00:52:20   1074.88     68.06
00:52:21   1185.19     74.90
00:52:22   1342.15     84.52
00:52:23   1320.46     83.58
00:52:24   1161.76     73.41
00:52:25   1261.83     79.74
00:52:26   1279.29     81.05
00:52:27   1227.94     77.51
00:52:28   1106.83     70.47
00:52:29   1012.83     64.00
00:52:30    971.22     61.68
00:52:31   1105.62     69.64
00:52:32   1120.53     71.01
00:52:33   1038.27     65.52
00:52:34   1299.88     82.43
00:52:35   1150.19     72.74
00:52:36   1178.77     74.56
00:52:37   1128.48     71.29
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:52:38   1078.26     68.06
00:52:39    950.28     60.36
00:52:40    961.80     60.85
00:52:41    999.19     63.14
00:52:42    988.07     62.50
00:52:43   1133.08     71.75
00:52:44   1062.24     67.13
00:52:45   1085.91     68.62
00:52:46    922.87     58.03
00:52:47   1080.46     68.57
00:52:48    982.63     61.79
00:52:49   1193.42     75.56
00:52:50   1063.50     67.20
00:52:51    944.91     59.68
00:52:52    917.21     58.03
00:52:53    930.48     59.02
00:52:54    799.49     50.85
00:52:55    932.34     58.95
00:52:56   1097.67     69.29
00:52:57    973.98     61.40
00:52:58   1119.36     70.81
00:52:59    956.04     60.62
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:53:00   1061.08     67.12
00:53:01    860.75     54.53
00:53:02   1126.18     71.10
00:53:03   1031.39     65.38
00:53:04   1107.91     69.94
00:53:05    980.76     62.05
00:53:06    915.03     57.80
00:53:07    873.72     55.05
00:53:08    848.66     53.83
00:53:09   1064.84     67.27
00:53:10    925.15     58.53
00:53:11   1093.02     68.93
00:53:12    875.70     55.62
00:53:13    900.41     56.88
00:53:14    934.30     58.95
00:53:15    482.00     30.88
00:53:16      0.00      0.00
00:53:17      0.00      0.00
00:53:18      0.00      0.00
00:53:19      0.00      0.00
00:53:20      0.06      0.39
00:53:21      0.06      0.08
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:53:22      0.06      0.00
00:53:23      0.06      0.00
00:53:24      0.48      0.10
00:53:25      0.06      0.00
00:53:26      0.00      0.00
00:53:27      0.33      0.00
00:53:28      0.00      0.00
00:53:29      0.08      0.08
00:53:30      0.00      0.00
00:53:31      0.33      0.00
00:53:32      0.06      0.00
00:53:33      0.06      0.00
00:53:34      0.06      0.00
00:53:35      0.00      0.00
00:53:36      0.00      0.00
00:53:37      0.00      0.00
00:53:38      0.00      0.00
00:53:39      0.06      0.00
00:53:40      0.10      0.08
00:53:41      0.10      0.10
00:53:42      0.49      0.10
00:53:43      0.15      0.10
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:53:44      2.87      3.07
00:53:45      3.93      0.57
00:53:46      0.00      0.00
00:53:47      4.28     22.60
00:53:48      4.47     57.94
