Linux 4.4.0-142-generic (vm) 	2025-02-12 	_x86_64_	(1 CPU)

00:21:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:21:06     all   66.00    0.00   28.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
00:21:07     all   26.26    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   63.64
00:21:08     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
00:21:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:21:10     all   13.00    0.00    4.00    9.00    0.00    0.00    0.00    0.00    0.00   74.00
00:21:11     all    6.06    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00   89.90
00:21:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:21:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:21:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:21:15     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
00:21:16     all    1.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   91.00
00:21:17     all   36.73    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   39.80
00:21:18     all    0.99    0.00    1.98   10.89    0.00    0.00    0.00    0.00    0.00   86.14
00:21:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:21:20     all    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
00:21:21     all    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
00:21:22     all   52.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   41.00
00:21:23     all   50.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   45.00
00:21:24     all    3.03    0.00    1.01   54.55    0.00    0.00    0.00    0.00    0.00   41.41
00:21:25     all   13.13    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   80.81
00:21:26     all    2.00   72.00    9.00    1.00    0.00    0.00    0.00    0.00    0.00   16.00
00:21:27     all   32.32   54.55   13.13    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:21:28     all   19.00   72.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:21:29     all   12.87   78.22    6.93    1.98    0.00    0.00    0.00    0.00    0.00    0.00
00:21:30     all   27.72    0.00   29.70    0.00    0.00    0.00    0.00    0.00    0.00   42.57
00:21:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:21:32     all   69.70    0.00   13.13    1.01    0.00    0.00    0.00    0.00    0.00   16.16
00:21:33     all   41.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   52.00
00:21:34     all    0.00    0.00    0.00    9.09    0.00    0.00    0.00    0.00    0.00   90.91
00:21:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:21:36     all   28.28    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   67.68
00:21:37     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
00:21:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:21:39     all    0.00    0.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00   88.00
00:21:40     all   30.68    0.00   22.73    0.00    0.00    2.27    1.14    0.00    0.00   43.18
00:21:41     all   28.87    0.00   30.93    0.00    0.00    3.09    0.00    0.00    0.00   37.11
00:21:42     all   30.00    0.00   27.00    0.00    0.00    4.00    0.00    0.00    0.00   39.00
00:21:43     all   28.42    0.00   28.42    0.00    0.00    3.16    0.00    0.00    0.00   40.00
00:21:44     all   25.00    0.00   34.78    0.00    0.00    3.26    0.00    0.00    0.00   36.96
00:21:45     all   37.38    0.00   33.64    2.80    0.00    1.87    0.00    0.00    0.00   24.30
00:21:46     all   34.41    0.00   31.18    0.00    0.00    3.23    0.00    0.00    0.00   31.18
00:21:47     all   32.38    0.00   37.14    0.00    0.00    1.90    0.00    0.00    0.00   28.57
00:21:48     all   33.98    0.00   33.98    0.00    0.00    2.91    0.00    0.00    0.00   29.13
00:21:49     all   45.26    0.00   27.37    0.00    0.00    3.16    1.05    0.00    0.00   23.16
00:21:50     all   30.93    0.00   28.87    3.09    0.00    2.06    0.00    0.00    0.00   35.05
00:21:51     all   31.25    0.00   30.21    0.00    0.00    2.08    0.00    0.00    0.00   36.46
00:21:52     all   28.87    0.00   38.14    0.00    0.00    1.03    0.00    0.00    0.00   31.96
00:21:53     all   33.67    0.00   31.63    0.00    0.00    3.06    0.00    0.00    0.00   31.63
00:21:54     all   36.84    0.00   30.53    0.00    0.00    1.05    0.00    0.00    0.00   31.58
00:21:55     all   31.63    0.00   35.71    2.04    0.00    1.02    0.00    0.00    0.00   29.59
00:21:56     all   28.87    0.00   35.05    0.00    0.00    2.06    0.00    0.00    0.00   34.02
00:21:57     all   32.65    0.00   32.65    0.00    0.00    0.00    0.00    0.00    0.00   34.69
00:21:58     all   57.45    0.00   18.09    0.00    0.00    1.06    0.00    0.00    0.00   23.40
00:21:59     all   31.25    0.00   30.21    0.00    0.00    1.04    0.00    0.00    0.00   37.50
00:22:00     all   28.28    0.00   27.27    0.00    0.00    0.00    0.00    0.00    0.00   44.44
00:22:01     all   37.11    0.00   29.90    1.03    0.00    6.19    0.00    0.00    0.00   25.77
00:22:02     all   26.53    0.00   30.61    0.00    0.00    2.04    0.00    0.00    0.00   40.82
00:22:03     all   58.00    0.00   32.00    0.00    0.00    6.00    0.00    0.00    0.00    4.00
00:22:04     all   62.38    0.00   29.70    0.00    0.00    7.92    0.00    0.00    0.00    0.00
00:22:05     all   25.61    0.00   29.27    0.00    0.00    2.44    0.00    0.00    0.00   42.68
00:22:06     all   23.26    0.00   30.23    6.98    0.00    3.49    0.00    0.00    0.00   36.05
00:22:07     all   27.91    0.00   26.74    0.00    0.00    0.00    0.00    0.00    0.00   45.35
00:22:08     all   27.59    0.00   34.48    0.00    0.00    3.45    0.00    0.00    0.00   34.48
00:22:09     all   29.21    0.00   34.83    0.00    0.00    3.37    0.00    0.00    0.00   32.58
00:22:10     all   28.26    0.00   30.43    0.00    0.00    4.35    0.00    0.00    0.00   36.96
00:22:11     all   29.89    0.00   26.44   11.49    0.00    2.30    0.00    0.00    0.00   29.89
00:22:12     all   31.52    0.00   27.17    0.00    0.00    1.09    0.00    0.00    0.00   40.22
00:22:13     all   33.71    0.00   29.21    0.00    0.00    2.25    0.00    0.00    0.00   34.83
00:22:14     all   30.68    0.00   27.27    0.00    0.00    1.14    0.00    0.00    0.00   40.91
00:22:15     all   34.52    0.00   25.00    0.00    0.00    2.38    0.00    0.00    0.00   38.10
00:22:16     all   37.36    0.00   24.18    3.30    0.00    2.20    0.00    0.00    0.00   32.97
00:22:17     all   29.55    0.00   27.27    0.00    0.00    3.41    0.00    0.00    0.00   39.77
00:22:18     all   61.29    0.00   15.05    0.00    0.00    1.08    0.00    0.00    0.00   22.58
00:22:19     all   84.21    0.00    5.26    0.00    0.00    0.00    0.00    0.00    0.00   10.53
00:22:20     all   24.18    0.00   26.37    0.00    0.00    3.30    0.00    0.00    0.00   46.15
00:22:21     all   24.10    0.00   27.71    0.00    0.00    2.41    0.00    0.00    0.00   45.78
00:22:22     all   28.05    0.00   24.39    4.88    0.00    3.66    0.00    0.00    0.00   39.02
00:22:23     all   33.33    0.00   23.33    0.00    0.00    3.33    1.11    0.00    0.00   38.89
00:22:24     all   40.70    0.00   23.26    0.00    0.00    2.33    0.00    0.00    0.00   33.72
00:22:25     all   39.08    0.00   27.59    1.15    0.00    5.75    0.00    0.00    0.00   26.44
00:22:26     all   35.29    0.00   24.71    0.00    0.00    4.71    0.00    0.00    0.00   35.29
00:22:27     all   92.16    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00    1.96
00:22:28     all   61.05    0.00    9.47    0.00    0.00    2.11    0.00    0.00    0.00   27.37
00:22:29     all   47.73    0.00   21.59    0.00    0.00    5.68    0.00    0.00    0.00   25.00
00:22:30     all   32.61    0.00   30.43    0.00    0.00    1.09    0.00    0.00    0.00   35.87
00:22:31     all   36.59    0.00   21.95    0.00    0.00    3.66    0.00    0.00    0.00   37.80
00:22:32     all   34.88    0.00   25.58   12.79    0.00    5.81    0.00    0.00    0.00   20.93
00:22:33     all   69.47    0.00   12.63    0.00    0.00    3.16    2.11    0.00    0.00   12.63
00:22:34     all   44.94    0.00   23.60    0.00    0.00    2.25    0.00    0.00    0.00   29.21
00:22:35     all   46.15    0.00   26.37    0.00    0.00    3.30    0.00    0.00    0.00   24.18
00:22:36     all   40.91    0.00   21.59    0.00    0.00    2.27    0.00    0.00    0.00   35.23
00:22:37     all   31.18    0.00   21.51   25.81    0.00    5.38    0.00    0.00    0.00   16.13
00:22:38     all   58.51    0.00   17.02    5.32    0.00    3.19    0.00    0.00    0.00   15.96
00:22:39     all   47.31    0.00   22.58    0.00    0.00    5.38    0.00    0.00    0.00   24.73
00:22:40     all   38.95    0.00   28.42    0.00    0.00    5.26    0.00    0.00    0.00   27.37
00:22:41     all   41.49    0.00   27.66    0.00    0.00    2.13    0.00    0.00    0.00   28.72
00:22:42     all   37.78    0.00   23.33    0.00    0.00    4.44    1.11    0.00    0.00   33.33
00:22:43     all   18.37    0.00   15.31   65.31    0.00    1.02    0.00    0.00    0.00    0.00
00:22:44     all   31.58    0.00   29.47   13.68    0.00    6.32    0.00    0.00    0.00   18.95
00:22:45     all   35.92    0.00   31.07    0.00    0.00    6.80    0.00    0.00    0.00   26.21
00:22:46     all   39.22    0.00   31.37    0.00    0.00    4.90    0.00    0.00    0.00   24.51
00:22:47     all   33.67    0.00   33.67    0.00    0.00    4.08    0.00    0.00    0.00   28.57
00:22:48     all   27.18    0.00   26.21   30.10    0.00    3.88    0.00    0.00    0.00   12.62
00:22:49     all   35.11    0.00   24.47    0.00    0.00    2.13    0.00    0.00    0.00   38.30
00:22:50     all    5.10    0.00    3.06    1.02    0.00    0.00    3.06    0.00    0.00   87.76
00:22:51     all    3.92    0.00    2.94    0.00    0.00    0.00    1.96    0.00    0.00   91.18
00:22:52     all   26.23    0.00    9.84    0.00    0.00    1.64    0.00    0.00    0.00   62.30
00:22:53     all    4.21    0.00    1.05   17.89    0.00    0.00    1.05    0.00    0.00   75.79
00:22:54     all    3.90    0.00    5.19    0.00    0.00    2.60    1.30    0.00    0.00   87.01
00:22:55     all    1.02    0.00    1.02    0.00    0.00    0.00    1.02    0.00    0.00   96.94
00:22:56     all    2.02    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00   96.97
00:22:57     all    1.35    0.00    2.70    0.00    0.00    0.00    1.35    0.00    0.00   94.59
00:22:58     all    1.01    0.00    1.01    0.00    0.00    0.00    1.01    0.00    0.00   96.97
00:22:59     all   45.12    0.00   35.37    0.00    0.00   17.07    0.00    0.00    0.00    2.44
00:23:00     all   35.71    0.00   43.88    0.00    0.00   18.37    0.00    0.00    0.00    2.04
00:23:01     all   41.18    0.00   43.14    0.98    0.00   11.76    1.96    0.00    0.00    0.98
00:23:02     all   57.00    0.00   28.00    0.00    0.00   11.00    0.00    0.00    0.00    4.00
00:23:03     all   88.35    0.00    7.77    0.00    0.00    0.00    0.00    0.00    0.00    3.88
00:23:04     all   90.29    0.00    4.85    0.97    0.00    0.97    0.00    0.00    0.00    2.91
00:23:05     all   91.00    0.00    4.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00
00:23:06     all   85.00    0.00    5.00    9.00    0.00    1.00    0.00    0.00    0.00    0.00
00:23:07     all   87.13    0.00    7.92    0.99    0.00    1.98    0.99    0.00    0.00    0.99
00:23:08     all   86.14    0.00    7.92    0.00    0.00    0.99    0.00    0.00    0.00    4.95
00:23:09     all   81.19    0.00    8.91    0.00    0.00    2.97    0.00    0.00    0.00    6.93
00:23:10     all   87.50    0.00    6.73    0.00    0.00    0.96    0.00    0.00    0.00    4.81
00:23:11     all   88.35    0.00    1.94    0.00    0.00    1.94    3.88    0.00    0.00    3.88
00:23:12     all   87.25    0.00    5.88    0.98    0.00    0.00    0.98    0.00    0.00    4.90
00:23:13     all   92.16    0.00    1.96    0.00    0.00    1.96    0.98    0.00    0.00    2.94
00:23:14     all   87.50    0.00    2.88    0.96    0.00    0.96    0.00    0.00    0.00    7.69
00:23:15     all   84.47    0.00    6.80    2.91    0.00    0.00    3.88    0.00    0.00    1.94
00:23:16     all   92.08    0.00    0.99    0.00    0.00    0.99    1.98    0.00    0.00    3.96
00:23:17     all   91.26    0.00    1.94    0.00    0.00    0.00    1.94    0.00    0.00    4.85
00:23:18     all   89.32    0.00    1.94    0.97    0.00    0.97    4.85    0.00    0.00    1.94
00:23:19     all   90.57    0.00    0.94    0.00    0.00    0.00    0.94    0.00    0.00    7.55
00:23:20     all   91.26    0.00    1.94    2.91    0.00    0.00    0.97    0.00    0.00    2.91
00:23:21     all   93.14    0.00    0.98    0.00    0.00    0.00    3.92    0.00    0.00    1.96
00:23:22     all   93.00    0.00    0.00    0.00    0.00    1.00    5.00    0.00    0.00    1.00
00:23:23     all   91.51    0.00    1.89    0.94    0.00    0.00    0.00    0.00    0.00    5.66
00:23:24     all   89.42    0.00    4.81    0.00    0.00    0.00    0.96    0.00    0.00    4.81
00:23:25     all   92.38    0.00    1.90    0.95    0.00    0.00    0.95    0.00    0.00    3.81
00:23:26     all   94.23    0.00    0.96    0.96    0.00    0.00    0.00    0.00    0.00    3.85
00:23:27     all   93.20    0.00    0.00    0.97    0.00    0.00    0.97    0.00    0.00    4.85
00:23:28     all   91.43    0.00    1.90    0.95    0.00    0.00    0.95    0.00    0.00    4.76
00:23:29     all   93.27    0.00    0.96    0.00    0.00    0.00    0.96    0.00    0.00    4.81
00:23:30     all   95.15    0.00    0.00    0.00    0.00    0.97    0.00    0.00    0.00    3.88
00:23:31     all   92.38    0.00    1.90    1.90    0.00    0.95    0.00    0.00    0.00    2.86
00:23:32     all   95.19    0.00    0.00    0.00    0.00    0.00    0.96    0.00    0.00    3.85
00:23:33     all   95.15    0.00    0.00    0.97    0.00    0.00    0.00    0.00    0.00    3.88
00:23:34     all   92.31    0.00    0.96    0.00    0.00    0.96    0.96    0.00    0.00    4.81
00:23:35     all   92.31    0.00    3.85    0.96    0.00    0.00    0.00    0.00    0.00    2.88
00:23:36     all   96.12    0.00    0.97    0.97    0.00    0.00    0.00    0.00    0.00    1.94
00:23:37     all   97.06    0.00    0.00    0.98    0.00    0.00    0.00    0.00    0.00    1.96
00:23:38     all   95.19    0.00    0.96    0.00    0.00    0.96    0.00    0.00    0.00    2.88
00:23:39     all   96.08    0.00    0.00    0.98    0.00    0.00    1.96    0.00    0.00    0.98
