Linux 4.4.0-142-generic (vm) 	2025-02-16 	_x86_64_	(1 CPU)

12:16:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:33     all   48.51    0.00   19.80    0.99    0.00    0.00    0.00    0.00    0.00   30.69
12:16:34     all   12.12    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   85.86
12:16:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:16:36     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:16:37     all    0.00    0.00    0.00   25.25    0.00    0.00    0.00    0.00    0.00   74.75
12:16:38     all    0.00    0.00    0.00   23.00    0.00    0.00    0.00    0.00    0.00   77.00
12:16:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:16:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:16:41     all    1.00    0.00    3.00   58.00    0.00    0.00    0.00    0.00    0.00   38.00
12:16:42     all    9.00    0.00    3.00   66.00    0.00    0.00    0.00    0.00    0.00   22.00
12:16:43     all    7.07    3.03    6.06    0.00    0.00    0.00    0.00    0.00    0.00   83.84
12:16:44     all   12.00   80.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:16:45     all    9.00   65.00   18.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00
12:16:46     all    8.00   77.00   11.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00
12:16:47     all   14.00   85.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:16:48     all    0.00   99.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:16:49     all    2.00   65.00   12.00   21.00    0.00    0.00    0.00    0.00    0.00    0.00
12:16:50     all   68.32    0.00   12.87    0.00    0.00    0.00    0.00    0.00    0.00   18.81
12:16:51     all   19.39    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   77.55
12:16:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:16:53     all   12.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
12:16:54     all   17.17    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   78.79
12:16:55     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
12:16:56     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:16:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:16:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:16:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:17:00     all    2.94    0.00    0.98    7.84    0.00    0.00    0.00    0.00    0.00   88.24
12:17:01     all    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:17:02     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:17:03     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:17:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:17:05     all    0.00    0.00    1.00    7.00    0.00    0.00    0.00    0.00    0.00   92.00
12:17:06     all   21.98    0.00   17.58    0.00    0.00    2.20    0.00    0.00    0.00   58.24
12:17:07     all   11.70    0.00   22.34    0.00    0.00    2.13    0.00    0.00    0.00   63.83
12:17:08     all   14.89    0.00   18.09    0.00    0.00    4.26    0.00    0.00    0.00   62.77
12:17:09     all   12.09    0.00   16.48    0.00    0.00    3.30    0.00    0.00    0.00   68.13
12:17:10     all   16.30    0.00   16.30    0.00    0.00    3.26    0.00    0.00    0.00   64.13
12:17:11     all   22.73    0.00   14.77    4.55    0.00    0.00    0.00    0.00    0.00   57.95
12:17:12     all   32.26    0.00   10.75    0.00    0.00    2.15    0.00    0.00    0.00   54.84
12:17:13     all   21.74    0.00   13.04    0.00    0.00    2.17    0.00    0.00    0.00   63.04
12:17:14     all   14.94    0.00   17.24    0.00    0.00    2.30    0.00    0.00    0.00   65.52
12:17:15     all   20.45    0.00   18.18    0.00    0.00    2.27    0.00    0.00    0.00   59.09
12:17:16     all   21.59    0.00   13.64    5.68    0.00    0.00    0.00    0.00    0.00   59.09
12:17:17     all   42.70    0.00   13.48    0.00    0.00    2.25    0.00    0.00    0.00   41.57
12:17:18     all   34.74    0.00   15.79    0.00    0.00    2.11    0.00    0.00    0.00   47.37
12:17:19     all   27.08    0.00   14.58    0.00    0.00    2.08    0.00    0.00    0.00   56.25
12:17:20     all   29.03    0.00    9.68    0.00    0.00    4.30    0.00    0.00    0.00   56.99
12:17:21     all   34.04    0.00   15.96    3.19    0.00    1.06    0.00    0.00    0.00   45.74
12:17:22     all   46.32    0.00   14.74    0.00    0.00    3.16    0.00    0.00    0.00   35.79
12:17:23     all   50.00    0.00   11.96    0.00    0.00    2.17    0.00    0.00    0.00   35.87
12:17:24     all   55.45    0.00    9.90    0.00    0.00    3.96    0.00    0.00    0.00   30.69
12:17:25     all   47.37    0.00   13.68    0.00    0.00    3.16    0.00    0.00    0.00   35.79
12:17:26     all   49.45    0.00   12.09    0.00    0.00    1.10    0.00    0.00    0.00   37.36
12:17:27     all   43.62    0.00   14.89    3.19    0.00    1.06    0.00    0.00    0.00   37.23
12:17:28     all   48.96    0.00   10.42    0.00    0.00    1.04    0.00    0.00    0.00   39.58
12:17:29     all   63.16    0.00    4.21    0.00    0.00    1.05    0.00    0.00    0.00   31.58
12:17:30     all   30.93    0.00   12.37    0.00    0.00    2.06    0.00    0.00    0.00   54.64
12:17:31     all   23.33    0.00    8.89    0.00    0.00    3.33    0.00    0.00    0.00   64.44
12:17:32     all   38.54    0.00    8.33    3.12    0.00    0.00    0.00    0.00    0.00   50.00
12:17:33     all   26.80    0.00   14.43    0.00    0.00    2.06    0.00    0.00    0.00   56.70
12:17:34     all   33.33    0.00   13.73   11.76    0.00    1.96    0.00    0.00    0.00   39.22
12:17:35     all   29.21    0.00    8.99    0.00    0.00    0.00    0.00    0.00    0.00   61.80
12:17:36     all   28.57    0.00   12.24    0.00    0.00    4.08    0.00    0.00    0.00   55.10
12:17:37     all   22.34    0.00   13.83    0.00    0.00    1.06    0.00    0.00    0.00   62.77
12:17:38     all   26.60    0.00   11.70    0.00    0.00    2.13    0.00    0.00    0.00   59.57
12:17:39     all   25.26    0.00   11.58    5.26    0.00    5.26    0.00    0.00    0.00   52.63
12:17:40     all   27.17    0.00   11.96    0.00    0.00    1.09    0.00    0.00    0.00   59.78
12:17:41     all   28.26    0.00    9.78    0.00    0.00    1.09    0.00    0.00    0.00   60.87
12:17:42     all   28.72    0.00   13.83    0.00    0.00    1.06    0.00    0.00    0.00   56.38
