  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:33:49      0.00      0.00
10:33:50      0.00      0.00
10:33:51      0.00      0.00
10:33:52      0.06      0.06
10:33:53      0.00      0.00
10:33:54      0.00      0.00
10:33:55      0.00      0.00
10:33:56      0.06      0.04
10:33:57      0.33      0.08
10:33:58      0.24      0.18
10:33:59      3.02      3.27
10:34:00      0.33      0.00
10:34:01      0.00      0.00
10:34:02      0.00      0.00
10:34:03      0.32      0.00
10:34:04      1.06      0.00
10:34:05      0.00      0.00
10:34:06      0.00      0.00
10:34:07      0.06      0.00
10:34:08      2.11      0.47
10:34:09      1.38      3.50
10:34:10      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:34:11      0.06      0.00
10:34:12      0.00      0.00
10:34:13      0.00      0.00
10:34:14      0.06      0.00
10:34:15      0.39      0.00
10:34:16      0.06      0.00
10:34:17      0.06      0.00
10:34:18      0.63      0.00
10:34:19      0.00      0.00
10:34:20      0.00      0.00
10:34:21  14793.81    935.43
10:34:22  19187.60   1212.37
10:34:23  17988.64   1136.77
10:34:24  18796.27   1187.66
10:34:25  16682.64   1054.75
10:34:26  19286.54   1218.43
10:34:27  16117.06   1019.02
10:34:28  18945.35   1196.94
10:34:29  19113.78   1207.95
10:34:30  19713.94   1246.09
10:34:31  17097.20   1080.58
10:34:32  17406.23   1099.61
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:34:33  13540.78    856.08
10:34:34  18992.38   1200.56
10:34:35  18005.31   1137.89
10:34:36  18414.37   1163.51
10:34:37  17877.11   1129.86
10:34:38  20186.01   1275.55
10:34:39  18801.03   1188.32
10:34:40  18470.36   1166.90
10:34:41  18251.96   1153.33
10:34:42  17122.70   1082.26
10:34:43  18688.08   1180.90
10:34:44  17369.53   1097.57
10:34:45  18076.55   1142.32
10:34:46   9141.33    578.30
10:34:47  16850.67   1065.22
10:34:48  16997.59   1074.07
10:34:49  18187.05   1149.24
10:34:50  17577.90   1110.89
10:34:51  19156.44   1210.54
10:34:52  18502.19   1169.29
10:34:53  18771.14   1186.22
10:34:54  18518.79   1170.32
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:34:55  19041.07   1203.06
10:34:56  17496.71   1105.61
10:34:57  15411.03    973.80
10:34:58  17629.86   1114.31
10:34:59  17674.55   1117.19
10:35:00  17922.51   1132.61
10:35:01  16980.84   1072.76
10:35:02  17729.41   1120.53
10:35:03  16894.81   1067.79
10:35:04  19139.41   1209.63
10:35:05  17541.54   1108.23
10:35:06  17440.03   1102.18
10:35:07  19442.03   1228.26
10:35:08  17361.76   1097.30
10:35:09  16672.99   1053.75
10:35:10  17407.90   1100.07
10:35:11  13887.87    877.95
10:35:12   4781.51    303.93
10:35:13  17541.68   1108.43
10:35:14  18187.96   1149.37
10:35:15  18092.21   1143.17
10:35:16  17085.74   1079.63
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:35:17  16989.76   1073.48
10:35:18  19199.15   1213.70
10:35:19  19437.09   1228.30
10:35:20  18894.02   1193.62
10:35:21  19133.79   1209.07
10:35:22  17891.35   1131.06
10:35:23  17193.46   1086.52
10:35:24  17467.92   1103.87
10:35:25  19817.18   1252.18
10:35:26  17587.70   1111.58
10:35:27  17410.70   1100.08
10:35:28  17402.57   1099.59
10:35:29  17000.56   1074.33
10:35:30  18214.72   1150.91
10:35:31  18763.22   1185.92
10:35:32  18655.19   1178.97
10:35:33  15624.53    987.23
10:35:34  19345.56   1222.30
10:35:35  17306.03   1094.19
10:36:02     68.65      4.33
10:36:03      0.79      1.81
10:36:04      0.41      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:36:05      0.64      0.00
10:36:06      0.00      0.00
10:36:07      0.39      0.18
10:36:08      0.00      0.00
10:36:09      0.06      0.00
10:36:10  13529.80    854.83
10:36:11  13867.10    876.44
10:36:12  14157.63    894.60
10:36:13  14480.31    914.99
10:36:14  13599.86    859.57
10:36:15  14451.45    913.53
10:36:16  14302.05    903.29
10:36:17  14713.72    929.88
10:36:18  14260.24    901.66
10:36:19  13890.70    877.59
10:36:20  14049.19    887.82
10:36:21  14248.17    900.52
10:36:22  14252.80    900.40
10:36:23  13882.29    877.28
10:36:24  13682.48    864.65
10:36:25  14558.98    920.23
10:36:26  15318.86    967.77
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:36:27  15505.67    980.08
10:36:28  15639.74    988.18
10:36:29  14383.71    908.94
10:36:30  13569.22    857.35
10:36:31  14349.10    906.92
10:36:32  13954.36    881.76
10:36:33  15074.31    952.82
