  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:43:45      0.00      0.00
13:43:46      0.33      0.00
13:43:47      0.12      0.00
13:43:48      0.12      0.06
13:43:49      0.06      0.00
13:43:50      0.00      0.00
13:43:51      0.00      0.00
13:43:52      0.00      0.00
13:43:53      0.08      0.00
13:43:54      2.34      0.87
13:43:55      8.35      3.65
13:43:56      0.44      0.06
13:43:57      0.12      0.06
13:43:58      0.12      0.00
13:43:59      0.06      0.00
13:44:00      0.33      0.00
13:44:01      0.00      0.00
13:44:02      0.06      0.00
13:44:03      0.00      0.00
13:44:04      2.33      0.31
13:44:05      1.55      3.57
13:44:06      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:44:07      0.06      0.00
13:44:08      0.06      0.00
13:44:09      0.06      0.00
13:44:10      0.00      0.00
13:44:11      0.00      0.00
13:44:12      0.00      0.00
13:44:13      0.00      0.00
13:44:14      0.33      0.00
13:44:15      0.00      0.00
13:44:16      0.00      0.00
13:44:17  18069.15   1142.27
13:44:18  18753.12   1185.28
13:44:19  19008.97   1201.03
13:44:20  19271.58   1218.06
13:44:21  19628.19   1240.09
13:44:22  17837.94   1127.83
13:44:23  19600.78   1238.72
13:44:24  19245.89   1215.86
13:44:25  19002.17   1201.11
13:44:26  21702.20   1371.52
13:44:27  18605.18   1175.73
13:44:28  14953.11    945.79
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:44:29  18350.07   1159.61
13:44:30  19795.03   1250.71
13:44:31  19853.99   1254.65
13:44:32  18476.05   1167.48
13:44:33  19637.23   1240.88
13:44:34  14244.51    900.09
13:44:35  17138.68   1082.98
13:44:36  16707.35   1056.07
13:44:37  16481.86   1041.62
13:44:38  18561.90   1172.71
13:44:39  16889.79   1067.69
13:44:40  14780.01    933.62
13:44:41  12581.03    795.43
13:44:42   8823.84    558.28
13:44:43  18330.78   1158.39
13:44:44  16940.49   1070.32
13:44:45  17608.71   1112.98
13:44:46  17994.96   1137.02
13:44:47  17584.93   1111.18
13:44:48  15649.09    988.85
13:44:49  13720.04    866.88
13:44:50   8476.52    535.86
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
