Linux 4.4.0-142-generic (vm) 	2025-02-16 	_x86_64_	(1 CPU)

13:57:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:57:49     all   39.39    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   44.44
13:57:50     all    8.91    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   88.12
13:57:51     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:57:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:57:53     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
13:57:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:57:55     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
13:57:56     all    0.00    0.00    2.02   60.61    0.00    0.00    0.00    0.00    0.00   37.37
13:57:57     all    7.92    0.00    3.96   88.12    0.00    0.00    0.00    0.00    0.00    0.00
13:57:58     all    1.00   12.00    4.00   83.00    0.00    0.00    0.00    0.00    0.00    0.00
13:57:59     all    0.00   97.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:58:00     all    7.07   50.51   16.16   26.26    0.00    0.00    0.00    0.00    0.00    0.00
13:58:01     all   20.79   70.30    7.92    0.99    0.00    0.00    0.00    0.00    0.00    0.00
13:58:02     all   10.10   83.84    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:58:03     all    7.00   91.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:58:04     all    0.99   70.30    9.90   18.81    0.00    0.00    0.00    0.00    0.00    0.00
13:58:05     all    2.97   14.85    6.93   75.25    0.00    0.00    0.00    0.00    0.00    0.00
13:58:06     all    6.06    0.00    2.02   91.92    0.00    0.00    0.00    0.00    0.00    0.00
13:58:07     all   72.73    0.00   10.10    1.01    0.00    0.00    0.00    0.00    0.00   16.16
13:58:08     all   19.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   79.00
13:58:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:58:10     all    0.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   94.00
13:58:11     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:58:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:58:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:58:14     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
13:58:15     all    0.00    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00   92.93
