  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:24:41      0.18      0.06
07:24:42      0.12      0.00
07:24:43      0.39      0.00
07:24:44      0.06      0.06
07:24:45      0.00      0.00
07:24:46      0.00      0.00
07:24:47      0.06      0.00
07:24:48      0.06      0.04
07:24:49      0.06      0.08
07:24:50      0.30      0.18
07:24:51      3.07      3.27
07:24:52      0.06      0.00
07:24:53      0.39      0.00
07:24:54      0.06      0.00
07:24:55      0.06      0.00
07:24:56      0.06      0.00
07:24:57      0.33      0.00
07:24:58      0.00      0.00
07:24:59      0.06      0.00
07:25:00      0.30      0.24
07:25:01      3.64      3.74
07:25:02      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:25:03      0.00      0.00
07:25:04      0.06      0.00
07:25:05      0.06      0.00
07:25:06      0.06      0.00
07:25:07      0.06      0.00
07:25:08      0.06      0.00
07:25:09      0.00      0.00
07:25:10      0.00      0.00
07:25:11      0.45      0.00
07:25:12      0.06      0.00
07:25:13  13457.84    850.64
07:25:14  14626.85    924.54
07:25:15  15197.23    960.35
07:25:16  14265.70    901.50
07:25:17  15246.22    963.40
07:25:18  13852.44    875.53
07:25:19  15242.89    963.45
07:25:20  12810.92    809.60
07:25:21  13828.45    873.87
07:25:22  16029.78   1012.84
07:25:23  17463.08   1103.70
07:25:24  15334.62    969.13
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:25:25  15133.00    956.67
07:25:26  15481.13    978.10
07:25:27  15544.14    982.44
07:25:28  11138.32    704.21
07:25:29  14914.33    942.62
07:25:30  14698.65    929.15
07:25:31  15832.97   1000.33
07:25:32  15627.85    987.80
07:25:33  15038.37    950.17
07:25:34  14710.27    929.45
07:25:35  15125.96    955.80
07:25:36  15076.36    952.81
07:25:37  15261.98    964.73
07:25:38  15447.13    976.09
07:25:39  14733.35    931.20
07:25:40  14524.10    917.54
07:25:41  14111.09    891.73
07:25:42  14332.28    905.93
07:25:43   5806.77    368.04
07:25:44  16228.36   1025.53
07:25:45  15870.76   1003.01
07:25:46  16314.80   1030.63
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:25:47  14342.08    906.60
07:25:48  14631.79    924.64
07:25:49  14636.87    924.74
07:25:50  15245.02    963.32
07:25:51  15820.58    999.81
07:25:52  13633.75    861.65
07:25:53  14423.11    911.41
07:25:54  14063.55    888.94
07:25:55  13489.79    852.23
07:25:56  12962.26    819.14
07:25:57  14323.59    905.31
07:25:58  13621.92    860.75
07:25:59  13727.75    867.51
07:26:00  14018.80    886.19
07:26:01  13317.84    841.38
07:26:02  11271.17    712.27
07:26:03  14870.38    939.72
07:26:04  14346.33    906.53
07:26:05  15183.39    959.47
07:26:06  14726.40    930.47
07:26:07  13003.04    822.00
07:26:08  13182.51    833.20
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:26:09  11331.40    715.62
07:26:10   8457.00    534.94
