Linux 4.4.0-142-generic (vm) 	2025-02-17 	_x86_64_	(1 CPU)

11:02:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:02:42     all   54.55    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   27.27
11:02:43     all   12.75    0.00    2.94    0.98    0.00    0.00    0.00    0.00    0.00   83.33
11:02:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:02:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:02:46     all    0.00    0.00    0.00   36.36    0.00    0.00    0.00    0.00    0.00   63.64
11:02:47     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:02:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:02:49     all    0.99    0.00    1.98   37.62    0.00    0.00    0.00    0.00    0.00   59.41
11:02:50     all    0.00    0.00    2.02   90.91    0.00    0.00    0.00    0.00    0.00    7.07
11:02:51     all    8.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
11:02:52     all    5.00   86.00    6.00    1.00    0.00    0.00    0.00    0.00    0.00    2.00
11:02:53     all   21.21   54.55   16.16    2.02    0.00    0.00    0.00    0.00    0.00    6.06
11:02:54     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:02:55     all   28.00    0.00    4.00    3.00    0.00    0.00    0.00    0.00    0.00   65.00
11:02:56     all    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
11:02:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:02:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:02:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:03:00     all    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11:03:01     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
11:03:02     all    6.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
11:03:03     all   22.77    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   70.30
11:03:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:03:05     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:03:06     all    0.00    0.00    1.00    8.00    0.00    0.00    0.00    0.00    0.00   91.00
11:03:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:03:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:03:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:03:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:03:11     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:03:12     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
11:03:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:03:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:03:15     all   21.11    0.00   15.56    0.00    0.00    2.22    0.00    0.00    0.00   61.11
11:03:16     all   11.96    0.00   25.00    0.00    0.00    2.17    0.00    0.00    0.00   60.87
11:03:17     all   14.89    0.00   26.60    5.32    0.00    3.19    0.00    0.00    0.00   50.00
11:03:18     all   17.24    0.00   20.69    0.00    0.00    2.30    0.00    0.00    0.00   59.77
11:03:19     all   20.22    0.00   20.22    0.00    0.00    2.25    0.00    0.00    0.00   57.30
11:03:20     all   18.28    0.00   24.73    0.00    0.00    3.23    0.00    0.00    0.00   53.76
11:03:21     all   17.24    0.00   19.54    0.00    0.00    3.45    0.00    0.00    0.00   59.77
11:03:22     all   30.61    0.00   20.41    0.00    0.00    2.04    0.00    0.00    0.00   46.94
11:03:23     all   21.35    0.00   15.73   16.85    0.00    3.37    0.00    0.00    0.00   42.70
11:03:24     all   26.14    0.00   18.18    0.00    0.00    3.41    0.00    0.00    0.00   52.27
11:03:25     all   25.51    0.00   19.39    0.00    0.00    4.08    0.00    0.00    0.00   51.02
11:03:26     all   19.57    0.00   19.57    0.00    0.00    4.35    0.00    0.00    0.00   56.52
11:03:27     all   19.10    0.00   20.22    0.00    0.00    1.12    0.00    0.00    0.00   59.55
11:03:28     all   16.47    0.00   20.00    4.71    0.00    2.35    0.00    0.00    0.00   56.47
11:03:29     all   32.56    0.00   16.28    0.00    0.00    1.16    0.00    0.00    0.00   50.00
11:03:30     all   29.21    0.00   16.85    0.00    0.00    3.37    0.00    0.00    0.00   50.56
11:03:31     all   14.63    0.00   20.73    0.00    0.00    1.22    0.00    0.00    0.00   63.41
11:03:32     all   15.85    0.00   19.51    0.00    0.00    2.44    0.00    0.00    0.00   62.20
11:03:33     all   13.64    0.00   27.27    3.41    0.00    2.27    0.00    0.00    0.00   53.41
11:03:34     all   15.91    0.00   23.86    0.00    0.00    2.27    0.00    0.00    0.00   57.95
11:03:35     all   15.66    0.00   15.66    0.00    0.00    6.02    0.00    0.00    0.00   62.65
11:03:36     all   15.91    0.00   22.73    0.00    0.00    2.27    0.00    0.00    0.00   59.09
11:03:37     all   18.60    0.00   18.60    0.00    0.00    1.16    0.00    0.00    0.00   61.63
11:03:38     all   15.66    0.00   16.87    4.82    0.00    3.61    0.00    0.00    0.00   59.04
11:03:39     all   16.30    0.00   25.00    0.00    0.00    3.26    0.00    0.00    0.00   55.43
11:03:40     all   16.09    0.00   21.84    0.00    0.00    3.45    0.00    0.00    0.00   58.62
11:03:41     all   15.29    0.00   21.18    0.00    0.00    3.53    0.00    0.00    0.00   60.00
11:03:42     all   17.44    0.00   18.60    0.00    0.00    4.65    0.00    0.00    0.00   59.30
11:03:43     all   21.18    0.00   17.65    9.41    0.00    2.35    0.00    0.00    0.00   49.41
11:03:44     all   21.74    0.00   19.57    0.00    0.00    2.17    0.00    0.00    0.00   56.52
11:03:45     all   20.93    0.00   19.77    0.00    0.00    1.16    0.00    0.00    0.00   58.14
11:03:46     all   69.31    0.00    7.92    0.00    0.00    0.99    0.00    0.00    0.00   21.78
11:03:47     all   14.77    0.00   25.00    0.00    0.00    3.41    0.00    0.00    0.00   56.82
11:03:48     all   19.05    0.00   19.05    4.76    0.00    2.38    0.00    0.00    0.00   54.76
11:03:49     all   21.98    0.00   20.88    0.00    0.00    3.30    0.00    0.00    0.00   53.85
11:03:50     all   16.30    0.00   25.00    0.00    0.00    3.26    0.00    0.00    0.00   55.43
11:03:51     all   24.21    0.00   23.16    0.00    0.00    4.21    0.00    0.00    0.00   48.42
11:03:52     all   19.77    0.00   16.28    0.00    0.00    4.65    0.00    0.00    0.00   59.30
11:03:53     all   21.84    0.00   20.69    4.60    0.00    1.15    0.00    0.00    0.00   51.72
11:03:54     all   17.65    0.00   20.00    0.00    0.00    1.18    0.00    0.00    0.00   61.18
11:03:55     all   15.38    0.00   25.27    0.00    0.00    2.20    0.00    0.00    0.00   57.14
11:03:56     all   24.72    0.00   17.98    0.00    0.00    3.37    0.00    0.00    0.00   53.93
11:03:57     all   14.13    0.00   27.17    0.00    0.00    2.17    0.00    0.00    0.00   56.52
11:03:58     all   15.29    0.00   23.53    0.00    0.00    1.18    0.00    0.00    0.00   60.00
11:03:59     all   23.91    0.00   18.48    4.35    0.00    3.26    0.00    0.00    0.00   50.00
11:04:00     all   23.40    0.00   21.28    0.00    0.00    1.06    0.00    0.00    0.00   54.26
11:04:01     all   20.22    0.00   20.22    0.00    0.00    1.12    0.00    0.00    0.00   58.43
11:04:02     all   18.18    0.00   22.73    0.00    0.00    1.14    0.00    0.00    0.00   57.95
11:04:03     all   20.45    0.00   20.45    0.00    0.00    2.27    0.00    0.00    0.00   56.82
11:04:04     all   17.65    0.00   18.82    4.71    0.00    1.18    0.00    0.00    0.00   57.65
11:04:05     all   24.42    0.00   16.28    0.00    0.00    1.16    0.00    0.00    0.00   58.14
11:04:06     all   13.95    0.00   20.93    0.00    0.00    3.49    0.00    0.00    0.00   61.63
11:04:07     all   16.67    0.00   23.33    0.00    0.00    2.22    0.00    0.00    0.00   57.78
11:04:08     all   17.44    0.00   22.09    0.00    0.00    1.16    0.00    0.00    0.00   59.30
11:04:09     all   22.73    0.00   13.64    4.55    0.00    3.41    0.00    0.00    0.00   55.68
11:04:10     all   24.44    0.00   12.22    0.00    0.00    3.33    0.00    0.00    0.00   60.00
11:04:11     all   26.97    0.00   14.61    0.00    0.00    3.37    0.00    0.00    0.00   55.06
11:04:12     all   20.93    0.00   16.28    0.00    0.00    2.33    0.00    0.00    0.00   60.47
11:04:13     all   18.60    0.00   16.28    0.00    0.00    2.33    0.00    0.00    0.00   62.79
11:04:14     all   32.99    0.00   12.37    0.00    0.00    3.09    0.00    0.00    0.00   51.55
11:04:15     all   24.73    0.00   15.05    4.30    0.00    3.23    0.00    0.00    0.00   52.69
11:04:16     all   19.57    0.00   13.04    0.00    0.00    6.52    0.00    0.00    0.00   60.87
11:04:17     all   44.19    0.00    9.30    0.00    0.00    2.33    0.00    0.00    0.00   44.19
11:04:18     all   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:04:19     all   20.25    0.00   10.13    0.00    0.00    1.27    0.00    0.00    0.00   68.35
11:04:20     all   18.99    0.00   13.92    5.06    0.00    3.80    0.00    0.00    0.00   58.23
11:04:21     all   13.48    0.00   25.84    0.00    0.00    1.12    0.00    0.00    0.00   59.55
11:04:22     all   20.24    0.00   17.86    0.00    0.00    1.19    0.00    0.00    0.00   60.71
11:04:23     all   16.13    0.00   26.88    0.00    0.00    2.15    0.00    0.00    0.00   54.84
11:04:24     all   10.75    0.00   26.88    0.00    0.00    2.15    0.00    0.00    0.00   60.22
11:04:25     all   18.75    0.00   25.00    4.17    0.00    3.12    0.00    0.00    0.00   48.96
11:04:26     all   17.20    0.00   25.81    0.00    0.00    2.15    0.00    0.00    0.00   54.84
11:04:27     all   17.39    0.00   21.74    0.00    0.00    3.26    0.00    0.00    0.00   57.61
11:04:28     all   13.54    0.00   29.17    0.00    0.00    2.08    0.00    0.00    0.00   55.21
11:04:29     all   21.11    0.00   21.11    0.00    0.00    2.22    0.00    0.00    0.00   55.56
11:04:30     all   17.78    0.00   23.33    0.00    0.00    1.11    0.00    0.00    0.00   57.78
11:04:31     all   15.56    0.00   23.33    4.44    0.00    1.11    0.00    0.00    0.00   55.56
11:04:32     all   13.64    0.00   23.86    0.00    0.00    2.27    0.00    0.00    0.00   60.23
11:04:33     all   19.35    0.00   22.58    0.00    0.00    1.08    0.00    0.00    0.00   56.99
11:04:34     all   14.44    0.00   22.22    0.00    0.00    4.44    0.00    0.00    0.00   58.89
11:04:35     all   16.30    0.00   25.00    0.00    0.00    3.26    0.00    0.00    0.00   55.43
11:04:36     all   17.72    0.00   13.92    5.06    0.00    3.80    0.00    0.00    0.00   59.49
11:04:37     all   20.99    0.00   13.58    0.00    0.00    2.47    0.00    0.00    0.00   62.96
11:04:38     all   18.18    0.00   18.18    0.00    0.00    4.55    0.00    0.00    0.00   59.09
11:04:39     all   26.32    0.00   12.63    0.00    0.00    4.21    0.00    0.00    0.00   56.84
11:04:40     all   22.58    0.00   12.90    0.00    0.00    3.23    0.00    0.00    0.00   61.29
