Linux 4.4.0-142-generic (vm) 	2025-02-17 	_x86_64_	(1 CPU)

14:39:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:39:50     all   52.04    0.00   18.37    0.00    0.00    0.00    0.00    0.00    0.00   29.59
14:39:51     all   12.87    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   83.17
14:39:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:39:53     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:39:54     all    0.99    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00   93.07
14:39:55     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:39:56     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
14:39:57     all    0.00    0.00    1.01    8.08    0.00    0.00    0.00    0.00    0.00   90.91
14:39:58     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
14:39:59     all    7.92    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   88.12
14:40:00     all    7.07   77.78    6.06    0.00    0.00    0.00    0.00    0.00    0.00    9.09
14:40:01     all   21.00   74.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:40:02     all    5.00   11.00   15.00    2.00    0.00    0.00    0.00    0.00    0.00   67.00
14:40:03     all   27.45    0.00    4.90    2.94    0.00    0.00    0.00    0.00    0.00   64.71
14:40:04     all    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
14:40:05     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:07     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
14:40:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:10     all    9.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
14:40:11     all   17.17    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   77.78
14:40:12     all    0.99    0.00    0.00    8.91    0.00    0.00    0.00    0.00    0.00   90.10
14:40:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:14     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
14:40:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:17     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:18     all    1.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   92.00
14:40:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:40:22     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
14:40:23     all   13.95    0.00   17.44    3.49    0.00    6.98    0.00    0.00    0.00   58.14
14:40:24     all   19.78    0.00   15.38    0.00    0.00    2.20    0.00    0.00    0.00   62.64
14:40:25     all   30.43    0.00   10.87    0.00    0.00    1.09    0.00    0.00    0.00   57.61
14:40:26     all   30.43    0.00   10.87    0.00    0.00    1.09    0.00    0.00    0.00   57.61
14:40:27     all   26.37    0.00    8.79    0.00    0.00    2.20    0.00    0.00    0.00   62.64
14:40:28     all   17.78    0.00   15.56    4.44    0.00    1.11    0.00    0.00    0.00   61.11
14:40:29     all   31.63    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   54.08
14:40:30     all   18.68    0.00   16.48    0.00    0.00    1.10    0.00    0.00    0.00   63.74
14:40:31     all   24.47    0.00   13.83    0.00    0.00    3.19    0.00    0.00    0.00   58.51
14:40:32     all   34.07    0.00   19.78    0.00    0.00    1.10    0.00    0.00    0.00   45.05
14:40:33     all   32.94    0.00   20.00   11.76    0.00    3.53    0.00    0.00    0.00   31.76
14:40:34     all   41.24    0.00    9.28    6.19    0.00    1.03    0.00    0.00    0.00   42.27
14:40:35     all   46.94    0.00    9.18    0.00    0.00    2.04    0.00    0.00    0.00   41.84
14:40:36     all   22.58    0.00   11.83    0.00    0.00    3.23    0.00    0.00    0.00   62.37
14:40:37     all   24.44    0.00   11.11    0.00    0.00    1.11    0.00    0.00    0.00   63.33
14:40:38     all   30.53    0.00   12.63    0.00    0.00    2.11    0.00    0.00    0.00   54.74
14:40:39     all   24.44    0.00   16.67    4.44    0.00    2.22    0.00    0.00    0.00   52.22
14:40:40     all   20.69    0.00   18.39    0.00    0.00    2.30    0.00    0.00    0.00   58.62
14:40:41     all   28.26    0.00   19.57    0.00    0.00    1.09    0.00    0.00    0.00   51.09
14:40:42     all   27.96    0.00   13.98    0.00    0.00    2.15    0.00    0.00    0.00   55.91
14:40:43     all   27.78    0.00   15.56    0.00    0.00    1.11    0.00    0.00    0.00   55.56
14:40:44     all   27.17    0.00   15.22   13.04    0.00    2.17    0.00    0.00    0.00   42.39
14:40:45     all   27.78    0.00   15.56    0.00    0.00    2.22    0.00    0.00    0.00   54.44
14:40:46     all   25.58    0.00   15.12    0.00    0.00    2.33    0.00    0.00    0.00   56.98
14:40:47     all   24.18    0.00   15.38    0.00    0.00    1.10    0.00    0.00    0.00   59.34
14:40:48     all   56.38    0.00    7.45    0.00    0.00    1.06    0.00    0.00    0.00   35.11
14:40:49     all   46.32    0.00   10.53    5.26    0.00    0.00    0.00    0.00    0.00   37.89
14:40:50     all   23.08    0.00   17.58    0.00    0.00    3.30    0.00    0.00    0.00   56.04
14:40:51     all   18.09    0.00   25.53    8.51    0.00    1.06    0.00    0.00    0.00   46.81
14:40:52     all   25.53    0.00   20.21    0.00    0.00    2.13    0.00    0.00    0.00   52.13
14:40:53     all   32.99    0.00   13.40    0.00    0.00    3.09    0.00    0.00    0.00   50.52
14:40:54     all   32.61    0.00   10.87    0.00    0.00    2.17    0.00    0.00    0.00   54.35
14:40:55     all   29.21    0.00   11.24    0.00    0.00    1.12    0.00    0.00    0.00   58.43
14:40:56     all   15.12    0.00   16.28    3.49    0.00    2.33    0.00    0.00    0.00   62.79
14:40:57     all   20.99    0.00   16.05    0.00    0.00    3.70    0.00    0.00    0.00   59.26
14:40:58     all   26.37    0.00   17.58    0.00    0.00    3.30    0.00    0.00    0.00   52.75
14:40:59     all   46.39    0.00   14.43    2.06    0.00    1.03    0.00    0.00    0.00   36.08
14:41:00     all   33.70    0.00   15.22    2.17    0.00    3.26    0.00    0.00    0.00   45.65
14:41:01     all   36.63    0.00   13.86    8.91    0.00    3.96    0.00    0.00    0.00   36.63
14:41:02     all   24.47    0.00   20.21   54.26    0.00    1.06    0.00    0.00    0.00    0.00
14:41:03     all   29.07    0.00   13.95   36.05    0.00    1.16    0.00    0.00    0.00   19.77
14:41:04     all   26.14    0.00   17.05    0.00    0.00    2.27    0.00    0.00    0.00   54.55
14:41:05     all   24.44    0.00   13.33    0.00    0.00    2.22    0.00    0.00    0.00   60.00
14:41:06     all   17.86    0.00   17.86    0.00    0.00    5.95    0.00    0.00    0.00   58.33
14:41:07     all   26.67    0.00   17.78   54.44    0.00    1.11    0.00    0.00    0.00    0.00
14:41:08     all   36.46    0.00   10.42    0.00    0.00    3.12    0.00    0.00    0.00   50.00
14:41:09     all   44.79    0.00   11.46    0.00    0.00    1.04    0.00    0.00    0.00   42.71
14:41:10     all   38.14    0.00   11.34    0.00    0.00    1.03    0.00    0.00    0.00   49.48
14:41:11     all   30.43    0.00   13.04    0.00    0.00    1.09    0.00    0.00    0.00   55.43
14:41:12     all   32.32    0.00   16.16   31.31    0.00    2.02    0.00    0.00    0.00   18.18
14:41:13     all   52.00    0.00   10.00   18.00    0.00    2.00    0.00    0.00    0.00   18.00
14:41:14     all   76.64    0.00    0.93    0.00    0.00    0.93    0.00    0.00    0.00   21.50
14:41:15     all   74.34    0.00    4.42    0.88    0.00    0.00    0.00    0.00    0.00   20.35
14:41:16     all   81.25    0.00    1.79    0.00    0.00    0.89    0.00    0.00    0.00   16.07
14:41:17     all   75.93    0.00    1.85    4.63    0.00    0.00    0.00    0.00    0.00   17.59
14:41:18     all   82.88    0.00    1.80    5.41    0.00    0.00    0.00    0.00    0.00    9.91
14:41:19     all   82.88    0.00    0.90    0.90    0.00    0.00    0.00    0.00    0.00   15.32
14:41:20     all   86.36    0.00    0.00    0.00    0.00    0.91    0.00    0.00    0.00   12.73
14:41:21     all   84.82    0.00    0.89    0.89    0.00    0.00    0.00    0.00    0.00   13.39
14:41:22     all   88.39    0.00    0.00    0.89    0.00    0.00    0.00    0.00    0.00   10.71
14:41:23     all   87.85    0.00    0.93    3.74    0.00    0.00    0.00    0.00    0.00    7.48
14:41:24     all   84.82    0.00    1.79    0.89    0.00    0.00    0.00    0.00    0.00   12.50
14:41:25     all   89.09    0.00    0.00    0.91    0.00    0.00    0.00    0.00    0.00   10.00
14:41:26     all   88.99    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   10.09
14:41:27     all   86.73    0.00    1.77    0.88    0.00    0.00    0.00    0.00    0.00   10.62
14:41:28     all   92.52    0.00    0.00    3.74    0.00    0.00    0.00    0.00    0.00    3.74
14:41:29     all   88.24    0.00    7.84    0.00    0.00    0.00    0.00    0.00    0.00    3.92
14:41:30     all   86.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:31     all   84.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:32     all   82.18    0.00   17.82    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:33     all   79.00    0.00   21.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:34     all   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:35     all   94.95    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:36     all   90.10    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:37     all   92.93    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:38     all   85.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:39     all   91.09    0.00    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:40     all   81.82    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:41:41     all   90.29    0.00    6.80    0.97    0.00    0.00    0.00    0.00    0.00    1.94
14:41:42     all   85.84    0.00    0.88    0.88    0.00    0.00    0.00    0.00    0.00   12.39
14:41:43     all   81.25    0.00    1.79    0.89    0.00    0.89    0.00    0.00    0.00   15.18
14:41:44     all   90.57    0.00    0.94    0.94    0.00    0.00    0.00    0.00    0.00    7.55
14:41:45     all   87.16    0.00    0.92   11.93    0.00    0.00    0.00    0.00    0.00    0.00
14:41:46     all   81.82    0.00    0.91    2.73    0.00    0.00    0.00    0.00    0.00   14.55
