  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:37:32      0.06      0.00
18:37:33      0.33      0.00
18:37:34      0.00      0.00
18:37:35      0.06      0.06
18:37:36      0.00      0.00
18:37:37      0.33      0.00
18:37:38      0.00      0.00
18:37:39      0.00      0.04
18:37:40      0.00      0.08
18:37:41      2.05      0.35
18:37:42      1.45      3.09
18:37:43      0.00      0.00
18:37:44      0.00      0.00
18:37:45      0.00      0.00
18:37:46      0.00      0.00
18:37:47      0.33      0.00
18:37:48      0.00      0.00
18:37:49      0.00      0.00
18:37:50      0.06      0.00
18:37:51      2.50      0.47
18:37:52      1.44      3.50
18:37:53      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:37:54      0.00      0.00
18:37:55      0.33      0.00
18:37:56      0.00      0.00
18:37:57      0.06      0.00
18:37:58      0.00      0.00
18:37:59      0.00      0.00
18:38:00      0.06      0.00
18:38:01      0.06      0.00
18:38:02      0.00      0.00
18:38:03      0.00      0.00
18:38:04  13075.06    826.68
18:38:05  15324.19    968.73
18:38:06  14353.99    906.72
18:38:07  14423.88    911.50
18:38:08  14290.35    902.99
18:38:09  14782.44    934.07
18:38:10  14644.22    925.71
18:38:11  12531.23    792.28
18:38:12  16743.77   1058.10
18:38:13  17168.15   1084.83
18:38:14  17445.09   1102.28
18:38:15  14136.66    893.71
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:38:16  14730.34    930.43
18:38:17  14507.24    917.27
18:38:18  15565.01    983.32
18:38:19  10555.21    667.58
18:38:20  14947.61    945.03
18:38:21  14440.64    912.13
18:38:22  14263.61    901.59
18:38:23  15267.23    964.55
18:38:24  17320.77   1094.64
18:38:25  14462.87    914.33
18:38:26  13760.91    869.24
18:38:27  14602.25    922.68
18:38:28  13766.54    870.03
18:38:29  13508.75    853.60
18:38:30  14477.14    915.15
18:38:31  13401.50    847.01
18:38:32  14780.06    933.86
18:38:33  13066.84    825.73
18:38:34  12805.65    809.42
18:38:35   9276.39    586.88
18:38:36  14676.17    927.08
18:38:37  17514.09   1107.07
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:38:38  18529.18   1170.71
18:38:39  18108.42   1144.56
18:38:40  15885.73   1003.95
18:38:41  14923.39    942.83
18:38:42  15176.95    959.01
18:38:43  14558.35    920.26
18:38:44  14903.69    942.11
18:38:45  13818.09    872.76
18:38:46  15225.62    962.17
18:38:47  13726.45    867.86
18:38:48  15040.08    950.44
18:38:49  17408.28   1099.93
18:38:50  17738.33   1120.88
18:38:51  18482.50   1168.05
18:38:52  17698.70   1118.37
18:38:53  16913.33   1068.82
18:38:54  16493.55   1042.07
18:38:55  15371.94    971.56
18:38:56  18498.69   1169.22
18:38:57  16915.57   1068.89
18:38:58  17162.45   1084.63
18:38:59  17560.36   1109.54
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:39:00  17336.94   1095.51
18:39:01  16719.67   1056.94
18:39:02  13497.95    853.01
18:39:03   1239.62     79.33
18:39:04  18763.43   1185.95
18:39:05  17772.73   1122.84
18:39:06  17264.44   1091.51
18:39:07  16095.01   1016.65
18:39:08  17568.26   1110.42
18:39:09  17046.29   1077.37
18:39:10  15937.44   1006.72
18:39:11  16882.10   1067.06
18:39:12  17055.07   1078.06
18:39:13  15723.05    993.16
18:39:14  15740.77    994.65
18:39:15  17820.68   1126.59
18:39:16  17677.38   1116.81
18:39:17  18387.84   1161.98
18:39:18  18574.89   1173.89
18:39:19  18967.06   1198.53
18:39:20  18124.21   1145.41
18:39:21  19171.41   1211.71
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:39:22  18024.74   1138.84
18:39:23  19274.07   1218.22
18:39:24  19284.74   1218.38
18:39:25  18463.30   1166.82
18:39:26  18449.20   1166.09
18:39:27  19896.88   1257.07
18:39:28  18979.58   1199.46
18:39:29  16510.29   1043.20
18:39:30  14515.77    917.81
18:39:31  14870.02    939.18
18:39:32  14037.12    887.27
18:39:33  14620.77    923.71
18:39:34  14456.36    914.06
18:39:35  14836.91    937.07
18:39:36  13914.39    879.38
18:39:37  14577.54    921.35
18:39:38  15609.77    986.49
18:39:39  16264.96   1027.99
18:39:40  16205.03   1023.69
18:39:41  15725.40    993.67
18:39:42  15792.20    998.31
18:39:43  15765.39    995.98
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:39:44  17072.09   1078.92
18:39:45  16066.07   1015.28
18:39:46  18216.88   1151.19
18:39:47  17158.20   1084.36
18:39:48  17589.05   1111.38
18:39:49  17119.55   1082.14
18:39:50  14952.11    944.95
18:39:51  16826.55   1063.19
18:39:52  17105.30   1081.02
18:39:53  16484.25   1041.32
18:39:54  15494.11    979.28
18:39:55  17330.82   1095.34
18:39:56  16994.26   1073.70
18:39:57   4013.78    254.43
18:39:58      6.91      0.50
18:39:59   8415.86    533.21
18:40:00  19068.15   1204.97
18:40:01  20251.52   1279.77
18:40:02  19164.43   1211.00
18:40:03  18132.77   1145.95
18:40:04  19542.50   1234.82
18:40:05  18540.60   1171.65
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
18:40:06  19440.79   1228.68
18:40:07  17411.67   1100.02
18:40:08  17707.69   1118.95
18:40:09  18966.55   1198.93
18:40:10  18557.68   1172.44
18:40:11  17963.95   1135.26
18:40:12  13780.40    871.20
18:40:13  14670.67    926.81
18:40:14  14447.61    912.90
18:40:15  15466.13    977.29
18:40:16  14303.80    903.91
