Linux 4.4.0-142-generic (vm) 	2025-02-17 	_x86_64_	(1 CPU)

19:54:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:54:32     all   52.53    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   29.29
19:54:33     all   12.12    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   85.86
19:54:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:54:35     all    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
19:54:36     all    0.00    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00   93.07
19:54:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:54:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:54:39     all    1.01    0.00    1.01    7.07    0.00    0.00    0.00    0.00    0.00   90.91
19:54:40     all    7.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
19:54:41     all    1.00    9.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
19:54:42     all    5.10   90.82    4.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:54:43     all   10.78   26.47   17.65    1.96    0.00    0.00    0.00    0.00    0.00   43.14
19:54:44     all    8.91    0.00    1.98    7.92    0.00    0.00    0.00    0.00    0.00   81.19
19:54:45     all   19.00    0.00    2.00    2.00    0.00    0.00    0.00    0.00    0.00   77.00
19:54:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:54:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:54:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:54:49     all    0.00    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00   92.93
19:54:50     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:54:51     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:54:52     all   11.88    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   84.16
