Linux 4.4.0-142-generic (vm) 	2025-02-18 	_x86_64_	(1 CPU)

04:32:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:58     all   48.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   32.00
04:32:59     all   13.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
04:33:00     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:33:01     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:02     all    4.04    0.00    0.00   26.26    0.00    0.00    0.00    0.00    0.00   69.70
04:33:03     all    0.00    0.00    0.00   20.79    0.00    0.00    0.00    0.00    0.00   79.21
04:33:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:05     all    0.00    0.00    1.01    8.08    0.00    0.00    0.00    0.00    0.00   90.91
04:33:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:07     all    8.08    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   88.89
04:33:08     all    8.08   34.34    6.06    0.00    0.00    0.00    0.00    0.00    0.00   51.52
04:33:09     all   10.89   80.20    7.92    0.99    0.00    0.00    0.00    0.00    0.00    0.00
04:33:10     all    4.00    7.00   11.00   10.00    0.00    0.00    0.00    0.00    0.00   68.00
04:33:11     all   24.75    0.00    4.95    2.97    0.00    0.00    0.00    0.00    0.00   67.33
04:33:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:16     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
04:33:17     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:18     all   12.12    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   82.83
04:33:19     all   16.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
04:33:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:21     all    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
04:33:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:23     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:33:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:26     all    0.00    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00   92.93
04:33:27     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:33:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:29     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:30     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:33:31     all   15.84    0.00   34.65    0.00    0.00    5.94    0.00    0.00    0.00   43.56
04:33:32     all   19.15    0.00   28.72    3.19    0.00    4.26    0.00    0.00    0.00   44.68
04:33:33     all   16.16    0.00   34.34    0.00    0.00    4.04    0.00    0.00    0.00   45.45
04:33:34     all   18.28    0.00   24.73    0.00    0.00    3.23    0.00    0.00    0.00   53.76
04:33:35     all   21.11    0.00   20.00    0.00    0.00    4.44    0.00    0.00    0.00   54.44
04:33:36     all   19.15    0.00   22.34    0.00    0.00    5.32    0.00    0.00    0.00   53.19
04:33:37     all   20.20    0.00   23.23    4.04    0.00    5.05    0.00    0.00    0.00   47.47
04:33:38     all   34.00    0.00   19.00    0.00    0.00    4.00    0.00    0.00    0.00   43.00
04:33:39     all   14.43    0.00   25.77    0.00    0.00    6.19    0.00    0.00    0.00   53.61
04:33:40     all   29.90    0.00   19.59    0.00    0.00    5.15    0.00    0.00    0.00   45.36
04:33:41     all   13.40    0.00   22.68    0.00    0.00    7.22    0.00    0.00    0.00   56.70
04:33:42     all   21.00    0.00   21.00    4.00    0.00    7.00    0.00    0.00    0.00   47.00
04:33:43     all   22.34    0.00   19.15    0.00    0.00    4.26    0.00    0.00    0.00   54.26
04:33:44     all   17.20    0.00   21.51    0.00    0.00    7.53    0.00    0.00    0.00   53.76
04:33:45     all   36.84    0.00   16.84    0.00    0.00    3.16    0.00    0.00    0.00   43.16
04:33:46     all   31.91    0.00   15.96    0.00    0.00    2.13    0.00    0.00    0.00   50.00
04:33:47     all   18.68    0.00   23.08    0.00    0.00    4.40    0.00    0.00    0.00   53.85
04:33:48     all   22.92    0.00   20.83    3.12    0.00    4.17    0.00    0.00    0.00   48.96
04:33:49     all   20.21    0.00   21.28    0.00    0.00    2.13    0.00    0.00    0.00   56.38
04:33:50     all   18.00    0.00   24.00    0.00    0.00    7.00    0.00    0.00    0.00   51.00
04:33:51     all   19.79    0.00   20.83    0.00    0.00    6.25    0.00    0.00    0.00   53.12
