  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:54:08      0.00      0.00
02:54:09      0.06      0.00
02:54:10      0.00      0.00
02:54:11      0.06      0.06
02:54:12      0.39      0.00
02:54:13      0.06      0.00
02:54:14      0.06      0.04
02:54:15      0.00      0.00
02:54:16      0.33      0.08
02:54:17      0.31      0.24
02:54:18      2.96      3.20
02:54:19      0.06      0.00
02:54:20      0.33      0.00
02:54:21      0.00      0.00
02:54:22      0.06      0.00
02:54:23      0.06      0.00
02:54:24      0.06      0.00
02:54:25      0.00      0.00
02:54:26      0.24      0.00
02:54:27      2.11      0.47
02:54:28      1.38      3.50
02:54:29      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:54:30      0.39      0.00
02:54:31      0.12      0.00
02:54:32      0.00      0.00
02:54:33      0.00      0.00
02:54:34      0.33      0.00
02:54:35      0.12      0.00
02:54:36      0.06      0.00
02:54:37      0.12      0.00
02:54:38      0.33      0.00
02:54:39      0.06      0.00
02:54:40  10057.61    635.92
02:54:41  15447.93    976.28
02:54:42  15276.60    965.67
02:54:43  15926.88   1006.41
02:54:44  14377.40    908.27
02:54:45  14712.22    929.65
02:54:46  14297.63    903.52
02:54:47  12217.04    772.50
02:54:48  14679.42    928.30
02:54:49  14955.71    944.82
02:54:50  19371.97   1224.26
02:54:51  16439.18   1038.71
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:54:52  16038.88   1013.97
02:54:53  14715.21    929.40
02:54:54  15511.37    980.65
02:54:55  11238.45    710.68
02:54:56  15883.05   1003.83
02:54:57  15761.72    995.75
02:54:58  15183.07    959.98
02:54:59  15121.53    955.15
02:55:00  14252.80    901.05
02:55:01  15235.75    962.51
02:55:02  15240.25    963.38
02:55:03  15931.59   1006.78
02:55:04  16201.59   1023.12
02:55:05  15634.87    988.60
02:55:06  15261.02    964.52
02:55:07  15251.78    963.81
02:55:08  14481.98    915.17
02:55:09  14507.57    916.50
02:55:10   7640.55    483.95
02:55:11  15897.61   1004.41
02:55:12  14873.04    939.66
02:55:13  14668.02    926.85
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:55:14  15178.45    959.24
02:55:15  15107.19    954.75
02:55:16  15237.69    962.78
02:55:17  14300.44    903.70
02:55:18  15263.11    964.69
02:55:19  14522.44    917.95
02:55:20  14529.17    917.97
02:55:21  14510.20    917.03
02:55:22  14678.03    927.92
02:55:23  15457.25    976.37
02:55:24  15077.82    952.80
02:55:25  14545.08    919.30
02:55:26  14643.18    925.65
02:55:27  15739.57    994.33
02:55:28  15250.73    963.61
02:55:29  15148.98    957.61
02:55:30  15789.88    997.75
02:55:31  16188.07   1023.18
02:55:32  15041.02    950.36
02:55:33  14246.31    899.92
02:55:34  15901.95   1004.98
02:55:35  15243.54    963.44
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:55:36  15687.28    991.19
02:55:37  15337.37    969.30
02:55:38  16301.81   1030.60
02:55:39  15726.59    993.82
02:55:40   1430.46     91.51
02:55:41  12743.92    806.00
02:55:42  17455.09   1102.74
02:55:43  16729.40   1057.48
02:55:44  16007.41   1011.35
02:55:45  16266.79   1027.72
02:55:47  14922.84    943.03
02:55:48  16043.31   1014.34
02:55:49  16255.07   1027.15
02:55:50  15362.72    970.45
02:55:51  15783.33    997.55
02:55:52  14550.64    919.37
02:55:53  15282.91    966.07
02:55:54  16108.48   1017.81
02:55:55  15861.16   1002.69
02:55:56  15704.47    992.14
02:55:57  15623.47    987.02
02:55:58  15830.70   1000.91
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:55:59  15530.94    980.95
02:56:00  14711.75    929.91
02:56:01  15584.18    984.95
02:56:02  14624.02    923.93
02:56:03  14310.63    904.62
02:56:04  14563.14    919.99
02:56:05  13594.82    859.11
02:56:06  14007.84    885.14
02:56:07  14087.41    890.23
02:56:08  13871.78    876.81
02:56:09  14285.38    902.53
02:56:10  14122.87    892.69
02:56:11  15298.53    966.99
02:56:12  14832.22    936.80
02:56:13  15980.99   1009.97
02:56:14  14800.06    935.27
02:56:15  15445.88    976.51
02:56:16  15606.20    985.78
02:56:17  14398.01    909.87
02:56:18  15438.49    975.62
02:56:19  15966.19   1009.02
02:56:20  16118.79   1018.97
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:56:21  16178.83   1022.40
02:56:22  15355.52    969.92
02:56:23  14435.78    912.25
02:56:24  14699.84    928.94
02:56:25  14469.51    914.38
02:56:26  13911.40    879.31
02:56:27  13815.90    873.30
02:56:28  14020.23    885.56
02:56:29  14200.05    897.50
02:56:30  13797.69    872.29
02:56:31  14007.12    885.02
02:56:32  14199.11    896.94
02:56:33  14603.63    923.36
02:56:34  14130.38    892.95
02:56:35  14668.12    926.50
02:56:36  13795.09    871.69
02:56:37  14433.42    912.15
02:56:38  14880.14    940.33
02:56:39  14489.07    915.91
02:56:40  14969.12    946.00
02:56:41  14404.08    910.32
02:56:42   1056.53     66.73
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:56:43      6.85      0.50
02:56:44  10021.10    633.95
02:56:45  14689.06    928.26
02:56:46  14879.69    940.23
02:56:47  14771.29    933.96
02:56:48  14854.89    938.67
02:56:49  14555.84    919.77
02:56:50  14039.36    887.13
02:56:51  14134.08    892.90
02:56:52  14037.13    887.35
02:56:53  13494.85    853.01
02:56:54  14710.82    929.42
02:56:55  14614.37    923.23
02:56:56  11436.78    722.73
02:56:57  13923.71    879.97
02:56:58  10851.73    686.10
02:56:59  13146.67    830.36
02:57:00  14240.79    900.29
02:57:01   8930.37    564.13
02:57:02   2466.06    156.11
02:57:03   2344.01    148.19
02:57:04   2330.95    147.01
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:57:05   2254.07    142.66
02:57:06   2260.99    142.95
02:57:07   2274.88    143.76
02:57:08   2264.75    142.68
02:57:09   2240.70    141.96
02:57:10  11209.31    708.07
02:57:11  13876.17    877.25
02:57:12  12988.33    820.42
02:57:13  13456.27    850.69
02:57:14  13474.23    851.05
02:57:15  12850.69    812.01
02:57:16  12898.43    814.94
02:57:17  12889.97    814.71
02:57:18   4097.47    259.22
02:57:19   2219.80    140.06
02:57:20   2220.42    140.22
02:57:21   2240.53    142.02
02:57:22   2220.09    140.29
02:57:23   2199.55    138.99
02:57:24   2206.39    139.43
02:57:25   2161.81    136.68
02:57:26   2150.79    135.56
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:57:27   2213.14    140.23
02:57:28   2185.58    138.29
02:57:29   2620.77    165.54
02:57:30   2731.45    172.32
02:57:31   2587.96    163.74
02:57:32   2581.01    162.82
02:57:33   2612.81    165.47
02:57:34   2601.74    164.39
02:57:35   3322.03    210.00
02:57:36   7655.59    483.40
02:57:37  12996.38    821.47
02:57:38  13275.00    839.09
02:57:39  12907.02    815.50
02:57:40  13573.66    857.77
02:57:41  13052.29    825.11
02:57:42  13315.25    841.51
02:57:43  12361.17    780.72
02:57:44  12573.75    794.66
02:57:45  13208.51    834.70
02:57:46  13140.01    830.22
02:57:47  12990.15    820.90
02:57:48  12394.71    783.48
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:57:49  13006.48    821.69
02:57:50  12760.55    806.53
02:57:51  14097.81    890.89
02:57:52  13602.35    859.49
02:57:53  12742.99    805.64
02:57:54  13287.98    839.43
02:57:55  12391.20    782.98
02:57:56  12692.55    802.21
02:57:57  12577.68    794.69
02:57:58  13215.20    835.05
02:57:59  12591.76    795.94
02:58:00  12400.27    783.84
02:58:01  12399.08    783.18
02:58:02  12986.28    820.73
02:58:03  12755.34    805.98
02:58:04  12827.90    810.64
02:58:05  12920.52    816.50
02:58:06  12982.25    820.61
02:58:07  12506.76    790.55
02:58:08  12852.24    811.82
02:58:09  12402.32    783.68
02:58:10  12947.62    818.17
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:58:11  12826.15    810.60
02:58:12  13040.89    824.10
02:58:13  13425.13    848.24
02:58:14  12957.15    819.29
02:58:15  13567.86    857.04
02:58:16  12794.35    808.52
02:58:17  12360.37    781.03
02:58:18  13105.53    828.48
02:58:19  12442.83    786.09
02:58:20  11754.71    743.11
02:58:21  12421.16    784.58
02:58:22  11435.30    722.57
02:58:23  14211.58    898.58
02:58:24  11847.15    748.30
02:58:25  12870.05    813.21
02:58:26  11681.78    738.39
02:58:27  11577.52    731.70
02:58:28  13105.62    828.68
02:58:29  12596.61    796.38
02:58:30  12298.56    778.05
02:58:31  13727.64    867.43
02:58:32  12887.88    814.51
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:58:33  12667.85    800.37
02:58:34  12530.32    791.62
02:58:35  13075.79    826.45
02:58:36  12598.78    796.45
02:58:37  12997.98    820.96
02:58:38  12443.76    786.37
02:58:39  13292.05    839.97
02:58:40  13035.80    823.85
02:58:41  11652.22    736.42
02:58:42  13119.93    829.03
02:58:43  13201.88    834.69
02:58:44  13543.11    855.70
02:58:45  13841.62    874.49
02:58:46  12685.85    801.60
02:58:47  12949.47    818.31
02:58:48  12788.36    808.00
02:58:49  12879.90    814.51
02:58:50  12360.98    780.63
02:58:51  14132.38    893.13
02:58:52  13280.23    839.45
02:58:53  12252.56    773.99
02:58:54  13713.29    866.74
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:58:55  12790.21    808.19
02:58:56  12537.05    792.35
02:58:57  12781.86    807.97
02:58:58  12541.45    792.33
02:58:59  12702.46    803.38
02:59:00  12663.16    800.25
02:59:01  12622.96    797.55
02:59:02  12382.30    782.57
02:59:03  13160.46    831.89
02:59:04  13176.73    832.63
02:59:05  12202.99    792.73
02:59:06  13954.82    889.17
02:59:07  14378.55    982.90
