Linux 4.4.0-142-generic (vm) 	2025-02-16 	_x86_64_	(1 CPU)

20:11:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:11:22     all   50.00    0.00   17.00    0.00    0.00    0.00    0.00    0.00    0.00   33.00
20:11:23     all   10.10    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   86.87
20:11:24     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
20:11:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:26     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
20:11:27     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:29     all    0.00    0.00    1.01   37.37    0.00    0.00    0.00    0.00    0.00   61.62
20:11:30     all    1.01    0.00    2.02   88.89    0.00    0.00    0.00    0.00    0.00    8.08
20:11:31     all    9.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
20:11:32     all    5.94   83.17    9.90    0.99    0.00    0.00    0.00    0.00    0.00    0.00
20:11:33     all   14.14   59.60   17.17    9.09    0.00    0.00    0.00    0.00    0.00    0.00
20:11:34     all    1.00   90.00    7.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
20:11:35     all   15.00   81.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:11:36     all    0.00   81.00    7.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00
20:11:37     all    2.02   28.28    5.05   64.65    0.00    0.00    0.00    0.00    0.00    0.00
20:11:38     all   34.00    1.00    5.00   50.00    0.00    0.00    0.00    0.00    0.00   10.00
20:11:39     all   34.34    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   56.57
20:11:40     all   19.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   78.00
20:11:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:42     all    8.00    0.00    7.00    5.00    0.00    0.00    0.00    0.00    0.00   80.00
20:11:43     all   24.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   66.00
20:11:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:45     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
20:11:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:48     all    0.00    0.00    0.98    6.86    0.00    0.00    0.00    0.00    0.00   92.16
20:11:49     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:50     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:51     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
20:11:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:53     all    0.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   94.00
20:11:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:11:55     all   23.33    0.00   20.00    0.00    0.00    4.44    0.00    0.00    0.00   52.22
20:11:56     all   14.61    0.00   23.60    0.00    0.00    2.25    0.00    0.00    0.00   59.55
20:11:57     all   17.65    0.00   20.00    0.00    0.00    2.35    0.00    0.00    0.00   60.00
20:11:58     all   13.48    0.00   23.60    7.87    0.00    2.25    0.00    0.00    0.00   52.81
20:11:59     all   21.36    0.00   25.24    0.00    0.00    3.88    0.00    0.00    0.00   49.51
20:12:00     all   22.34    0.00   20.21    0.00    0.00    4.26    0.00    0.00    0.00   53.19
20:12:01     all   35.87    0.00   15.22    0.00    0.00    0.00    0.00    0.00    0.00   48.91
20:12:02     all   21.28    0.00   21.28    0.00    0.00    4.26    0.00    0.00    0.00   53.19
20:12:03     all   20.43    0.00   22.58    0.00    0.00    2.15    0.00    0.00    0.00   54.84
20:12:04     all   30.93    0.00   20.62    3.09    0.00    3.09    0.00    0.00    0.00   42.27
20:12:05     all   18.18    0.00   17.05    0.00    0.00    3.41    0.00    0.00    0.00   61.36
20:12:06     all   18.18    0.00   19.32    0.00    0.00    2.27    0.00    0.00    0.00   60.23
20:12:07     all   14.29    0.00   28.57    0.00    0.00    2.04    0.00    0.00    0.00   55.10
20:12:08     all   20.00    0.00   17.65    0.00    0.00    2.35    0.00    0.00    0.00   60.00
20:12:09     all   41.24    0.00   14.43    4.12    0.00    2.06    0.00    0.00    0.00   38.14
20:12:10     all   20.22    0.00   19.10    0.00    0.00    3.37    0.00    0.00    0.00   57.30
20:12:11     all   23.60    0.00   13.48    0.00    0.00    4.49    0.00    0.00    0.00   58.43
20:12:12     all   16.09    0.00   24.14    0.00    0.00    1.15    0.00    0.00    0.00   58.62
20:12:13     all   17.98    0.00   22.47    0.00    0.00    2.25    0.00    0.00    0.00   57.30
20:12:14     all   19.10    0.00   19.10    4.49    0.00    2.25    0.00    0.00    0.00   55.06
20:12:15     all   19.79    0.00   21.88    0.00    0.00    2.08    0.00    0.00    0.00   56.25
20:12:16     all   21.65    0.00   24.74    0.00    0.00    9.28    0.00    0.00    0.00   44.33
20:12:17     all   36.96    0.00   18.48    0.00    0.00    3.26    0.00    0.00    0.00   41.30
20:12:18     all   32.32    0.00   20.20    0.00    0.00    5.05    0.00    0.00    0.00   42.42
20:12:19     all   36.17    0.00    8.51    0.00    0.00    1.06    0.00    0.00    0.00   54.26
20:12:20     all   26.09    0.00   13.04    3.26    0.00    1.09    0.00    0.00    0.00   56.52
20:12:21     all   32.65    0.00   11.22    0.00    0.00    3.06    0.00    0.00    0.00   53.06
