  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
17:24:09      0.06      0.00
17:24:10      0.00      0.00
17:24:11      0.20      0.00
17:24:12      0.06      0.06
17:24:13      0.33      0.00
17:24:14      0.00      0.00
17:24:15      0.06      0.04
17:24:16      0.00      0.00
17:24:17      0.33      0.00
17:24:18      2.17      0.50
17:24:19      1.21      3.03
17:24:20      0.00      0.00
17:24:21      0.33      0.00
17:24:22      0.00      0.00
17:24:23      0.00      0.00
17:24:24      0.00      0.00
17:24:25      0.00      0.00
17:24:26      0.00      0.00
17:24:27      0.00      0.00
17:24:28      2.23      0.42
17:24:29      1.44      3.50
17:24:30      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
17:24:31      0.33      0.00
17:24:32      0.00      0.00
17:24:33      0.00      0.00
17:24:34      0.12      0.00
17:24:35      0.39      0.00
17:24:36      0.00      0.00
17:24:37      0.00      0.00
17:24:38      0.00      0.00
17:24:39      0.33      0.00
17:24:40      0.12      0.00
17:24:41  14269.00    902.26
17:24:42  15830.32   1000.52
17:24:43  15211.98    960.94
17:24:44  16907.94   1068.55
17:24:45  17195.27   1086.92
17:24:46  16723.58   1056.53
17:24:47  16150.82   1020.56
17:24:48  15599.36    985.95
17:24:49  16119.48   1019.28
17:24:50  16575.88   1046.98
17:24:51  17124.95   1082.34
17:24:52  15855.12   1002.08
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
17:24:53  16716.42   1056.57
17:24:54  14304.97    903.63
17:24:55  13840.94    875.69
17:24:56  15080.97    952.92
17:24:57  16405.56   1036.42
17:24:58  15862.82   1002.64
17:24:59  17042.67   1076.84
17:25:00  15087.83    953.46
17:25:01  16525.69   1044.32
17:25:02  16185.01   1022.79
17:25:03  15154.22    957.80
17:25:04  14925.88    943.36
17:25:05  15240.11    962.64
17:25:06  15683.97    991.56
17:25:07  15723.22    993.59
17:25:08  15125.06    955.37
17:25:09   7240.69    458.70
17:25:10  15727.47    993.95
17:25:11  14845.81    937.69
17:25:12  14427.64    911.73
17:25:13  14478.53    915.39
17:25:14  14072.63    889.01
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
17:25:15  15017.85    948.87
17:25:16  14410.98    910.83
17:25:17  15711.99    993.19
17:25:18  15527.65    981.25
17:25:19  15905.67   1004.94
17:25:20  15639.89    988.56
17:25:21  15458.04    976.56
17:25:22  15766.20    996.86
17:25:23  15782.46    997.28
17:25:24  15255.44    963.62
17:25:25  14996.53    947.67
17:25:26  14842.30    938.30
17:25:27  16212.86   1024.12
17:25:28  16583.59   1048.49
17:25:29  16505.16   1042.86
17:25:30  15833.22   1000.27
17:25:31  15405.89    973.91
17:25:32  14810.25    935.56
17:25:33  15216.68    962.01
17:25:34  15720.07    993.27
17:25:35  15881.91   1003.56
17:25:36  15231.95    962.64
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
17:25:37  15522.42    980.78
17:25:38  14771.55    933.76
17:25:39   3045.24    193.05
17:25:40  12502.58    790.73
17:25:41  15757.47    995.99
17:25:42  16469.34   1040.68
17:25:43  15816.24    999.32
17:25:44  15253.09    963.97
17:25:45  16261.72   1027.42
17:25:46  15862.84   1002.86
17:25:47  15479.39    977.74
17:25:48  15599.46    985.93
17:25:49  15144.80    956.98
17:25:50  15683.95    991.20
17:25:51  14380.12    908.64
17:25:52  14680.49    928.15
17:25:53  14900.58    941.26
17:25:54  14511.14    916.87
17:25:55  16327.47   1031.80
