  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:29:20      0.06      0.00
02:29:21      0.06      0.00
02:29:22      0.00      0.00
02:29:23      0.39      0.06
02:29:24      0.00      0.00
02:29:25      0.06      0.00
02:29:26      0.00      0.00
02:29:27      0.00      0.00
02:29:28      0.00      0.04
02:29:29      0.30      0.16
02:29:30      3.14      3.37
02:29:31      0.06      0.00
02:29:32      0.06      0.00
02:29:33      0.46      0.46
02:29:34      7.22      0.54
02:29:35      0.00      0.00
02:29:36      0.00      0.00
02:29:37      0.33      0.00
02:29:38      0.00      0.00
02:29:39      0.24      0.14
02:29:40      3.36      3.74
02:29:41      0.39      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:29:42      0.00      0.00
02:29:43      0.00      0.00
02:29:44      0.06      0.00
02:29:45      0.00      0.00
02:29:46      0.00      0.00
02:29:47      0.00      0.00
02:29:48      0.00      0.00
02:29:49      0.00      0.00
02:29:50      0.00      0.00
02:29:51      0.00      0.00
02:29:52  15133.67    956.60
02:29:53  17174.14   1085.73
02:29:54  16220.71   1024.69
02:29:55  18200.49   1150.06
02:29:56  16205.35   1024.15
02:29:57  18485.28   1168.59
02:29:58  17868.47   1129.59
02:29:59  20038.67   1266.52
02:30:00  19081.75   1205.70
02:30:01  19723.73   1246.35
02:30:02  17189.71   1086.35
02:30:03  14659.45    926.60
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:30:04  14601.56    922.76
02:30:05  14766.24    933.51
02:30:06  16248.88   1027.19
02:30:07  17431.77   1101.36
02:30:08  16620.78   1050.11
02:30:09  16287.97   1029.52
02:30:10  17260.31   1090.65
02:30:11  18724.61   1183.28
02:30:12  18975.39   1198.98
02:30:13  19149.20   1210.38
02:30:14  20238.72   1278.82
02:30:15  20206.54   1276.78
02:30:16  17628.50   1114.01
02:30:17  11017.62    696.69
02:30:18  12149.22    768.59
02:30:19  18172.91   1148.34
02:30:20  17892.23   1130.46
02:30:21  17679.28   1117.87
02:30:22  17764.40   1122.24
02:30:23  18283.74   1155.49
02:30:24  17642.94   1114.85
02:30:25  17159.55   1084.31
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:30:26  18926.94   1196.14
02:30:27  19423.31   1227.79
02:30:28  18667.21   1179.13
02:30:29  17184.42   1085.81
02:30:30  18600.14   1175.69
02:30:31  18518.37   1170.44
02:30:32  18484.39   1167.89
02:30:33  17944.82   1134.07
02:30:34  18042.03   1140.32
02:30:35  18199.99   1150.40
02:30:36  19006.32   1200.58
02:30:37  19673.60   1243.68
02:30:38  19501.15   1231.99
02:30:39  18421.27   1164.40
02:30:40  19439.79   1228.24
02:30:41  18273.16   1154.75
02:30:42  14064.74    889.51
02:30:43   4532.39    287.16
02:30:44  19419.96   1227.15
02:30:45  18870.77   1192.30
02:30:46  18967.70   1198.55
02:30:47  20379.23   1288.06
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:30:48  19179.99   1211.77
02:30:49  18643.49   1178.28
