Linux 4.4.0-142-generic (vm) 	2025-02-17 	_x86_64_	(1 CPU)

04:14:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:14:01     all   52.48    0.00   17.82    0.99    0.00    0.00    0.00    0.00    0.00   28.71
04:14:02     all   11.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
04:14:03     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:14:04     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:14:05     all    0.00    0.00    0.00   24.24    0.00    0.00    0.00    0.00    0.00   75.76
04:14:06     all    0.00    0.00    0.00   16.83    0.00    0.00    0.00    0.00    0.00   83.17
04:14:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:08     all    0.00    0.00    2.00    7.00    0.00    0.00    0.00    0.00    0.00   91.00
04:14:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:10     all    9.09    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   88.89
04:14:11     all    5.00   84.00    7.00    1.00    0.00    0.00    0.00    0.00    0.00    3.00
04:14:12     all   15.15   76.77    7.07    1.01    0.00    0.00    0.00    0.00    0.00    0.00
04:14:13     all    7.92    2.97   11.88    6.93    0.00    0.00    0.00    0.00    0.00   70.30
04:14:14     all   28.28    0.00    3.03    3.03    0.00    0.00    0.00    0.00    0.00   65.66
04:14:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:17     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:18     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
04:14:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:21     all   10.89    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   84.16
04:14:22     all   17.82    0.00    4.95    0.99    0.00    0.00    0.00    0.00    0.00   76.24
04:14:23     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:24     all    0.00    0.00    1.00    6.00    0.00    0.00    0.00    0.00    0.00   93.00
04:14:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:26     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:27     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:29     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
04:14:30     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:33     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:14:34     all   17.89    0.00   22.11    4.21    0.00    4.21    0.00    0.00    0.00   51.58
04:14:35     all   13.64    0.00   21.59    0.00    0.00    5.68    0.00    0.00    0.00   59.09
04:14:36     all   22.47    0.00   12.36    0.00    0.00    2.25    0.00    0.00    0.00   62.92
04:14:37     all   27.47    0.00    8.79    0.00    0.00    2.20    0.00    0.00    0.00   61.54
04:14:38     all   22.22    0.00   14.44    0.00    0.00    1.11    0.00    0.00    0.00   62.22
04:14:39     all   21.51    0.00   18.28    0.00    0.00    2.15    0.00    0.00    0.00   58.06
04:14:40     all   30.93    0.00   19.59    4.12    0.00    4.12    0.00    0.00    0.00   41.24
04:14:41     all   16.85    0.00   23.60    0.00    0.00    3.37    0.00    0.00    0.00   56.18
04:14:42     all   20.69    0.00   17.24    0.00    0.00    4.60    0.00    0.00    0.00   57.47
04:14:43     all   27.84    0.00   20.62    0.00    0.00    3.09    0.00    0.00    0.00   48.45
04:14:44     all   31.25    0.00   13.54    0.00    0.00    3.12    0.00    0.00    0.00   52.08
04:14:45     all   21.11    0.00   12.22    4.44    0.00    2.22    0.00    0.00    0.00   60.00
04:14:46     all   23.91    0.00   18.48    0.00    0.00    3.26    0.00    0.00    0.00   54.35
04:14:47     all   35.79    0.00   17.89    0.00    0.00    1.05    0.00    0.00    0.00   45.26
04:14:48     all   46.24    0.00    7.53    0.00    0.00    2.15    0.00    0.00    0.00   44.09
04:14:49     all   17.39    0.00   15.22    0.00    0.00    0.00    0.00    0.00    0.00   67.39
04:14:50     all   16.67    0.00   14.44    4.44    0.00    3.33    0.00    0.00    0.00   61.11
