  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:47:14      0.06      0.06
06:47:15      0.33      0.00
06:47:16      0.00      0.00
06:47:17      0.06      0.06
06:47:18      0.00      0.00
06:47:19      0.33      0.00
06:47:20      0.06      0.00
06:47:21      0.06      0.04
06:47:22      0.00      0.00
06:47:23      0.24      0.26
06:47:24      3.08      3.27
06:47:25      0.00      0.12
06:47:26      7.23      0.84
06:47:27      0.06      0.00
06:47:28      0.00      0.00
06:47:29      0.33      0.00
06:47:30      0.00      0.00
06:47:31      0.00      0.00
06:47:32      0.06      0.00
06:47:33      0.63      0.14
06:47:34      3.31      3.74
06:47:35      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:47:36      0.00      0.00
06:47:37      0.33      0.00
06:47:38      0.00      0.00
06:47:39      0.00      0.00
06:47:40      0.00      0.00
06:47:41      0.00      0.00
06:47:42      0.00      0.00
06:47:43      0.06      0.00
06:47:44      0.12      0.00
06:47:45      0.06      0.00
06:47:46  12281.06    776.57
06:47:47  15301.36    966.71
06:47:48  15347.76    970.03
06:47:49  16717.91   1056.40
06:47:50  17139.19   1083.23
06:47:51  14874.19    939.79
06:47:52  14716.97    930.09
06:47:53  12206.87    771.71
06:47:54  15530.36    981.85
06:47:55  16111.01   1018.09
06:47:56  17588.16   1111.03
06:47:57  15588.02    985.43
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:47:58  14949.57    944.29
06:47:59  15495.22    979.71
06:48:00  10738.22    678.62
06:48:01  14751.60    932.84
06:48:02  14951.64    945.21
06:48:03  16829.46   1063.59
06:48:04  17682.22   1117.05
06:48:05  17360.11   1097.32
06:48:06  17865.60   1128.78
06:48:07  17344.95   1096.38
06:48:08  16593.84   1048.20
06:48:09  16661.21   1053.01
06:48:10  17539.69   1108.69
06:48:11  15969.19   1009.01
06:48:12  16426.55   1037.98
06:48:13  17059.35   1077.81
06:48:14   7910.95    501.61
06:48:15  17542.86   1108.67
06:48:16  17211.78   1087.61
06:48:17  16474.92   1041.33
06:48:18  15351.70    969.92
06:48:19  14539.41    918.66
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:48:21  14585.53    922.00
06:48:22  13575.07    857.93
06:48:23  15369.78    970.91
06:48:24  14604.39    923.18
06:48:25  15809.45    998.84
06:48:26  15550.82    983.23
06:48:27  13968.98    882.68
06:48:28  15248.09    963.38
06:48:29  14642.92    925.20
06:48:30  15117.77    955.78
06:48:31  14868.06    939.64
06:48:32  15341.55    968.97
06:48:33  13365.41    844.90
06:48:34  14888.04    940.97
06:48:35  16394.69   1035.75
06:48:36  14840.83    938.21
06:48:37  14150.36    893.71
06:48:38  15244.55    963.87
06:48:39  16524.95   1043.91
06:48:40  16964.60   1071.98
06:48:41  14917.60    943.06
06:48:42  15997.21   1010.83
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:48:43  15452.75    976.23
06:48:44  14518.84    917.57
06:48:45   5699.77    360.57
06:48:46   6705.68    424.36
06:48:47  14276.91    902.57
06:48:48  15004.21    947.89
06:48:49  16298.99   1030.00
06:48:50  16277.40   1028.54
06:48:51  15457.99    977.28
06:48:52  14571.50    920.68
06:48:53  14742.45    931.77
06:48:54  17417.08   1100.22
06:48:55  16650.79   1052.51
06:48:56  16358.61   1033.62
06:48:57  16423.23   1038.13
06:48:58  16645.55   1051.82
06:48:59  16762.34   1059.06
06:49:00  14968.36    945.81
06:49:01  16340.49   1032.98
06:49:02  16939.20   1070.45
06:49:03  16214.91   1024.47
06:49:04  15687.25    991.53
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:49:05  16587.28   1047.85
06:49:06  15868.66   1002.87
06:49:07  16717.42   1056.44
06:49:08  15697.46    992.18
06:49:09  15184.58    959.72
06:49:10  16304.19   1030.25
06:49:11  15617.85    986.95
06:49:12  15497.65    979.28
06:49:13  16478.02   1041.02
06:49:14  15225.13    962.50
06:49:15  15699.78    991.84
06:49:16  14815.61    936.26
06:49:17  15349.44    969.85
06:49:18  14896.22    941.47
06:49:19  15232.61    962.61
06:49:20  14888.24    941.13
06:49:21  14490.38    915.49
06:49:22  17506.31   1106.13
06:49:23  14437.01    912.68
06:49:24  14624.05    923.72
06:49:25  15759.34    995.89
06:49:26  14593.17    922.61
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:49:27  13782.68    871.05
06:49:28  15438.49    975.33
06:49:29  17038.98   1076.98
06:49:30  16149.81   1020.35
06:49:31  14503.06    916.78
06:49:32  11553.84    730.80
06:49:33  16074.89   1015.40
06:49:34  17744.44   1121.26
06:49:35  16394.05   1036.57
06:49:36  17956.12   1134.33
06:49:37  16684.77   1054.23
06:49:38  17580.81   1111.29
06:49:39  18825.43   1189.51
06:49:40  17934.27   1133.23
06:49:41  16244.25   1026.46
06:49:42  16317.42   1031.16
06:49:43   2824.66    178.97
06:49:44      0.39      0.00
06:49:45  12045.92    762.28
06:49:46  19401.21   1225.60
06:49:47  16063.23   1015.39
06:49:48  15751.67    995.48
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:49:49  15801.80    998.65
06:49:50  16292.39   1029.43
06:49:51  16813.70   1062.52
06:49:52  15701.95    992.12
06:49:53  15248.49    963.61
06:49:54  16126.19   1018.98
06:49:55  16194.62   1023.76
06:49:56  14744.87    931.78
06:49:57  18594.37   1174.90
06:49:58  17405.06   1099.73
06:49:59  16272.72   1028.48
06:50:00  17603.32   1112.28
06:50:01  16517.75   1043.75
06:50:02  16281.74   1029.25
06:50:03  17639.77   1114.51
06:50:04  14794.04    935.25
06:50:05  17187.54   1085.78
06:50:06  16682.24   1054.36
06:50:07  16608.88   1049.43
06:50:50      1.97      0.14
06:50:51      0.00      1.90
06:50:52      0.33      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:50:53      0.06      0.00
06:50:54      0.18      0.00
06:50:55      0.06      0.00
06:50:56      0.45      0.22
06:50:57      0.06      0.00
06:50:58      0.00      0.00
06:50:59      0.00      0.00
06:51:00      0.00      0.00
06:51:01      0.46      0.04
06:51:02  13031.19    823.83
06:51:03  12851.15    811.54
06:51:04  13232.08    836.33
06:51:05  13361.36    844.28
06:51:06  12917.16    816.26
06:51:07  12329.41    779.29
06:51:08  12196.03    770.64
06:51:09  12467.68    788.17
06:51:10  12488.61    788.97
06:51:11  13406.55    847.50
06:51:12  13683.99    864.38
06:51:13  13395.99    846.54
06:51:14  13548.67    856.24
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:51:15  14395.56    909.57
06:51:16  15891.50   1004.31
06:51:17  16108.61   1017.96
06:51:18  16185.39   1022.82
06:51:19  15673.97    990.79
06:51:20  16674.57   1053.44
06:51:21  14227.95    899.05
06:51:22  15879.94   1003.66
06:51:23  14263.10    901.34
06:51:24  10385.50    656.56
06:51:25  11495.13    726.35
06:51:26  10496.07    663.00
06:51:27  12480.52    788.89
06:51:28  11980.64    756.95
06:51:29  11877.35    750.65
06:51:30  13281.61    839.10
06:51:31  11982.64    757.14
06:51:32  11530.31    729.22
06:51:33  11889.57    751.37
06:51:34  11106.07    701.93
06:51:35  12377.44    782.92
06:51:36  14390.26    909.52
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:51:37  13718.13    866.53
06:51:38  12656.78    799.83
06:51:39  13476.67    851.79
06:51:40  13265.62    838.31
06:51:41  13523.03    854.72
06:51:42  14035.69    886.66
06:51:43  13599.24    859.96
06:51:44  14583.80    921.17
06:51:45  14584.10    921.82
06:51:46  14040.98    887.23
06:51:47  15195.02    960.23
06:51:48  13611.22    860.01
06:51:49  14627.62    924.57
06:51:50  16033.70   1013.16
06:51:51  16190.04   1023.11
06:51:52  18514.75   1170.31
06:51:53  15862.73   1002.35
06:51:54  17132.60   1082.59
06:51:55  17905.30   1131.28
06:51:56  18993.15   1200.54
06:51:57  16445.69   1038.83
06:51:58  17065.17   1078.48
  Time           eth0       
