Linux 4.4.0-142-generic (vm) 	2025-02-21 	_x86_64_	(1 CPU)

00:22:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:22:39     all   48.51    0.00   22.77    0.99    0.00    0.00    0.00    0.00    0.00   27.72
00:22:40     all   11.11    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   85.86
00:22:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:43     all    0.99    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00   93.07
00:22:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:45     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
00:22:46     all    0.00    0.00    1.01    7.07    0.00    0.00    0.00    0.00    0.00   91.92
00:22:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:48     all    9.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   88.00
00:22:49     all    9.00   10.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
00:22:50     all   21.21   67.68   11.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:22:51     all    7.00   75.00   15.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
00:22:52     all   20.79    0.00    2.97    7.92    0.00    0.00    0.00    0.00    0.00   68.32
00:22:53     all    6.93    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   92.08
00:22:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:55     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:56     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:57     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
00:22:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:59     all    7.92    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   85.15
00:23:00     all   18.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
00:23:01     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:23:02     all    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
00:23:03     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:23:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:23:05     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
