  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:13:55      0.12      0.06
21:13:56      0.06      0.00
21:13:57      0.33      0.00
21:13:58      0.12      0.06
21:13:59      0.06      0.00
21:14:00      0.06      0.00
21:14:01      0.39      0.00
21:14:02      0.00      0.04
21:14:03      0.00      0.08
21:14:04      0.24      0.18
21:14:05      3.41      3.27
21:14:06      0.06      0.00
21:14:07      0.06      0.00
21:14:08      0.00      0.00
21:14:09      0.06      0.00
21:14:10      0.00      0.00
21:14:11      0.06      0.00
21:14:12      0.06      0.00
21:14:13      0.06      0.00
21:14:14      2.11      0.42
21:14:15      1.71      3.50
21:14:16      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:14:17      0.06      0.00
21:14:18      0.00      0.00
21:14:19      0.33      0.00
21:14:20      0.00      0.00
21:14:21      0.06      0.00
21:14:22      0.00      0.00
21:14:23      0.33      0.00
21:14:24      0.00      0.00
21:14:25      0.00      0.00
21:14:26      0.00      0.00
21:14:27  11365.98    718.53
21:14:28  14988.43    947.32
21:14:29  15061.35    951.71
21:14:30  15820.85   1000.14
21:14:31  14734.71    930.71
21:14:32  16108.25   1018.08
21:14:33  14597.58    922.67
21:14:34  12529.01    792.17
21:14:35  14637.78    925.02
21:14:36  15639.64    988.47
21:14:37  16806.87   1062.07
21:14:38  14472.21    914.84
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:14:39  14777.47    933.70
21:14:40  15432.83    975.04
21:14:41  14792.97    934.87
21:14:42  12739.16    806.02
21:14:43  17261.96   1090.56
21:14:44  15841.13   1000.99
21:14:45  17055.26   1078.08
21:14:46  15533.10    981.31
21:14:47  15235.15    962.76
21:14:48  16485.84   1042.09
21:14:49  15460.22    976.63
21:14:50  16813.23   1062.49
21:14:51  15261.71    964.56
21:14:52  15355.39    970.72
21:14:53  16113.86   1017.93
21:14:54  15251.48    963.87
21:14:55  16246.27   1026.64
21:14:56   6738.09    427.54
21:14:57  15359.00    971.03
21:14:58  15201.99    960.96
21:14:59  14818.53    936.27
21:15:00  14933.73    943.65
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:15:01  14914.78    942.45
21:15:02  16436.32   1038.60
21:15:03  15689.73    991.49
21:15:04  14676.04    927.87
21:15:05  14774.05    933.41
21:15:06  15202.79    960.81
21:15:07  14755.61    932.57
21:15:08  14530.76    918.40
21:15:09  15207.39    960.78
21:15:10  14413.79    911.29
21:15:11  14388.42    908.90
21:15:12  15587.37    985.03
21:15:13  15707.27    992.44
21:15:14  14600.54    922.81
21:15:15  14322.28    905.01
21:15:16  15022.05    949.23
21:15:17  14164.38    895.15
21:15:18  14556.53    919.88
21:15:19  13909.93    879.38
21:15:20  14061.14    888.14
21:15:21  14643.46    925.88
21:15:22  15143.43    956.68
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:15:23  14499.03    916.47
21:15:24  15159.53    958.06
21:15:25  14896.72    941.31
21:15:26  14685.76    927.76
21:15:27   2869.55    181.64
21:15:28   9476.42    599.23
21:15:29  14944.60    944.48
21:15:30  16074.31   1015.99
21:15:31  15568.38    983.53
21:15:32  16199.53   1024.07
21:15:33  15335.65    968.83
21:15:34  14901.98    941.62
21:15:35  16724.02   1057.14
21:15:36  15270.20    964.62
21:15:37  18959.69   1198.42
21:15:38  16316.77   1030.90
21:15:39  16395.25   1035.93
21:15:40  15394.57    973.04
21:15:41  15693.74    991.89
21:15:42  16015.44   1012.15
21:15:43  14691.08    928.45
21:15:44  14903.45    941.73
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:15:45  16417.40   1037.24
21:15:46  16321.70   1031.21
21:15:47  16229.52   1026.11
21:15:48  16024.77   1012.71
21:15:49  17983.24   1136.36
21:15:50  16609.11   1049.58
21:15:51  16449.02   1039.40
21:15:52  17331.36   1094.92
21:15:53  17560.39   1109.92
21:15:54  17091.88   1080.17
21:15:55  17199.36   1086.46
21:15:56  16349.60   1033.27
21:15:57  17126.94   1082.25
21:15:58  17395.57   1099.73
21:15:59  16341.24   1032.74
21:16:00  15420.48    974.55
21:16:01  17655.44   1115.35
21:16:02  17795.17   1124.62
21:16:03  17666.52   1116.54
21:16:04  16000.07   1011.25
21:16:05  15560.91    982.63
21:16:06  17157.17   1084.57
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:16:07  15943.14   1007.44
21:16:08  13921.89    880.14
21:16:09  13739.82    868.13
21:16:10  13952.01    881.52
21:16:11  14924.44    943.06
21:16:12  13971.39    883.12
