Linux 4.4.0-142-generic (vm) 	2025-02-21 	_x86_64_	(1 CPU)

18:04:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:04:16     all   50.51    0.00   20.20    0.00    0.00    0.00    0.00    0.00    0.00   29.29
18:04:17     all   12.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   85.00
18:04:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:20     all    0.00    0.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00   84.00
18:04:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:23     all    1.01    0.00    2.02   78.79    0.00    0.00    0.00    0.00    0.00   18.18
18:04:24     all    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
18:04:25     all    6.93    0.00    4.95   11.88    0.00    0.00    0.00    0.00    0.00   76.24
18:04:26     all    9.09    1.01    5.05    0.00    0.00    0.00    0.00    0.00    0.00   84.85
18:04:27     all   14.14   79.80    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:04:28     all    4.00   46.00   18.00    2.00    0.00    0.00    0.00    0.00    0.00   30.00
18:04:29     all    2.00    0.00    1.00    7.00    0.00    0.00    0.00    0.00    0.00   90.00
18:04:30     all   17.17    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   78.79
18:04:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:32     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:04:33     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:04:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:35     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
18:04:36     all    9.09    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   85.86
18:04:37     all   14.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   77.00
18:04:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:40     all    0.00    0.00    0.99    7.92    0.00    0.00    0.00    0.00    0.00   91.09
18:04:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:43     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:45     all    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
18:04:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:04:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
