  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
15:13:19      0.06      0.06
15:13:20      0.33      0.00
15:13:21      0.00      0.00
15:13:22      0.06      0.06
15:13:23      0.00      0.00
15:13:24      0.00      0.00
15:13:25      0.00      0.00
15:13:26      0.00      0.04
15:13:27      0.00      0.00
15:13:28      0.24      0.26
15:13:29      3.08      3.27
15:13:30      0.06      0.00
15:13:31      0.72      0.32
15:13:32      7.02      0.68
15:13:33      0.00      0.00
15:13:34      0.33      0.00
15:13:35      0.00      0.00
15:13:36      0.06      0.00
15:13:37      0.00      0.00
15:13:38      2.39      0.37
15:13:39      1.49      3.50
15:13:40      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
15:13:41      0.12      0.00
15:13:42      0.06      0.00
15:13:43      0.06      0.00
15:13:44      0.00      0.00
15:13:45      0.00      0.00
15:13:46      0.00      0.00
15:13:47      0.00      0.00
15:13:48      0.00      0.00
15:13:49      0.39      0.00
15:13:50      0.00      0.00
15:13:51  10740.36    679.42
15:13:52  15205.71    960.95
15:13:53  15286.02    965.62
15:13:54  15226.06    962.41
15:13:55  17105.28   1080.37
15:13:56  17604.69   1112.99
15:13:57  17894.78   1130.98
15:13:58  15743.73    995.00
15:13:59  17572.87   1110.71
15:14:00  18274.66   1154.77
15:14:01  18957.88   1197.88
15:14:02  17042.59   1077.35
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
15:14:03  15979.33   1009.72
15:14:04  13137.91    830.94
15:14:05  17162.77   1084.65
15:14:06  17471.52   1103.80
15:14:07  17337.65   1095.68
15:14:08  18161.69   1147.85
15:14:09  16567.25   1046.95
15:14:10  17010.83   1074.67
15:14:11  17486.51   1105.11
15:14:12  16955.22   1071.47
15:14:13  16193.89   1023.07
15:14:14  16906.58   1068.66
15:14:15  16459.72   1040.23
15:14:16  15190.45    959.51
15:14:17  16303.11   1030.18
15:14:18   7739.74    490.55
15:14:19  16377.12   1034.93
15:14:20  16150.83   1020.42
15:14:21  15768.58    996.84
15:14:22  16402.43   1036.61
15:14:23  17233.38   1088.75
15:14:24  16194.89   1023.63
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
15:14:25  16292.82   1029.44
15:14:26  15781.63    997.66
15:14:27  15850.94   1001.75
15:14:28  16005.07   1011.21
15:14:29  16647.64   1052.15
15:14:30  16306.41   1030.61
15:14:31  17732.52   1120.44
15:14:32  18364.13   1160.53
15:14:33  18213.97   1150.99
15:14:34  15821.53    999.97
15:14:35  15896.59   1004.49
15:14:36  14638.12    924.89
15:14:37  14452.04    913.57
15:14:38  13974.87    883.20
15:14:39  13729.29    867.46
15:14:40  14351.21    906.98
15:14:41  14019.84    885.96
15:14:42  13580.88    858.15
15:14:43  13748.57    868.44
15:14:44  13178.57    833.09
15:14:45  14457.45    913.62
15:14:46  15552.26    982.59
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
15:14:47   8895.61    562.97
15:14:48   6430.70    406.86
15:14:49  16831.52   1063.79
15:14:50  17707.68   1118.94
15:14:51  15032.57    950.30
15:14:52  15347.52    969.72
15:14:53  15082.20    953.03
15:14:54  15108.17    955.10
15:14:55  15512.61    980.23
15:14:56  14889.44    940.56
15:14:57  14008.68    885.26
15:14:58  13984.78    883.82
15:14:59  14688.90    928.61
15:15:00  16788.50   1060.49
15:15:01  17455.30   1103.55
15:15:02  17427.06   1100.85
