  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:40:08      0.00      0.00
10:40:09      0.00      0.00
10:40:10      0.33      0.00
10:40:11      0.06      0.06
10:40:12      0.06      0.00
10:40:13      0.00      0.00
10:40:14      0.33      0.00
10:40:15      0.12      0.04
10:40:16      0.00      0.00
10:40:17      0.24      0.33
10:40:18      3.01      3.20
10:40:19      0.00      0.00
10:40:20      0.00      0.00
10:40:21      0.00      0.00
10:40:22      0.00      0.00
10:40:23      0.06      0.00
10:40:24      0.33      0.00
10:40:25      0.00      0.00
10:40:26      0.00      0.00
10:40:27      0.24      0.19
10:40:28      3.58      3.74
10:40:29      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:40:30      0.00      0.00
10:40:31      0.06      0.00
10:40:32      0.39      0.00
10:40:33      0.00      0.00
10:40:34      0.00      0.00
10:40:35      0.06      0.00
10:40:36      0.00      0.00
10:40:37      0.12      0.00
10:40:38      0.06      0.00
10:40:39      0.00      0.00
10:40:40  14529.13    918.56
10:40:41  19852.51   1254.70
10:40:42  20225.60   1277.89
10:40:43  20284.34   1282.06
10:40:44  19151.17   1210.02
10:40:45  18276.84   1154.98
10:40:46  16441.78   1039.46
10:40:47  18176.14   1148.47
10:40:48  18451.59   1166.17
10:40:49  19727.78   1246.89
10:40:50  17702.38   1118.80
10:40:51  17898.15   1130.76
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:40:52  13365.85    845.34
10:40:53  20344.20   1285.62
10:40:54  18998.16   1200.57
10:40:55  18763.94   1185.62
10:40:56  17887.30   1130.66
10:40:57  18504.27   1169.06
10:40:58  18466.32   1167.46
10:40:59  17343.09   1095.83
10:41:00  17765.07   1122.26
10:41:01  17274.62   1092.01
10:41:02  17015.85   1075.15
10:41:03  19207.12   1213.83
10:41:04  13538.43    855.70
10:41:05  12407.07    784.35
10:41:06  18682.36   1180.75
10:41:07  19829.89   1253.34
10:41:08  19019.98   1201.85
10:41:09  18082.21   1142.40
10:41:10  20082.32   1269.51
10:41:11  19466.44   1230.16
10:41:12  19409.23   1226.33
10:41:13  16281.97   1029.13
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:41:14  17279.90   1091.69
10:41:15  17603.15   1112.48
10:41:16  17388.04   1098.60
10:41:17  15670.45    990.28
10:41:18  16585.59   1048.45
10:41:19  13283.32    839.36
10:41:20  17127.83   1082.23
10:41:21  17166.65   1085.00
10:41:22  17851.99   1127.90
10:41:23  18066.82   1141.71
10:41:24  16403.71   1036.83
10:41:25  16952.33   1071.21
10:41:26  14417.87    911.24
10:41:27  12172.29    769.07
10:41:28   6797.73    429.65
10:41:29   5842.53    368.92
10:41:30   4082.53    258.91
10:41:31   5280.83    333.71
10:41:32   4630.79    292.64
10:41:33   4376.22    276.91
10:41:34   4239.99    267.80
10:41:35   2670.66    168.55
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:41:36   3072.72    194.22
10:41:37   3074.89    194.38
10:41:38   3141.32    198.51
10:41:39   3302.47    208.70
10:41:40   3224.74    204.15
10:41:41   3104.83    196.28
10:41:42   1120.57     70.81
10:41:43      0.06      0.00
10:41:44      0.33      0.00
10:41:45      0.00      0.00
10:41:46      0.00      0.00
10:41:47      0.06      0.00
10:41:48      0.06      0.00
10:41:49      0.06      0.00
10:41:50      0.00      0.00
10:41:51      0.00      0.00
10:41:52      0.00      0.00
10:41:53      0.00      0.00
10:41:54    458.42     29.89
10:41:55   2282.29    144.30
10:41:56   3075.64    195.21
10:41:57   4814.35    304.09
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:41:58   3936.59    248.96
10:41:59   4498.50    284.13
10:42:00   5631.00    355.99
10:42:01   3670.25    231.87
10:42:02   1620.24    103.06
10:42:03   2804.65    177.31
10:42:04   1848.24    117.09
10:42:05   1916.84    121.13
10:42:06   1868.68    118.09
10:42:07   1793.43    113.48
10:42:08   2023.05    127.69
10:42:09   1746.58    110.52
10:42:10   1997.36    125.93
10:42:11   1977.14    125.23
10:42:12   2222.08    140.79
10:42:13   2197.82    138.74
10:42:14   1786.41    112.89
10:42:15   2113.53    133.90
10:42:16   2112.16    133.19
10:42:17   1868.83    117.81
10:42:18   1883.14    119.49
10:42:19   1896.61    119.83
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:42:20   1927.12    121.71
10:42:21   1817.44    114.92
10:42:22   2001.08    126.31
10:42:23   1608.26    102.02
10:42:24   2115.61    133.83
10:42:25   2045.93    128.93
10:42:26   1825.05    115.54
10:42:27   1627.77    102.79
10:42:28   1978.45    125.24
10:42:29   1787.74    112.83
10:42:30   2218.46    140.17
10:42:31   1900.88    120.26
10:42:32   2125.94    134.27
10:42:33   1919.46    121.35
10:42:34   2158.73    136.35
10:42:35   2161.28    136.58
10:42:36   2283.43    144.29
10:42:38   2370.52    149.78
10:42:39   2272.10    143.58
10:42:40   2058.45    130.08
10:42:41   2171.49    137.15
10:42:42   2290.38    144.80
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:42:43   2158.50    136.26
10:42:44   2283.30    144.50
10:42:45   2420.57    153.03
10:42:46   2372.61    149.72
10:42:47   2619.67    165.62
10:42:48   2535.98    160.40
10:42:49   2544.30    160.76
10:42:50   2486.90    157.01
10:42:51   2023.69    128.03
10:42:52   2403.62    152.31
10:42:53   2511.70    158.15
10:42:54   2630.88    166.25
10:42:55   2801.28    177.09
10:42:56   2692.72    170.35
10:42:57   2549.63    160.97
10:42:58   2406.96    152.03
10:42:59   2268.57    143.58
10:43:00   2485.75    157.01
10:43:01   1150.26     73.22
10:43:02   1371.45     87.29
10:43:03   1936.71    122.45
10:43:04   1914.42    120.91
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:43:05   2057.25    130.07
10:43:06   1902.99    120.26
10:43:07   1916.75    120.96
10:43:08    846.45     54.54
10:43:09   2110.74    133.64
10:43:10   1170.01     73.70
10:43:11    913.52     57.87
10:43:12    818.89     52.59
10:43:13   1018.86     64.39
10:43:14   1061.51     67.06
10:43:15    812.78     51.14
10:43:16    980.07     62.22
10:43:17   1153.65     72.83
10:43:18   1105.68     69.73
10:43:19    988.47     62.47
10:43:20    919.50     58.18
10:43:21    951.53     60.06
10:43:22    966.39     61.14
10:43:23    962.40     61.35
10:43:24   1004.25     63.39
10:43:25    957.57     60.27
10:43:26    932.41     59.20
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:43:27   1028.04     64.75
10:43:28   1130.01     71.55
10:43:29    983.49     62.29
10:43:30   1095.91     69.21
10:43:31   1005.17     63.74
10:43:32   1011.27     63.74
10:43:33   1048.62     66.12
10:43:34   1048.18     66.84
10:43:35   1189.15     74.93
10:43:36   1014.35     64.39
10:43:37   1197.04     75.43
10:43:38    962.50     60.74
10:43:39   1181.36     74.85
10:43:40    988.04     62.95
10:43:41   1040.62     65.91
10:43:42   1095.90     69.24
10:43:43   1158.61     73.77
10:43:44   1076.02     67.56
10:43:45   1108.10     69.95
10:43:46   1291.85     81.69
10:43:47   1271.25     80.26
10:43:48   1208.48     76.37
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:43:49   1090.95     68.87
10:43:50   1231.36     77.86
10:43:51    976.66     62.11
10:43:52    994.95     63.01
10:43:53   1047.49     65.98
10:43:54   1049.04     66.44
10:43:55   1202.84     76.16
10:43:56   1350.26     85.25
10:43:57   1016.65     64.25
10:43:58   1224.99     77.26
10:43:59   1038.32     65.68
10:44:00   1141.22     71.90
10:44:01   1302.52     82.58
10:44:02    953.25     60.55
10:44:03   1106.92     69.95
10:44:04   1173.54     74.27
10:44:05   1090.95     68.94
10:44:06   1159.85     73.30
10:44:07   1213.14     76.74
10:44:08   1147.22     72.40
10:44:09   1355.93     85.61
10:44:10   1178.17     74.51
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
10:44:11   1309.10     83.02
10:44:12   1134.29     71.39
10:44:13   1247.36     79.28
10:44:14   1181.61     74.81
10:44:15   1180.02     74.56
10:44:16   1256.60     79.53
10:44:17   1465.52     92.68
10:44:18    967.93     61.34
10:44:19   1094.61     70.53
10:44:20    531.15     35.15
10:44:21    547.15     35.81
10:44:22    663.20     42.26
10:44:23    534.59     35.84
10:44:24    614.54     39.92
10:44:25    508.32     34.14
10:44:26    630.00     40.76
10:44:27    621.47     40.50
10:44:28    627.10     41.09
