Linux 4.4.0-142-generic (vm) 	2025-02-22 	_x86_64_	(1 CPU)

10:47:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:47:06     all   43.56    0.00   11.88    0.00    0.00    0.00    0.00    0.00    0.00   44.55
10:47:07     all   12.87    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   83.17
10:47:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:10     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:47:11     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
10:47:12     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:47:13     all    1.00    0.00    1.00    7.00    0.00    0.00    0.00    0.00    0.00   91.00
10:47:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:15     all    8.91    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   88.12
10:47:16     all   13.13    8.08    6.06    0.00    0.00    0.00    0.00    0.00    0.00   72.73
10:47:17     all    7.92   87.13    4.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:47:18     all    7.14   24.49    9.18    2.04    0.00    0.00    0.00    0.00    0.00   57.14
10:47:19     all   11.88    0.00    4.95    9.90    0.00    0.00    0.00    0.00    0.00   73.27
10:47:20     all   11.88    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   85.15
10:47:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:23     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:24     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
10:47:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:26     all   19.80    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00   72.28
10:47:27     all    5.88    0.00    3.92    0.98    0.00    0.00    0.00    0.00    0.00   89.22
10:47:28     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:47:29     all    0.00    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00   93.88
10:47:30     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:33     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:35     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
10:47:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:47:38     all    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
10:47:39     all   17.53    0.00   25.77    0.00    0.00    6.19    0.00    0.00    0.00   50.52
10:47:40     all   13.64    0.00   21.59    4.55    0.00    4.55    0.00    0.00    0.00   55.68
10:47:41     all   18.07    0.00   18.07    0.00    0.00    3.61    0.00    0.00    0.00   60.24
10:47:42     all   22.99    0.00   20.69    0.00    0.00    1.15    0.00    0.00    0.00   55.17
10:47:43     all   19.79    0.00   22.92    0.00    0.00    5.21    0.00    0.00    0.00   52.08
10:47:44     all   20.00    0.00   25.26    0.00    0.00    2.11    0.00    0.00    0.00   52.63
10:47:45     all   18.75    0.00   22.92    4.17    0.00    5.21    0.00    0.00    0.00   48.96
10:47:46     all   28.26    0.00   17.39    0.00    0.00    3.26    0.00    0.00    0.00   51.09
10:47:47     all   20.00    0.00   22.11    0.00    0.00    1.05    0.00    0.00    0.00   56.84
10:47:48     all   28.57    0.00   16.48    0.00    0.00    2.20    0.00    0.00    0.00   52.75
10:47:49     all   13.40    0.00   24.74    0.00    0.00    4.12    0.00    0.00    0.00   57.73
10:47:50     all   15.56    0.00   24.44    0.00    0.00    5.56    0.00    0.00    0.00   54.44
10:47:51     all   16.84    0.00   20.00    4.21    0.00    3.16    0.00    0.00    0.00   55.79
10:47:52     all   11.49    0.00   21.84    0.00    0.00    4.60    0.00    0.00    0.00   62.07
10:47:53     all   42.55    0.00   11.70    0.00    0.00    2.13    0.00    0.00    0.00   43.62
10:47:54     all   14.61    0.00   16.85    0.00    0.00    2.25    0.00    0.00    0.00   66.29
10:47:55     all   12.79    0.00   18.60    0.00    0.00    3.49    0.00    0.00    0.00   65.12
10:47:56     all   16.67    0.00   20.00    4.44    0.00    3.33    0.00    0.00    0.00   55.56
10:47:57     all   23.66    0.00   20.43    0.00    0.00    0.00    0.00    0.00    0.00   55.91
10:47:58     all   16.48    0.00   21.98    0.00    0.00    3.30    0.00    0.00    0.00   58.24
10:47:59     all   17.58    0.00   16.48    0.00    0.00    3.30    0.00    0.00    0.00   62.64
10:48:00     all   19.32    0.00   20.45    0.00    0.00    1.14    0.00    0.00    0.00   59.09
10:48:01     all    8.14    0.00   24.42   18.60    0.00    5.81    0.00    0.00    0.00   43.02
10:48:02     all   15.38    0.00   16.67    0.00    0.00    1.28    0.00    0.00    0.00   66.67
10:48:03     all   26.37    0.00   17.58    0.00    0.00    2.20    0.00    0.00    0.00   53.85
10:48:04     all   19.78    0.00   19.78    0.00    0.00    2.20    0.00    0.00    0.00   58.24
10:48:05     all   18.18    0.00   22.73    0.00    0.00    2.27    0.00    0.00    0.00   56.82
