Linux 4.4.0-142-generic (vm) 	2025-02-21 	_x86_64_	(1 CPU)

21:24:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:24:10     all   55.56    0.00   15.15    0.00    0.00    0.00    0.00    0.00    0.00   29.29
21:24:11     all   10.89    0.00    3.96    0.99    0.00    0.00    0.00    0.00    0.00   84.16
21:24:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:14     all    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
21:24:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:16     all    0.98    0.00    1.96    7.84    0.00    0.00    0.00    0.00    0.00   89.22
21:24:17     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:18     all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
21:24:19     all    8.00    1.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   88.00
21:24:20     all    6.00   89.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21:24:21     all   14.00   77.00    8.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
21:24:22     all    7.00    0.00   12.00    1.00    0.00    0.00    0.00    0.00    0.00   80.00
21:24:23     all   24.24    0.00    3.03    3.03    0.00    0.00    0.00    0.00    0.00   69.70
21:24:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:26     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:27     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
21:24:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:29     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:30     all    9.90    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   84.16
21:24:31     all   19.19    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   77.78
21:24:32     all    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
21:24:33     all    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
21:24:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:37     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
21:24:38     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
21:24:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:24:42     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
21:24:43     all   13.54    0.00   23.96    3.12    0.00    6.25    0.00    0.00    0.00   53.12
21:24:44     all   10.99    0.00   27.47    0.00    0.00    2.20    0.00    0.00    0.00   59.34
21:24:45     all   15.79    0.00   24.21    0.00    0.00    4.21    0.00    0.00    0.00   55.79
21:24:46     all   22.58    0.00   21.51    0.00    0.00    4.30    0.00    0.00    0.00   51.61
21:24:47     all   20.88    0.00   17.58    0.00    0.00    5.49    0.00    0.00    0.00   56.04
