  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
22:49:12      0.06      0.06
22:49:13      0.06      0.00
22:49:14      0.33      0.00
22:49:15      0.18      0.06
22:49:16      0.06      0.00
22:49:17      0.06      0.00
22:49:18      0.06      0.00
22:49:19      0.00      0.04
22:49:20      0.00      0.08
22:49:21      0.24      0.18
22:49:23      3.02      3.27
22:49:24      0.00      0.00
22:49:25      0.33      0.00
22:49:26      0.12      0.00
22:49:27      0.06      0.00
22:49:28      0.06      0.00
22:49:29      0.33      0.00
22:49:30      0.00      0.00
22:49:31      0.00      0.00
22:49:32      0.24      0.24
22:49:33      3.77      3.74
22:49:34      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
22:49:35      0.00      0.00
22:49:36      0.00      0.00
22:49:37      0.06      0.00
22:49:38      0.00      0.00
22:49:39      0.00      0.00
22:49:40      0.00      0.00
22:49:41      0.00      0.00
22:49:42      0.00      0.00
22:49:43      0.33      0.00
22:49:44      0.06      0.00
22:49:45      0.00      0.00
22:49:46      0.06      0.00
22:49:47      0.33      0.00
22:49:48      0.00      0.00
22:49:49      0.06      0.00
22:49:50      0.00      0.00
22:49:51      0.33      0.00
22:49:52      0.00      0.00
22:49:53      0.00      0.00
22:49:54      0.00      0.00
22:49:55      0.00      0.00
22:49:56      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
22:49:57      0.06      0.00
22:49:58      0.14      0.00
22:49:59      0.00      0.00
22:50:00      0.06      0.06
22:50:01      0.33      0.00
22:50:02      0.00      0.00
22:50:03      0.00      0.00
22:50:04      0.00      0.00
22:50:05      0.39      0.00
22:50:06      0.06      0.00
22:50:07      0.06      0.00
22:50:08      0.06      0.00
22:50:09      0.33      0.00
22:50:10      0.00      0.00
22:50:11      0.00      0.00
22:50:12      0.00      0.00
22:50:13      0.00      0.00
22:50:14      0.00      0.00
22:50:15      0.06      0.00
22:50:16   5826.89    368.57
22:50:17  15647.47    988.68
22:50:18  16164.91   1022.02
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
22:50:19  15270.66    964.92
22:50:20  15082.34    953.18
22:50:21  15244.49    962.85
22:50:22  14977.33    946.84
22:50:23  14087.52    890.01
22:50:24  15853.48   1002.67
22:50:25  15759.53    995.72
22:50:26  16338.74   1032.36
22:50:27  15639.11    988.34
22:50:28  15132.30    956.19
22:50:29  15147.24    957.80
22:50:30  14756.41    932.15
22:50:31  10816.38    684.30
22:50:32  15526.34    980.95
22:50:33  16412.00   1037.21
22:50:34  15067.30    952.45
22:50:35  16024.58   1012.51
22:50:36  15351.84    970.29
22:50:37  16154.68   1020.71
22:50:38  15354.68    970.32
22:50:39  15812.74    999.63
22:50:40  16284.99   1028.82
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
22:50:41  15696.73    991.77
22:50:42  15926.46   1006.38
22:50:43  16174.44   1022.20
22:50:44  15604.41    986.17
22:50:45  12005.19    758.95
22:50:46  11405.68    721.21
22:50:47  16075.82   1016.25
22:50:48  16237.01   1025.65
22:50:49  16129.28   1019.63
22:50:50  15757.43    995.84
22:50:51  15880.25   1003.53
22:50:52  15870.47   1002.48
22:50:53  15053.99    951.25
22:50:54  14347.98    906.85
22:50:55  16001.06   1011.44
