Linux 4.4.0-142-generic (vm) 	2025-02-23 	_x86_64_	(1 CPU)

03:02:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:02:54     all   49.00    0.00   18.00    0.00    0.00    0.00    0.00    0.00    0.00   33.00
03:02:55     all   11.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
03:02:56     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:02:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:02:58     all    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   95.00
03:02:59     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:03:00     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:01     all    4.95    0.00    1.98   47.52    0.00    0.00    0.00    0.00    0.00   45.54
03:03:02     all    7.14    0.00    4.08   83.67    0.00    0.00    0.00    0.00    0.00    5.10
03:03:03     all    1.01    6.06    3.03    0.00    0.00    0.00    0.00    0.00    0.00   89.90
03:03:04     all    8.91   83.17    6.93    0.99    0.00    0.00    0.00    0.00    0.00    0.00
03:03:05     all   11.88   76.24   10.89    0.99    0.00    0.00    0.00    0.00    0.00    0.00
03:03:06     all    8.00    0.00    9.00    1.00    0.00    0.00    0.00    0.00    0.00   82.00
03:03:07     all    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
03:03:08     all   19.00    0.00    2.00    2.00    0.00    0.00    0.00    0.00    0.00   77.00
03:03:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:10     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:03:11     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:03:13     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
03:03:14     all   12.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
03:03:15     all   19.19    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   72.73
03:03:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
