  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:06:37      0.00      0.00
02:06:38      0.00      0.00
02:06:39      0.06      0.00
02:06:40      0.39      0.06
02:06:41      0.00      0.00
02:06:42      0.00      0.00
02:06:43      0.00      0.00
02:06:44      0.33      0.04
02:06:45      0.12      0.00
02:06:46      0.30      0.26
02:06:47      3.02      3.27
02:06:48      0.00      0.00
02:06:49      0.17      0.00
02:06:50      0.00      0.00
02:06:51      0.00      0.00
02:06:52      0.00      0.00
02:06:53      0.00      0.00
02:06:54      0.33      0.00
02:06:55      0.06      0.00
02:06:56      0.30      0.19
02:06:57      3.31      3.74
02:06:58      0.39      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:06:59      0.06      0.00
02:07:00      0.00      0.00
02:07:01      0.00      0.00
02:07:02      0.39      0.00
02:07:03      0.00      0.00
02:07:04      0.00      0.00
02:07:05      0.06      0.00
02:07:06      0.06      0.00
02:07:07      0.06      0.00
02:07:08      0.00      0.00
02:07:09  13821.55    873.63
02:07:10  18762.81   1185.98
02:07:11  20920.65   1322.13
02:07:12  19594.71   1238.17
02:07:13  18259.33   1153.95
02:07:14  20502.56   1295.64
02:07:15  15693.92    992.07
02:07:16  19479.81   1231.20
02:07:17  19163.84   1210.82
02:07:18  20893.83   1320.43
02:07:19  17936.95   1133.36
02:07:20  17416.18   1100.21
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:07:21  13073.29    827.21
02:07:22  17184.54   1085.96
02:07:23  18205.88   1150.43
02:07:24  18878.66   1193.52
02:07:25  20171.60   1274.58
02:07:26  19008.77   1201.02
02:07:27  18633.94   1177.55
02:07:28  19523.97   1234.15
02:07:29  20051.88   1266.86
02:07:30  19799.98   1251.22
02:07:31  19979.28   1262.50
02:07:32  18851.34   1191.29
02:07:33   8203.56    519.47
02:07:34  18075.71   1141.82
02:07:35  17427.88   1101.55
02:07:36  17384.91   1098.76
02:07:37  19826.14   1252.89
02:07:38  19387.82   1225.24
02:07:39  18067.90   1141.34
02:07:40  18407.56   1163.24
02:07:41  17434.80   1101.92
02:07:42  18643.39   1178.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:07:43  19513.74   1233.44
02:07:44  17930.86   1133.12
02:07:45  19718.84   1245.96
02:07:46  16891.09   1067.70
02:07:47  19734.44   1246.73
02:07:48  18937.30   1197.15
02:07:49  18367.39   1160.35
02:07:50  18157.36   1147.45
02:07:51  18286.29   1155.65
02:07:52  18273.48   1155.11
02:07:53  18576.81   1173.65
02:07:54  18629.88   1177.58
02:07:55  19515.83   1233.06
02:07:56  19065.73   1204.96
02:07:57  18051.36   1140.84
02:07:58      6.91      0.50
02:07:59  18568.61   1173.59
02:08:00  18539.26   1172.07
02:08:01  19174.50   1211.64
02:08:02  19309.25   1220.15
02:08:03  18859.69   1191.67
02:08:04  19281.45   1218.61
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:08:05  17055.41   1077.50
02:08:06  19312.96   1220.72
02:08:07  17505.00   1106.35
02:08:08  18367.77   1160.44
02:08:09  17640.90   1115.01
02:08:10  18540.50   1171.33
02:08:11  19318.24   1220.87
02:08:12  19312.60   1220.65
02:08:13  18016.86   1138.34
02:08:14  17956.12   1134.98
02:08:15  19054.60   1203.70
02:08:16  17186.08   1086.05
02:08:17  19062.42   1205.06
02:08:18  18341.92   1158.66
02:08:19  19211.16   1214.17
02:08:20  17720.24   1120.03
02:08:21  17062.52   1077.88
02:08:22  19007.86   1201.40
02:08:23  18806.03   1188.35
02:08:24  17353.52   1096.69
02:08:25  17755.16   1122.23
02:08:26  18663.79   1179.08
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:08:27  18016.43   1138.80
02:08:28  19140.41   1209.41
02:08:29  18592.03   1175.11
02:08:30  18531.77   1171.09
02:08:31  17715.18   1119.04
02:08:32  18150.03   1146.97
02:08:33  18289.19   1156.19
02:08:34  19456.22   1229.30
02:08:35  19712.86   1245.95
02:08:36  18815.94   1188.91
02:08:37  19243.74   1216.16
02:08:38  17840.33   1127.47
