  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:41:59      0.12      0.00
12:42:00      0.33      0.00
12:42:01      0.00      0.00
12:42:02      0.06      0.06
12:42:03      0.33      0.00
12:42:04      0.00      0.00
12:42:05      0.00      0.04
12:42:06      0.00      0.00
12:42:07      0.39      0.00
12:42:08      2.06      0.43
12:42:09      1.31      3.09
12:42:10      0.06      0.00
12:42:11      0.00      0.00
12:42:12      0.00      0.00
12:42:13      0.00      0.00
12:42:14      0.00      0.00
12:42:15      0.00      0.00
12:42:16      0.00      0.00
12:42:17      0.00      0.00
12:42:18      2.44      0.47
12:42:19      1.50      3.50
12:42:20      0.12      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:42:21      0.39      0.00
12:42:22      0.00      0.00
12:42:23      0.06      0.00
12:42:24      0.08      0.06
12:42:25      0.39      0.00
12:42:26      0.06      0.00
12:42:27      0.06      0.00
12:42:28      0.00      0.00
12:42:29      0.08      0.08
12:42:30      0.06      0.00
12:42:31  13684.41    865.05
12:42:32  17773.17   1123.28
12:42:33  16821.61   1062.87
12:42:34  15845.84   1001.79
12:42:35  15773.72    996.80
12:42:36  17148.31   1083.29
12:42:37  15242.54    963.23
12:42:38  15777.99    997.53
12:42:39  15311.73    967.51
12:42:40  16185.87   1023.06
12:42:41  18045.82   1140.17
12:42:42  15235.49    962.72
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:42:43  13477.04    851.79
12:42:44  14335.40    906.19
12:42:45  10435.66    660.20
12:42:46  16183.30   1023.04
12:42:47  15563.45    983.08
12:42:48  16328.79   1032.24
12:42:49  16830.40   1063.28
12:42:50  15722.93    993.51
12:42:51  15802.24    998.60
12:42:52  15229.26    962.83
12:42:53  13953.84    881.80
12:42:54  15550.95    982.70
12:42:55  16844.35   1064.17
12:42:56  14871.42    939.92
12:42:57  15422.67    974.52
12:42:58  18497.34   1169.06
12:42:59  11259.15    711.61
12:43:00  11102.53    702.20
12:43:01  18826.85   1189.57
12:43:02  17266.16   1090.97
12:43:03  15786.81    997.84
12:43:04  18421.74   1163.92
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:43:05  17658.36   1116.19
12:43:06  14854.65    938.94
12:43:07  14457.94    913.22
12:43:08  13725.78    867.74
12:43:09  13609.27    859.67
12:43:10  14269.35    902.17
12:43:11  14036.85    886.73
12:43:12  13782.07    871.34
12:43:13  15474.56    977.82
12:43:14  14887.34    940.50
12:43:15  11109.41    702.46
12:43:16  14382.50    908.52
12:43:17  14637.78    925.02
12:43:18  14111.85    891.64
12:43:19  13989.02    884.07
12:43:20  11215.21    708.91
12:43:21  14523.55    917.80
12:43:22  15175.55    959.00
12:43:23  15594.44    985.83
12:43:24  16193.05   1023.30
12:43:25  11666.73    736.90
12:43:26   9261.36    585.58
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:43:27   6212.75    392.97
12:43:28   6885.73    435.06
12:43:29   5822.03    367.68
12:43:30   5245.13    331.53
12:43:31   3969.14    251.67
12:43:32   4516.35    285.26
12:43:33   4936.32    311.78
12:43:34   3947.43    249.67
12:43:35   3548.02    224.00
12:43:36    695.67     44.57
12:43:37      0.33      0.00
12:43:38   3626.98    229.58
12:43:39   3968.32    250.70
12:43:40   3398.32    215.04
12:43:41   2342.81    148.10
12:43:42      0.00      0.00
12:43:43      0.00      0.00
12:43:44      0.00      0.00
12:43:45      0.00      0.00
12:43:46      0.06      0.00
12:43:47      0.63      0.00
12:43:48      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:43:49      0.00      0.00
12:43:50      0.06      0.00
12:43:51      0.39      0.00
12:43:52      0.00      0.00
12:43:53      0.00      0.00
12:43:54      0.06      0.00
12:43:55   1084.36     68.94
12:43:56   3255.65    205.74
12:43:57   4758.98    301.10
12:43:58   4915.14    309.95
12:43:59   5018.34    317.27
12:44:00   5890.65    372.86
12:44:01   3169.25    199.91
12:44:02   3477.12    220.09
12:44:03   1946.39    123.84
12:44:04   1779.73    112.32
12:44:05   2005.14    126.69
12:44:06   1972.38    124.71
12:44:07   1782.09    112.76
12:44:08   2216.19    139.90
12:44:09   2503.24    158.02
12:44:10   2204.13    139.43
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:44:11   1859.70    117.37
12:44:12   2029.92    128.42
12:44:13   2021.09    127.48
12:44:14   2318.56    146.37
12:44:15   2570.12    162.70
12:44:16   2263.90    143.06
12:44:17   2238.97    141.42
12:44:18   2310.81    146.17
12:44:19   2153.14    136.07
12:44:20   2113.36    133.40
12:44:21   2320.94    146.59
12:44:22   2252.63    142.50
12:44:23   2175.21    137.51
12:44:24   2347.33    148.12
12:44:25   2266.35    143.43
12:44:26   2136.02    134.84
12:44:27   2202.75    139.40
12:44:28   2196.63    138.67
12:44:29   2390.89    150.95
12:44:30   2273.87    143.91
12:44:31   2007.44    126.76
12:44:32   2005.95    126.84
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:44:33   2072.11    130.87
12:44:34   2300.30    145.44
12:44:35   1911.07    120.62
12:44:36   2227.51    140.84
12:44:37   2620.51    165.67
12:44:38   2392.89    151.22
12:44:39   2350.88    148.78
12:44:40   2260.44    142.56
12:44:41   2499.10    157.98
12:44:42   2080.46    131.47
12:44:43   2572.53    162.93
12:44:44   2187.49    137.88
12:44:45   2763.60    174.62
12:44:46   2668.28    168.47
12:44:47   2549.75    161.27
12:44:48   2519.99    159.17
12:44:49   2239.15    141.48
12:44:50   2311.80    146.16
12:44:51   2307.09    146.03
12:44:52   3402.51    215.09
12:44:53   2566.61    162.12
12:44:54   2402.72    151.84
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:44:55   2558.68    161.62
12:44:56   2059.50    130.61
12:44:57   2549.53    161.18
12:44:58   2849.45    180.06
12:44:59   2119.83    134.18
12:45:00   1988.06    125.71
12:45:01    593.05     37.18
12:45:02    755.87     48.82
12:45:03   1122.03     71.17
12:45:04    857.79     54.13
12:45:05   1046.33     66.05
12:45:06   1245.78     78.94
12:45:07    930.23     59.00
12:45:08    824.77     52.11
12:45:09    911.59     57.73
12:45:10    804.54     50.99
12:45:11    984.89     62.24
12:45:12    759.14     48.59
12:45:13   1016.63     64.45
12:45:14   1029.18     65.11
12:45:15    998.95     63.12
12:45:16    984.62     62.22
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:45:17    942.74     59.70
12:45:18   1068.02     67.56
12:45:19   1036.57     65.65
12:45:20    964.13     60.89
12:45:21    942.85     59.55
12:45:22   1002.95     63.31
12:45:23    996.43     63.11
12:45:24   1025.79     64.82
12:45:25   1141.51     72.26
12:45:26   1097.69     69.37
12:45:27   1001.13     63.05
12:45:28    981.21     62.15
12:45:29    929.80     58.89
12:45:30   1025.73     64.82
12:45:31   1128.03     71.21
12:45:32   1052.03     66.62
12:45:33   1050.85     66.38
12:45:34   1066.75     67.62
12:45:35    838.20     53.26
12:45:36   1157.15     73.27
12:45:37   1058.89     66.70
12:45:38   1058.93     66.98
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:45:39   1049.35     66.43
12:45:40   1061.21     67.13
12:45:41    972.11     61.36
12:45:42   1022.45     64.68
12:45:43   1159.05     73.01
12:45:44   1001.75     63.67
12:45:45   1035.17     65.18
12:45:46   1016.68     64.46
12:45:47   1101.75     69.40
12:45:48   1200.64     76.01
12:45:49   1021.25     64.61
12:45:50   1111.47     70.17
12:45:51    827.32     52.59
12:45:52   1026.94     64.89
12:45:53   1059.27     66.85
12:45:54   1089.79     68.87
12:45:55    995.37     62.83
12:45:56   1050.97     66.75
12:45:57   1087.90     68.65
12:45:58   1151.40     72.97
12:45:59   1128.04     70.99
12:46:00   1209.68     76.73
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:46:01   1241.98     78.39
12:46:02   1167.52     73.78
12:46:03   1327.87     83.77
12:46:04    972.06     61.71
12:46:05   1015.52     63.89
12:46:06   1736.24    109.79
12:46:07   1233.10     78.21
12:46:08   1345.67     85.20
12:46:09    570.05     37.64
12:46:10    666.05     43.24
12:46:11    514.78     33.78
12:46:12    537.26     35.19
12:46:13    532.73     35.44
12:46:14    531.52     35.58
12:46:15    468.35     31.18
12:46:16    468.35     31.36
12:46:17    493.47     32.99
12:46:18    658.21     42.02
12:46:19   2114.33    133.68
12:46:20   1243.86     79.00
12:46:21   1392.46     88.96
