Linux 4.4.0-142-generic (vm) 	2025-02-23 	_x86_64_	(1 CPU)

13:52:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:52:51     all   50.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   30.00
13:52:52     all   13.27    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   83.67
13:52:53     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:52:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:52:55     all    0.00    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00   92.93
13:52:56     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
13:52:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:52:58     all    1.00    0.00    1.00    8.00    0.00    0.00    0.00    0.00    0.00   90.00
13:52:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:00     all    8.91    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   88.12
13:53:01     all    7.07   71.72    8.08    0.00    0.00    0.00    0.00    0.00    0.00   13.13
13:53:02     all   21.43   72.45    6.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:53:03     all    7.69   25.00   15.38    8.65    0.00    0.00    0.00    0.00    0.00   43.27
13:53:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:05     all   28.00    0.00    2.00    3.00    0.00    0.00    0.00    0.00    0.00   67.00
13:53:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:07     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
13:53:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:09     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
13:53:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:11     all   10.89    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   84.16
13:53:12     all   17.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   77.00
13:53:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:14     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
13:53:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:17     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:18     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
13:53:19     all    0.00    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00   93.07
13:53:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:53:22     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
13:53:23     all    3.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
13:53:24     all   27.27    0.00   14.77    0.00    0.00    3.41    0.00    0.00    0.00   54.55
13:53:25     all   35.79    0.00   15.79    4.21    0.00    1.05    0.00    0.00    0.00   43.16
13:53:26     all   28.89    0.00   12.22    0.00    0.00    3.33    0.00    0.00    0.00   55.56
13:53:27     all   28.26    0.00   17.39    0.00    0.00    1.09    0.00    0.00    0.00   53.26
13:53:28     all   41.49    0.00    8.51    0.00    0.00    4.26    0.00    0.00    0.00   45.74
13:53:29     all   31.58    0.00   10.53    0.00    0.00    3.16    0.00    0.00    0.00   54.74
13:53:30     all   34.04    0.00    9.57    3.19    0.00    2.13    0.00    0.00    0.00   51.06
13:53:31     all   22.83    0.00   11.96    0.00    0.00    1.09    0.00    0.00    0.00   64.13
13:53:32     all   23.16    0.00   12.63    0.00    0.00    2.11    0.00    0.00    0.00   62.11
13:53:33     all   29.79    0.00   14.89    0.00    0.00    2.13    0.00    0.00    0.00   53.19
13:53:34     all   45.92    0.00   12.24    0.00    0.00    2.04    0.00    0.00    0.00   39.80
13:53:35     all   25.51    0.00   15.31    4.08    0.00    4.08    0.00    0.00    0.00   51.02
13:53:36     all   27.66    0.00   10.64    0.00    0.00    1.06    0.00    0.00    0.00   60.64
13:53:37     all   25.00    0.00   12.50    0.00    0.00    4.17    0.00    0.00    0.00   58.33
13:53:38     all   30.85    0.00    8.51    0.00    0.00    3.19    0.00    0.00    0.00   57.45
13:53:39     all   31.91    0.00   12.77    0.00    0.00    1.06    0.00    0.00    0.00   54.26
13:53:40     all   31.96    0.00   12.37    0.00    0.00    2.06    0.00    0.00    0.00   53.61
13:53:41     all   30.77    0.00    9.89    4.40    0.00    1.10    0.00    0.00    0.00   53.85
13:53:42     all   29.90    0.00   13.40    0.00    0.00    2.06    0.00    0.00    0.00   54.64
13:53:43     all   26.60    0.00   11.70    0.00    0.00    2.13    0.00    0.00    0.00   59.57
13:53:44     all   25.00    0.00   12.50    0.00    0.00    3.12    0.00    0.00    0.00   59.38
13:53:45     all   63.27    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   28.57
13:53:46     all   28.57    0.00   14.29    4.08    0.00    1.02    0.00    0.00    0.00   52.04
13:53:47     all   20.79    0.00   13.86    0.00    0.00    3.96    0.00    0.00    0.00   61.39
13:53:48     all   27.08    0.00   14.58    0.00    0.00    2.08    0.00    0.00    0.00   56.25
13:53:49     all   27.84    0.00   16.49    0.00    0.00    1.03    0.00    0.00    0.00   54.64
13:53:50     all   24.18    0.00   12.09    0.00    0.00    3.30    0.00    0.00    0.00   60.44
13:53:51     all   33.67    0.00   10.20    5.10    0.00    2.04    0.00    0.00    0.00   48.98
13:53:52     all   28.87    0.00   12.37    7.22    0.00    3.09    0.00    0.00    0.00   48.45
13:53:53     all   32.29    0.00   11.46    0.00    0.00    2.08    0.00    0.00    0.00   54.17
13:53:54     all   30.53    0.00   10.53    0.00    0.00    3.16    0.00    0.00    0.00   55.79
13:53:55     all   26.88    0.00   10.75    0.00    0.00    2.15    0.00    0.00    0.00   60.22
13:53:56     all   32.00    0.00   14.00    0.00    0.00    2.00    0.00    0.00    0.00   52.00
13:53:57     all   33.33    0.00   10.42    7.29    0.00    3.12    0.00    0.00    0.00   45.83
13:53:58     all   28.72    0.00   11.70    0.00    0.00    3.19    0.00    0.00    0.00   56.38
13:53:59     all   28.42    0.00   12.63    0.00    0.00    4.21    0.00    0.00    0.00   54.74
13:54:00     all   28.26    0.00   16.30    1.09    0.00    1.09    0.00    0.00    0.00   53.26
13:54:01     all   26.88    0.00   11.83    0.00    0.00    2.15    0.00    0.00    0.00   59.14
13:54:02     all   27.37    0.00   15.79    3.16    0.00    1.05    0.00    0.00    0.00   52.63
13:54:03     all   32.32    0.00   12.12    0.00    0.00    2.02    0.00    0.00    0.00   53.54
13:54:04     all   23.33    0.00   13.33    0.00    0.00    2.22    0.00    0.00    0.00   61.11
13:54:05     all   34.04    0.00    9.57    0.00    0.00    0.00    0.00    0.00    0.00   56.38
13:54:06     all   30.77    0.00    9.89    0.00    0.00    2.20    0.00    0.00    0.00   57.14
13:54:07     all   59.18    0.00    8.16    0.00    0.00    1.02    0.00    0.00    0.00   31.63
