  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:18:58      0.33      0.00
00:18:59      0.00      0.00
00:19:00      0.06      0.00
00:19:01      0.06      0.06
00:19:02      0.33      0.00
00:19:03      0.00      0.00
00:19:04      0.00      0.00
00:19:05      0.00      0.04
00:19:06      0.06      0.00
00:19:07      0.24      0.26
00:19:08      3.02      3.27
00:19:09      0.00      0.00
00:19:10      0.00      0.00
00:19:11      0.00      0.00
00:19:12      0.33      0.00
00:19:13      0.00      0.00
00:19:14      0.00      0.00
00:19:15      0.00      0.00
00:19:16      0.39      0.00
00:19:17      2.11      0.47
00:19:18      1.38      3.50
00:19:19      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:19:20      0.33      0.00
00:19:21      0.00      0.00
00:19:22      0.00      0.00
00:19:23      0.00      0.00
00:19:24      0.00      0.00
00:19:25      0.06      0.00
00:19:26      0.18      0.00
00:19:27      0.06      0.00
00:19:28      0.14      0.00
00:19:29      0.00      0.00
00:19:30  10545.67    667.17
00:19:31  14530.22    918.15
00:19:32  15097.40    953.70
00:19:33  14001.17    884.86
00:19:34  14417.78    911.38
00:19:35  13955.39    881.37
00:19:36  14067.44    889.19
00:19:37  14314.63    904.45
00:19:38  12398.04    784.28
00:19:39  15950.26   1007.60
00:19:40  15584.00    985.17
00:19:41  14113.61    891.46
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:19:42  14125.07    892.76
00:19:43  14424.30    911.38
00:19:44  14495.31    916.45
00:19:45  12550.38    793.01
00:19:46  12365.17    781.83
00:19:47  14777.31    933.76
00:19:48  14705.37    929.85
00:19:49  16584.05   1047.65
00:19:50  15143.51    956.83
00:19:51  15239.67    963.05
00:19:52  14828.28    937.47
00:19:53  14199.65    896.90
00:19:54  14696.94    928.76
00:19:55  14895.46    941.45
00:19:56  15125.03    955.64
00:19:57  14915.31    942.63
00:19:58  14426.86    911.69
00:19:59  14272.09    901.98
00:20:00  13424.66    848.36
00:20:01   7065.08    447.75
00:20:02  15429.64    975.35
00:20:03  14487.33    915.15
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:20:04  15749.75    995.29
00:20:05  14797.00    935.08
00:20:06  15236.72    963.13
00:20:07  15011.56    948.71
00:20:08  15038.19    949.96
00:20:09  14633.36    925.26
00:20:10  14331.89    905.38
00:20:11  13879.55    877.28
00:20:12  14785.81    934.23
00:20:13  14122.93    892.55
00:20:14  14776.64    933.77
00:20:15  14062.67    888.82
00:20:16  14010.87    885.11
00:20:17  13554.31    856.98
00:20:18  14035.42    886.66
00:20:19  14474.49    915.06
00:20:20  14210.68    897.52
00:20:21  15054.12    951.76
00:20:22  14653.07    925.62
00:20:23  14227.12    898.99
00:20:24  14413.57    911.26
00:20:25  13654.28    862.43
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:20:26  14512.92    917.55
00:20:27  15762.47    996.08
00:20:28  14922.64    942.98
00:20:29  14394.43    909.71
00:20:30  14126.98    892.67
00:20:31  13947.21    881.30
00:20:32  10717.74    677.38
00:20:33   1833.21    117.07
00:20:34  14329.61    905.83
00:20:35  14517.93    917.15
00:20:36  14094.90    890.56
00:20:37  14981.61    946.74
00:20:38  14403.68    910.30
00:20:39  14856.21    939.18
00:20:40  14691.32    928.47
00:20:41  13711.91    866.44
00:20:42  13918.77    879.20
00:20:43  14329.35    905.53
00:20:44  14320.47    905.18
00:20:45  13622.68    861.08
00:20:46  13358.34    843.64
00:20:47  13541.85    855.83
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:20:48  13455.10    850.21
00:20:49  13235.30    836.53
00:20:50  14650.50    925.80
00:20:51  14264.05    901.40
00:20:52  14139.87    893.55
00:20:53  14586.02    921.60
00:20:54  14168.97    895.83
00:20:55  14044.37    887.45
00:20:56  14374.06    908.06
00:20:57  14608.67    923.39
00:20:58  13776.64    870.38
00:20:59  14700.89    929.08
00:21:00  13224.00    835.94
00:21:01  13072.22    826.01
00:21:02  13590.21    858.96
00:21:03  13418.62    847.90
00:21:04  12665.54    800.36
00:21:05  13102.35    827.63
00:21:06  13334.15    842.56
00:21:07  14003.44    885.00
00:21:08  13951.23    881.68
00:21:09  13371.26    844.84
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:21:10  12646.65    799.19
00:21:11  13460.25    850.60
00:21:12  13044.10    824.74
00:21:13  13021.05    822.63
00:21:14  12981.03    820.10
00:21:15  12954.09    818.69
00:21:16  13926.39    880.28
00:21:17  13517.65    854.38
00:21:18  13420.69    847.65
00:21:19  13417.24    848.32
00:21:20  13846.95    875.11
00:21:21  14163.15    894.52
00:21:22  13332.34    842.57
00:21:23  14815.44    935.96
00:21:24  15102.08    954.94
00:21:25  14273.65    901.93
00:21:26  15279.33    965.75
00:21:27  14292.45    903.11
00:21:28  15600.36    985.92
00:21:29  14492.87    915.79
00:21:30  15051.90    950.90
00:21:31  14419.11    911.05
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:21:32  14419.00    911.55
00:21:33  14046.03    887.33
00:21:34  13624.70    861.14
00:21:35  14246.14    900.19
00:21:36  14166.60    895.15
00:21:37  14295.71    903.83
00:21:38   2149.66    136.64
00:21:39      0.00      0.00
00:21:40   9983.49    631.50
00:21:41  14354.61    907.63
00:21:42  14533.02    917.89
00:21:43  13437.59    848.88
00:21:44  13442.23    850.02
00:21:45  13842.62    874.55
00:21:46  13823.57    873.92
00:21:47  14242.92    899.92
00:21:48  13960.61    882.44
00:21:49  14524.80    917.45
00:21:50  13331.99    842.50
00:21:51  14406.24    910.39
00:21:52  14405.62    910.64
00:21:53  16460.04   1040.25
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:21:54  15681.89    990.98
00:21:55  14504.57    916.53
00:21:56  14213.07    898.25
00:21:57  11443.99    722.90
00:21:58  11000.94    695.09
00:21:59  11796.86    745.85
00:22:00  11653.59    736.44
00:22:01  11556.90    730.04
00:22:02  14855.64    938.76
00:22:03  15564.54    983.44
00:22:04  15694.78    991.96
00:22:05  16723.17   1057.09
00:22:06  15748.56    994.92
00:22:07  15494.28    979.22
00:22:08  15756.87    995.66
00:22:09  15080.54    952.85
00:22:10  15627.64    987.72
00:22:11  15830.08   1000.72
00:22:12  16771.05   1059.30
00:22:13  15677.20    991.06
00:22:14  14111.80    891.78
00:22:15  15029.64    949.49
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:22:16  14660.46    926.43
00:22:17  14144.17    893.98
00:22:18  11405.35    721.11
00:22:19  10304.02    650.89
00:22:20  10462.14    661.12
00:22:21   9677.38    611.55
00:22:22   9336.27    590.14
00:22:23   9647.68    609.46
00:22:24  10106.72    638.75
00:22:25  10386.90    656.75
00:22:26  10038.81    634.24
00:22:27   9895.01    625.01
00:22:28   9965.58    629.76
00:22:29  10248.81    647.66
00:22:30  10103.28    638.66
00:22:31  10085.67    637.06
00:22:32   9624.29    608.69
00:22:33   9808.82    619.49
00:22:34   9901.70    625.70
00:22:35  10107.57    638.52
00:22:36  10806.73    682.99
00:22:37  10038.88    634.61
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:22:38  10487.01    662.54
00:22:39  10643.93    672.63
00:22:40   9805.12    620.05
00:22:41  10712.86    676.63
00:22:42  11268.26    711.94
00:22:43  10790.31    682.31
00:22:44  11049.71    697.91
00:22:45   8545.50    540.87
00:22:46  13005.99    822.58
00:22:47  12787.00    807.55
00:22:48  13750.23    869.34
00:22:49  15011.74    948.21
00:22:50  14409.16    911.00
00:22:51  13895.05    877.64
00:22:52  14728.02    931.20
00:22:53  14587.52    921.48
00:22:54  14170.75    895.50
00:22:55  15099.85    954.36
00:22:56  14793.02    935.02
00:22:57  14821.54    936.27
00:22:58  14452.67    913.24
00:22:59  14784.78    934.36
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:23:00  14875.54    940.19
00:23:01  13818.84    873.34
00:23:02  12766.59    806.84
00:23:03  12709.16    803.21
00:23:04  12541.10    792.44
00:23:05  12970.74    819.31
00:23:06  13301.80    840.57
00:23:07  13816.12    873.09
00:23:08  11589.97    732.34
00:23:09  12465.53    788.24
00:23:10  12498.34    789.36
00:23:11  12981.24    820.48
00:23:12  12260.63    774.51
00:23:13  13047.53    824.81
00:23:14  12257.28    774.35
00:23:15  12967.52    819.54
00:23:16  12320.13    778.20
00:23:17  10101.76    638.66
00:23:18  12251.91    774.39
00:23:19  10254.44    648.64
00:23:20   9763.47    617.42
00:23:21  13394.29    846.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:23:22  12228.04    773.17
00:23:23  11796.11    745.37
00:23:24  12067.92    762.67
00:23:25  12158.13    767.81
00:23:26  13384.83    845.98
00:23:27  12619.65    797.41
00:23:28  13217.01    835.64
00:23:29  13383.32    845.45
00:23:30  12780.70    807.66
00:23:31  13672.61    863.95
00:23:32  13633.13    861.65
00:23:33  13933.28    880.21
00:23:34  13820.71    873.53
00:23:35  13064.36    825.73
00:23:36  12447.31    786.59
00:23:37  13122.90    829.50
00:23:38  13028.21    822.94
00:23:39  13119.12    829.12
00:23:40  13800.81    872.21
00:23:41  13982.55    883.54
00:23:42  13497.67    853.02
00:23:43  12164.73    768.81
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
00:23:44  14084.87    890.37
00:23:45  13610.11    860.00
00:23:46  13212.74    834.65
00:23:47  12427.34    785.79
00:23:48  13214.12    834.98
00:23:49  13153.87    831.67
00:23:50  13297.99    839.99
00:23:51  12977.32    819.89
00:23:52  12909.40    816.32
00:23:53  13199.03    834.11
00:23:54  13335.23    843.08
00:23:55  13877.49    877.14
00:23:56  14292.23    903.13
00:23:57  13401.60    846.99
00:23:58  13227.59    835.70
00:23:59   5485.53    365.39
00:24:00     16.54     11.82
00:24:01      7.40     78.95
