Linux 4.4.0-142-generic (vm) 	2025-02-23 	_x86_64_	(1 CPU)

21:06:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:06:27     all   57.00    0.00   18.00    0.00    0.00    0.00    0.00    0.00    0.00   25.00
21:06:28     all   13.13    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   84.85
21:06:29     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:30     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
21:06:31     all    0.00    0.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00   90.00
21:06:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:33     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:34     all    1.00    0.00    3.00   54.00    0.00    0.00    0.00    0.00    0.00   42.00
21:06:35     all    1.00    0.00    1.00   42.00    0.00    0.00    0.00    0.00    0.00   56.00
21:06:36     all    6.12    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   89.80
21:06:37     all    4.04   41.41    8.08    0.00    0.00    0.00    0.00    0.00    0.00   46.46
21:06:38     all   11.00   79.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21:06:39     all    6.86   12.75   13.73    1.96    0.00    0.00    0.00    0.00    0.00   64.71
21:06:40     all   25.25    0.00    4.04    8.08    0.00    0.00    0.00    0.00    0.00   62.63
21:06:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:43     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
21:06:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:45     all    0.00    0.00    0.98    6.86    0.00    0.00    0.00    0.00    0.00   92.16
21:06:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:47     all    8.08    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   87.88
21:06:48     all   20.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
21:06:49     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:50     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:51     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
21:06:52     all    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
21:06:53     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:55     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:56     all    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   95.00
21:06:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:06:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:07:00     all   12.36    0.00   22.47    0.00    0.00    4.49    0.00    0.00    0.00   60.67
21:07:01     all   19.32    0.00   20.45    4.55    0.00    2.27    0.00    0.00    0.00   53.41
21:07:02     all   14.43    0.00   27.84    0.00    0.00    5.15    0.00    0.00    0.00   52.58
21:07:03     all   17.20    0.00   24.73    0.00    0.00    4.30    0.00    0.00    0.00   53.76
21:07:04     all   20.20    0.00   21.21    0.00    0.00    4.04    0.00    0.00    0.00   54.55
21:07:05     all   14.43    0.00   21.65    0.00    0.00    4.12    0.00    0.00    0.00   59.79
21:07:06     all   41.30    0.00   10.87    1.09    0.00    1.09    0.00    0.00    0.00   45.65
21:07:07     all   12.94    0.00   16.47   11.76    0.00    3.53    0.00    0.00    0.00   55.29
21:07:08     all   18.39    0.00   20.69    0.00    0.00    1.15    0.00    0.00    0.00   59.77
21:07:09     all   21.59    0.00   20.45    0.00    0.00    3.41    0.00    0.00    0.00   54.55
21:07:10     all   31.91    0.00   14.89    0.00    0.00    1.06    0.00    0.00    0.00   52.13
21:07:11     all   23.16    0.00   22.11    0.00    0.00    4.21    0.00    0.00    0.00   50.53
21:07:12     all   22.47    0.00   15.73    3.37    0.00    2.25    0.00    0.00    0.00   56.18
21:07:13     all   47.83    0.00   11.96    0.00    0.00    1.09    0.00    0.00    0.00   39.13
21:07:14     all   19.78    0.00   17.58    0.00    0.00    4.40    0.00    0.00    0.00   58.24
21:07:15     all   17.98    0.00   20.22    0.00    0.00    2.25    0.00    0.00    0.00   59.55
21:07:16     all   21.05    0.00   23.16    0.00    0.00    3.16    0.00    0.00    0.00   52.63
21:07:17     all   24.72    0.00   16.85    2.25    0.00    2.25    0.00    0.00    0.00   53.93
21:07:18     all   21.65    0.00   18.56    0.00    0.00    3.09    0.00    0.00    0.00   56.70
21:07:19     all   20.21    0.00   22.34    0.00    0.00    2.13    0.00    0.00    0.00   55.32
21:07:20     all   23.66    0.00   15.05    0.00    0.00    2.15    0.00    0.00    0.00   59.14
21:07:21     all   28.72    0.00   15.96    0.00    0.00    3.19    0.00    0.00    0.00   52.13
21:07:22     all   31.87    0.00   10.99    4.40    0.00    0.00    0.00    0.00    0.00   52.75
21:07:23     all   32.61    0.00   10.87    0.00    0.00    1.09    0.00    0.00    0.00   55.43
21:07:24     all   36.46    0.00   12.50    0.00    0.00    1.04    0.00    0.00    0.00   50.00
21:07:25     all   33.68    0.00   13.68    0.00    0.00    1.05    0.00    0.00    0.00   51.58
21:07:26     all   62.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   28.00
21:07:27     all   36.84    0.00   10.53    0.00    0.00    2.11    0.00    0.00    0.00   50.53
21:07:28     all   30.61    0.00   13.27    9.18    0.00    3.06    0.00    0.00    0.00   43.88
21:07:29     all   27.66    0.00    8.51    0.00    0.00    2.13    0.00    0.00    0.00   61.70
21:07:30     all   19.57    0.00   18.48    0.00    0.00    3.26    0.00    0.00    0.00   58.70
21:07:31     all   26.97    0.00   16.85    0.00    0.00    1.12    0.00    0.00    0.00   55.06
21:07:32     all   18.28    0.00   18.28    0.00    0.00    3.23    0.00    0.00    0.00   60.22
21:07:33     all   20.00    0.00   20.00    2.22    0.00    5.56    0.00    0.00    0.00   52.22
21:07:34     all   20.41    0.00   28.57    0.00    0.00    2.04    0.00    0.00    0.00   48.98
21:07:35     all   23.16    0.00   18.95    0.00    0.00    4.21    0.00    0.00    0.00   53.68
21:07:36     all   27.47    0.00   14.29    1.10    0.00    3.30    0.00    0.00    0.00   53.85
21:07:37     all   33.68    0.00   10.53    0.00    0.00    2.11    0.00    0.00    0.00   53.68
21:07:38     all   25.26    0.00   13.68    5.26    0.00    3.16    0.00    0.00    0.00   52.63
21:07:39     all   30.93    0.00    9.28    0.00    0.00    2.06    0.00    0.00    0.00   57.73
21:07:40     all   27.37    0.00    9.47    0.00    0.00    1.05    0.00    0.00    0.00   62.11
21:07:41     all   39.13    0.00    7.61    0.00    0.00    1.09    0.00    0.00    0.00   52.17
21:07:42     all   45.45    0.00   11.11    0.00    0.00    2.02    0.00    0.00    0.00   41.41
21:07:43     all   37.62    0.00   11.88    0.00    0.00    0.99    0.00    0.00    0.00   49.50
21:07:44     all   32.29    0.00   10.42    3.12    0.00    3.12    0.00    0.00    0.00   51.04
21:07:45     all   31.58    0.00   12.63    0.00    0.00    1.05    0.00    0.00    0.00   54.74
21:07:46     all   32.98    0.00   11.70    0.00    0.00    2.13    0.00    0.00    0.00   53.19
21:07:47     all   26.04    0.00   15.62    0.00    0.00    2.08    0.00    0.00    0.00   56.25
