Linux 4.4.0-142-generic (vm) 	2025-02-23 	_x86_64_	(1 CPU)

09:44:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:44:16     all   56.00    0.00   19.00    0.00    0.00    0.00    0.00    0.00    0.00   25.00
09:44:17     all   12.87    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   84.16
09:44:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:20     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
09:44:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:22     all    1.01    0.00    1.01    7.07    0.00    0.00    0.00    0.00    0.00   90.91
09:44:23     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:25     all    7.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   89.00
09:44:26     all    5.05   83.84    9.09    0.00    0.00    0.00    0.00    0.00    0.00    2.02
09:44:27     all   16.16   79.80    4.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:44:28     all    7.92   10.89   12.87   38.61    0.00    0.00    0.00    0.00    0.00   29.70
09:44:29     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:30     all   28.28    0.00    2.02    3.03    0.00    0.00    0.00    0.00    0.00   66.67
09:44:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:33     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
09:44:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:35     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:44:36     all   11.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
09:44:37     all   18.00    0.00    5.00    1.00    0.00    0.00    0.00    0.00    0.00   76.00
09:44:38     all    0.99    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00   92.08
09:44:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:43     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:44:44     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
09:44:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:44:48     all    0.99    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   96.04
09:44:49     all   12.77    0.00   25.53    4.26    0.00    7.45    0.00    0.00    0.00   50.00
09:44:50     all   15.38    0.00   26.37    0.00    0.00    1.10    0.00    0.00    0.00   57.14
09:44:51     all   15.73    0.00   20.22    0.00    0.00    3.37    0.00    0.00    0.00   60.67
09:44:52     all   13.64    0.00   20.45    0.00    0.00    3.41    0.00    0.00    0.00   62.50
09:44:53     all   15.05    0.00   25.81    0.00    0.00    5.38    0.00    0.00    0.00   53.76
09:44:54     all   20.00    0.00   20.00    3.33    0.00    5.56    0.00    0.00    0.00   51.11
09:44:55     all   23.96    0.00   19.79    0.00    0.00    4.17    0.00    0.00    0.00   52.08
09:44:56     all   33.68    0.00   13.68    0.00    0.00    2.11    0.00    0.00    0.00   50.53
09:44:57     all   19.78    0.00   17.58    0.00    0.00    2.20    0.00    0.00    0.00   60.44
09:44:58     all   26.14    0.00   18.18    0.00    0.00    2.27    0.00    0.00    0.00   53.41
09:44:59     all   18.89    0.00   12.22    1.11    0.00    4.44    0.00    0.00    0.00   63.33
09:45:00     all   29.21    0.00   13.48   23.60    0.00    1.12    0.00    0.00    0.00   32.58
09:45:01     all   13.68    0.00   18.95    0.00    0.00    4.21    0.00    0.00    0.00   63.16
09:45:02     all   26.80    0.00   14.43    0.00    0.00    1.03    0.00    0.00    0.00   57.73
09:45:03     all   47.37    0.00    9.47    0.00    0.00    1.05    0.00    0.00    0.00   42.11
09:45:04     all   15.73    0.00   23.60    0.00    0.00    2.25    0.00    0.00    0.00   58.43
09:45:05     all   18.60    0.00   17.44    4.65    0.00    3.49    0.00    0.00    0.00   55.81
09:45:06     all   19.15    0.00   17.02    0.00    0.00    3.19    0.00    0.00    0.00   60.64
09:45:07     all   22.34    0.00   20.21    0.00    0.00    2.13    0.00    0.00    0.00   55.32
09:45:08     all   14.12    0.00   17.65    0.00    0.00    2.35    0.00    0.00    0.00   65.88
09:45:09     all   21.28    0.00   22.34    0.00    0.00    2.13    0.00    0.00    0.00   54.26
09:45:10     all   18.68    0.00   17.58    3.30    0.00    5.49    0.00    0.00    0.00   54.95
09:45:11     all   16.84    0.00   24.21    0.00    0.00    4.21    0.00    0.00    0.00   54.74
09:45:12     all   14.44    0.00   23.33    0.00    0.00    3.33    0.00    0.00    0.00   58.89
09:45:13     all   21.11    0.00   17.78    0.00    0.00    3.33    0.00    0.00    0.00   57.78
09:45:14     all   15.15    0.00   27.27    0.00    0.00    4.04    0.00    0.00    0.00   53.54
09:45:15     all   21.35    0.00   19.10    0.00    0.00    3.37    0.00    0.00    0.00   56.18
09:45:16     all   15.56    0.00   20.00   10.00    0.00    3.33    0.00    0.00    0.00   51.11
09:45:17     all   16.67    0.00   24.44    7.78    0.00    3.33    0.00    0.00    0.00   47.78
09:45:18     all   26.97    0.00   19.10    0.00    0.00    2.25    0.00    0.00    0.00   51.69
09:45:19     all   65.31    0.00    8.16    0.00    0.00    1.02    0.00    0.00    0.00   25.51
09:45:20     all   16.84    0.00   14.74    0.00    0.00    3.16    0.00    0.00    0.00   65.26
09:45:21     all   15.38    0.00   18.68    0.00    0.00    3.30    0.00    0.00    0.00   62.64
09:45:22     all   21.28    0.00   18.09    4.26    0.00    2.13    0.00    0.00    0.00   54.26
09:45:23     all   16.85    0.00   20.22    0.00    0.00    0.00    0.00    0.00    0.00   62.92
