  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:18:34      0.46      0.06
06:18:35      0.06      0.00
06:18:36      0.00      0.00
06:18:37      0.06      0.06
06:18:38      0.00      0.00
06:18:39      0.06      0.00
06:18:40      0.00      0.00
06:18:41      0.00      0.04
06:18:42      0.00      0.08
06:18:43      1.93      0.35
06:18:44      1.66      3.09
06:18:45      0.12      0.00
06:18:46      0.06      0.00
06:18:47      0.06      0.00
06:18:48      0.33      0.00
06:18:49      0.00      0.00
06:18:50      0.00      0.00
06:18:51      0.00      0.00
06:18:52      0.33      0.00
06:18:53      2.11      0.47
06:18:54      1.38      3.50
06:18:55      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:18:56      0.12      0.00
06:18:57      0.06      0.00
06:18:58      0.06      0.00
06:18:59      0.00      0.00
06:19:00      0.00      0.00
06:19:01      0.00      0.00
06:19:02      0.33      0.00
06:19:03      0.00      0.00
06:19:04      0.00      0.00
06:19:05      0.12      0.00
06:19:06  13204.21    834.81
06:19:07  16865.41   1066.00
06:19:08  17825.36   1126.23
06:19:09  15201.80    960.58
06:19:10  16153.37   1020.77
06:19:11  17237.48   1089.66
06:19:12  15829.53    999.97
06:19:13  14519.87    918.10
06:19:14  16178.78   1022.25
06:19:15  17924.19   1132.84
06:19:16  19453.48   1229.26
06:19:17  16949.42   1070.88
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:19:18  16763.85   1059.59
06:19:19  11263.52    712.56
06:19:20  17292.54   1092.69
06:19:21  16785.05   1060.71
06:19:22  18026.55   1139.31
06:19:23  16738.25   1057.44
06:19:24  16189.22   1023.06
06:19:25  16628.16   1051.01
06:19:26  15745.70    995.18
06:19:27  17157.81   1083.95
06:19:28  17281.50   1092.16
06:19:29  17710.48   1119.27
06:19:30  17183.75   1086.27
06:19:31  17627.97   1113.47
06:19:32  18105.34   1144.29
06:19:33   6515.62    412.38
06:19:34  16937.13   1070.39
06:19:35  17527.18   1107.53
06:19:36  16962.58   1072.07
06:19:37  16838.55   1063.95
06:19:38  16286.93   1029.35
06:19:39  16526.30   1044.36
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
