Linux 4.4.0-142-generic (vm) 	2025-02-24 	_x86_64_	(1 CPU)

11:50:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:33     all   52.00    0.00   19.00    0.00    0.00    0.00    0.00    0.00    0.00   29.00
11:50:34     all   10.31    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   87.63
11:50:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:37     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
11:50:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:40     all    1.00    0.00    1.00    9.00    0.00    0.00    0.00    0.00    0.00   89.00
11:50:41     all    8.91    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   87.13
11:50:42     all    0.00   18.37    4.08    0.00    0.00    0.00    0.00    0.00    0.00   77.55
11:50:43     all    6.00   89.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:50:44     all   20.20   26.26   16.16    2.02    0.00    0.00    0.00    0.00    0.00   35.35
11:50:45     all   16.16    0.00    3.03   10.10    0.00    0.00    0.00    0.00    0.00   70.71
11:50:46     all    9.90    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   89.11
11:50:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:49     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:50     all    0.00    0.00    0.00    7.14    0.00    0.00    0.00    0.00    0.00   92.86
11:50:51     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:53     all   10.89    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   84.16
11:50:54     all   21.78    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   72.28
11:50:55     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:56     all    0.00    0.00    0.00    9.09    0.00    0.00    0.00    0.00    0.00   90.91
11:50:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:51:00     all    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11:51:01     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
11:51:02     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:51:03     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:51:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:51:05     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:51:06     all   16.67    0.00   27.78    2.22    0.00    2.22    0.00    0.00    0.00   51.11
11:51:07     all   14.61    0.00   28.09    0.00    0.00    3.37    0.00    0.00    0.00   53.93
11:51:08     all   20.83    0.00   25.00    0.00    0.00    5.21    0.00    0.00    0.00   48.96
11:51:09     all   17.98    0.00   23.60    0.00    0.00    1.12    0.00    0.00    0.00   57.30
11:51:10     all   18.09    0.00   20.21    0.00    0.00    2.13    0.00    0.00    0.00   59.57
11:51:11     all   17.58    0.00   23.08    0.00    0.00    3.30    0.00    0.00    0.00   56.04
11:51:12     all   29.79    0.00   17.02    6.38    0.00    1.06    0.00    0.00    0.00   45.74
11:51:13     all   16.30    0.00   16.30    0.00    0.00    3.26    0.00    0.00    0.00   64.13
11:51:14     all   21.98    0.00   16.48    0.00    0.00    2.20    0.00    0.00    0.00   59.34
11:51:15     all   26.60    0.00   17.02    0.00    0.00    2.13    0.00    0.00    0.00   54.26
11:51:16     all   21.11    0.00   20.00    0.00    0.00    2.22    0.00    0.00    0.00   56.67
11:51:17     all   20.45    0.00   15.91    4.55    0.00    0.00    0.00    0.00    0.00   59.09
11:51:18     all   21.88    0.00   14.58    0.00    0.00    3.12    0.00    0.00    0.00   60.42
11:51:19     all   40.86    0.00    7.53    0.00    0.00    2.15    0.00    0.00    0.00   49.46
11:51:20     all   25.26    0.00   10.53    0.00    0.00    2.11    0.00    0.00    0.00   62.11
11:51:21     all   20.21    0.00   11.70    0.00    0.00    4.26    0.00    0.00    0.00   63.83
11:51:22     all   23.47    0.00   12.24    4.08    0.00    3.06    0.00    0.00    0.00   57.14
11:51:23     all   19.78    0.00   24.18    0.00    0.00    1.10    0.00    0.00    0.00   54.95
11:51:24     all   21.74    0.00   20.65    0.00    0.00    5.43    0.00    0.00    0.00   52.17
11:51:25     all   16.30    0.00   28.26    0.00    0.00    2.17    0.00    0.00    0.00   53.26
11:51:26     all   19.32    0.00   21.59    0.00    0.00    3.41    0.00    0.00    0.00   55.68
11:51:27     all   21.35    0.00   21.35    0.00    0.00    3.37    0.00    0.00    0.00   53.93
11:51:28     all   23.16    0.00   21.05    4.21    0.00    3.16    0.00    0.00    0.00   48.42
11:51:29     all   23.33    0.00   21.11    0.00    0.00    2.22    0.00    0.00    0.00   53.33
11:51:30     all   14.61    0.00   20.22    0.00    0.00    1.12    0.00    0.00    0.00   64.04
11:51:31     all   15.38    0.00   26.37    0.00    0.00    3.30    0.00    0.00    0.00   54.95
11:51:32     all   23.86    0.00   22.73    0.00    0.00    2.27    0.00    0.00    0.00   51.14
11:51:33     all   62.11    0.00    8.42    0.00    0.00    1.05    0.00    0.00    0.00   28.42
11:51:34     all   12.22    0.00   25.56    8.89    0.00    3.33    0.00    0.00    0.00   50.00
11:51:35     all   18.39    0.00   21.84    0.00    0.00    2.30    0.00    0.00    0.00   57.47
11:51:36     all   23.40    0.00   20.21    0.00    0.00    3.19    0.00    0.00    0.00   53.19
11:51:37     all   18.28    0.00   25.81    0.00    0.00    1.08    0.00    0.00    0.00   54.84
11:51:38     all   21.11    0.00   21.11    0.00    0.00    2.22    0.00    0.00    0.00   55.56
11:51:39     all   20.88    0.00   21.98    0.00    0.00    3.30    0.00    0.00    0.00   53.85
11:51:40     all   15.91    0.00   20.45    2.27    0.00    2.27    0.00    0.00    0.00   59.09
11:51:41     all   12.09    0.00   24.18    1.10    0.00    2.20    0.00    0.00    0.00   60.44
11:51:42     all   27.08    0.00   13.54    0.00    0.00    2.08    0.00    0.00    0.00   57.29
11:51:43     all   12.63    0.00   20.00    0.00    0.00    2.11    0.00    0.00    0.00   65.26
11:51:44     all   17.53    0.00   17.53    0.00    0.00    3.09    0.00    0.00    0.00   61.86
11:51:45     all   21.74    0.00   16.30    5.43    0.00    2.17    0.00    0.00    0.00   54.35
11:51:46     all   22.47    0.00   15.73    0.00    0.00    2.25    0.00    0.00    0.00   59.55
11:51:47     all   14.61    0.00   23.60    0.00    0.00    2.25    0.00    0.00    0.00   59.55
11:51:48     all   17.58    0.00   23.08    0.00    0.00    2.20    0.00    0.00    0.00   57.14
11:51:49     all   18.89    0.00   22.22    0.00    0.00    3.33    0.00    0.00    0.00   55.56
11:51:50     all   24.14    0.00   19.54    3.45    0.00    1.15    0.00    0.00    0.00   51.72
11:51:51     all   20.00    0.00   26.32    0.00    0.00    2.11    0.00    0.00    0.00   51.58
11:51:52     all   14.44    0.00   25.56    0.00    0.00    3.33    0.00    0.00    0.00   56.67
11:51:53     all   22.92    0.00   15.62    0.00    0.00    4.17    0.00    0.00    0.00   57.29
11:51:54     all   18.56    0.00   18.56    0.00    0.00    1.03    0.00    0.00    0.00   61.86
11:51:55     all   22.22    0.00   14.44    0.00    0.00    1.11    0.00    0.00    0.00   62.22
11:51:56     all   27.08    0.00   13.54    5.21    0.00    2.08    0.00    0.00    0.00   52.08
11:51:57     all   22.73    0.00    9.09    0.00    0.00    2.27    0.00    0.00    0.00   65.91
11:51:58     all   19.57    0.00   17.39    0.00    0.00    4.35    0.00    0.00    0.00   58.70
11:51:59     all   36.05    0.00   17.44    0.00    0.00    2.33    0.00    0.00    0.00   44.19
11:52:00     all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:01     all   18.89    0.00   21.11    4.44    0.00    5.56    0.00    0.00    0.00   50.00
11:52:02     all   21.11    0.00   23.33    0.00    0.00    4.44    0.00    0.00    0.00   51.11
11:52:03     all   23.40    0.00   21.28    0.00    0.00    5.32    0.00    0.00    0.00   50.00
11:52:04     all   17.05    0.00   23.86    0.00    0.00    4.55    0.00    0.00    0.00   54.55
11:52:05     all   21.43    0.00   21.43    0.00    0.00    3.57    0.00    0.00    0.00   53.57
11:52:06     all   19.10    0.00   26.97    3.37    0.00    3.37    0.00    0.00    0.00   47.19
11:52:07     all   19.78    0.00   21.98    0.00    0.00    6.59    0.00    0.00    0.00   51.65
11:52:08     all   16.87    0.00   22.89    0.00    0.00    2.41    0.00    0.00    0.00   57.83
11:52:09     all   19.77    0.00   23.26    0.00    0.00    3.49    0.00    0.00    0.00   53.49
11:52:10     all   24.73    0.00   21.51    0.00    0.00    4.30    0.00    0.00    0.00   49.46
11:52:11     all   14.94    0.00   27.59    0.00    0.00    3.45    0.00    0.00    0.00   54.02
11:52:12     all   19.77    0.00   20.93    3.49    0.00    3.49    0.00    0.00    0.00   52.33
11:52:13     all   26.37    0.00   19.78    0.00    0.00    4.40    0.00    0.00    0.00   49.45
11:52:14     all   17.86    0.00   21.43    0.00    0.00    3.57    0.00    0.00    0.00   57.14
11:52:15     all   18.48    0.00   26.09    0.00    0.00    4.35    0.00    0.00    0.00   51.09
11:52:16     all   20.69    0.00   20.69    0.00    0.00    3.45    0.00    0.00    0.00   55.17
11:52:17     all   28.24    0.00   16.47    3.53    0.00    2.35    0.00    0.00    0.00   49.41
11:52:18     all   21.98    0.00   24.18    0.00    0.00    3.30    0.00    0.00    0.00   50.55
11:52:19     all   15.12    0.00   26.74    0.00    0.00    3.49    0.00    0.00    0.00   54.65
11:52:20     all   20.45    0.00   23.86    0.00    0.00    4.55    0.00    0.00    0.00   51.14
11:52:21     all   25.77    0.00   15.46    0.00    0.00    2.06    0.00    0.00    0.00   56.70
11:52:22     all   14.74    0.00   17.89    4.21    0.00    4.21    0.00    0.00    0.00   58.95
11:52:23     all   22.11    0.00   14.74    0.00    0.00    1.05    0.00    0.00    0.00   62.11
