  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
05:58:10      0.06      0.06
05:58:11      0.00      0.00
05:58:12      0.27      0.00
05:58:13      0.06      0.06
05:58:14      0.39      0.00
05:58:15      0.00      0.00
05:58:16      0.00      0.00
05:58:17      0.00      0.04
05:58:18      0.00      0.08
05:58:19      1.93      0.35
05:58:20      1.33      3.09
05:58:21      0.00      0.00
05:58:22      0.00      0.00
05:58:23      0.00      0.00
05:58:24      0.45      0.00
05:58:25      0.00      0.00
05:58:26      0.00      0.00
05:58:27      0.00      0.00
05:58:28      0.33      0.00
05:58:29      2.17      0.47
05:58:30      1.38      3.50
05:58:31      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
05:58:32      0.33      0.00
05:58:33      0.00      0.00
05:58:34      0.06      0.00
05:58:35      0.00      0.00
05:58:36      0.00      0.00
05:58:37      0.00      0.00
05:58:38      0.00      0.00
05:58:39      0.00      0.00
05:58:40      0.00      0.00
05:58:41      0.00      0.00
05:58:42  14672.05    927.72
05:58:43  17812.38   1125.20
05:58:44  17788.04   1124.31
05:58:45  17819.00   1126.48
05:58:46  17821.88   1125.85
05:58:47  16627.88   1050.78
05:58:48  18167.42   1148.09
05:58:49  16917.14   1069.35
05:58:50  17576.30   1110.91
05:58:51  18560.62   1172.63
05:58:52  17210.76   1087.76
05:58:53  17137.62   1083.21
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
05:58:54  16471.69   1040.62
05:58:55  13085.46    828.12
05:58:56  18729.04   1183.20
05:58:57  16950.92   1071.27
05:58:58  17290.27   1092.42
05:58:59  18005.15   1138.17
05:59:00  16996.27   1073.75
05:59:01  18695.70   1181.45
05:59:02  17348.81   1096.41
05:59:03  18019.07   1138.69
05:59:04  17729.22   1120.71
05:59:05  17133.02   1082.27
05:59:06  17463.01   1103.41
05:59:07  16995.67   1074.09
05:59:08   6953.60    440.61
05:59:09  17744.74   1121.00
05:59:10  16164.47   1021.64
05:59:11  17596.35   1111.76
05:59:12  17356.63   1096.98
05:59:13  18300.11   1156.45
05:59:14  18419.32   1163.98
05:59:15  17785.01   1123.98
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
05:59:16  17136.96   1083.09
05:59:17  17145.49   1083.06
05:59:18  18157.40   1147.70
05:59:19  18412.12   1163.32
05:59:20  17206.69   1087.57
05:59:21  16937.32   1070.20
05:59:22  17481.99   1105.34
05:59:23  17895.08   1130.43
05:59:24  16941.78   1070.54
05:59:25  16633.84   1051.22
05:59:26  16524.59   1044.38
05:59:27  16733.02   1057.35
05:59:28  16119.98   1018.90
05:59:29  18367.46   1160.85
05:59:30  17466.80   1103.72
05:59:31  16028.17   1012.74
05:59:32  18423.15   1163.65
05:59:33  19172.65   1212.10
05:59:34   6184.80    391.15
05:59:35  13413.52    848.71
05:59:36  19490.38   1231.22
05:59:37  19970.38   1262.29
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
05:59:38  18750.60   1185.07
05:59:39  19420.45   1227.09
05:59:40  18270.77   1154.46
05:59:41  16738.32   1057.69
05:59:42  16980.54   1073.35
05:59:43  16779.08   1060.24
05:59:44  17852.46   1128.02
05:59:45  18938.31   1196.71
05:59:46  16932.30   1070.09
05:59:47  17517.57   1107.08
05:59:48  16728.09   1057.04
05:59:49  16957.22   1071.74
05:59:50  16681.47   1054.02
05:59:51  18540.15   1171.70
05:59:52  18377.87   1161.22
05:59:53  19493.16   1232.14
05:59:54  19694.50   1244.33
05:59:55  19029.36   1202.89
05:59:56  19098.18   1206.31
05:59:57  18835.82   1190.43
05:59:58  17751.08   1122.05
05:59:59  18236.59   1152.22
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:00:00  17818.25   1125.78
06:00:01  19260.22   1217.47
06:00:02  18352.66   1159.63
06:00:03  16246.31   1026.52
06:00:04  16379.30   1035.50
06:00:05  17747.35   1121.45
06:00:06  16279.84   1028.50
06:00:07  16180.95   1022.39
06:00:08  17211.54   1087.81
06:00:09  17024.87   1076.23
06:00:10  17315.51   1093.87
06:00:11  16298.96   1030.07
06:00:12  16587.61   1048.36
06:00:13  16688.93   1054.64
06:00:14  17488.76   1105.33
06:00:15  16459.05   1039.58
06:00:16  16715.29   1056.59
06:00:17  18093.39   1143.46
06:00:18  16905.25   1068.24
06:00:19  17153.88   1084.14
06:00:20  15929.92   1006.46
06:00:21  15935.17   1007.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:00:22  16935.69   1070.09
06:00:23  16263.62   1028.12
06:00:24  18976.32   1199.26
06:00:25  17608.95   1112.49
06:00:26   4014.96    254.04
06:00:27      6.85      0.82
06:00:28  14582.16    922.24
06:00:29  17772.86   1123.21
06:00:30  18298.14   1156.16
06:00:31  18520.35   1170.16
06:00:32  17785.93   1124.11
06:00:33  19401.09   1225.86
06:00:34  18856.01   1191.58
06:00:35  19804.39   1251.87
06:00:36  18829.14   1189.38
06:00:37  19220.68   1214.97
06:00:38  19019.02   1201.67
06:00:39  18213.00   1151.24
06:00:40  19238.68   1215.77
06:00:41  18759.59   1185.20
06:00:42  17957.07   1135.14
06:00:43  18580.62   1173.89
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:00:44  17285.48   1092.12
06:00:45  17184.90   1085.91
06:00:46  19702.20   1245.27
06:00:47  18783.56   1187.15
06:00:48  18680.32   1180.60
06:00:49  19074.00   1205.14
06:00:50  16607.99   1049.81
06:00:51  18940.61   1196.76
06:00:52  18329.07   1157.92
06:00:53  16928.99   1069.95
06:00:54  18055.06   1141.04
06:00:55  18793.53   1187.33
06:00:56  16817.55   1063.26
06:00:57  16257.52   1027.23
06:00:58  17261.77   1090.98
06:00:59  16361.00   1033.99
06:01:00  16278.33   1028.62
06:01:01  17502.19   1105.74
06:01:02  15617.38    987.21
06:01:03  15817.62    999.36
06:01:04  17697.49   1118.52
06:01:05  16252.85   1026.72
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:01:06  17415.65   1100.61
06:01:07  18419.84   1164.16
06:01:08  17794.10   1124.41
06:01:09  13629.09    861.18
06:01:10   6474.35    409.07
06:01:11   2757.02    174.66
06:01:12   2707.92    171.20
06:01:13   2727.68    171.92
06:01:14   7713.55    487.45
06:01:15  10969.61    693.36
06:01:16  12813.50    809.59
06:01:17  12286.41    776.43
06:01:18  15872.50   1003.04
06:01:19  15169.48    958.69
06:01:20  14766.97    933.11
06:01:21  13399.59    846.63
06:01:22  13880.33    877.37
06:01:23  14828.19    937.12
06:01:24  12766.83    807.05
06:01:25  14692.15    928.24
06:01:26  14179.60    895.84
06:01:27  13888.82    877.96
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:01:28  14356.60    907.12
06:01:29  14245.39    900.58
06:01:30  12868.19    813.15
06:01:31  13904.30    878.71
06:01:32  13167.00    831.57
06:01:33  13568.56    857.59
06:01:34   8999.79    569.02
06:01:35   2645.18    166.94
06:01:36   2277.34    144.26
06:01:37   2349.05    148.37
06:01:38   2263.58    142.76
06:01:39   2200.55    139.06
06:01:40   2220.15    140.59
06:01:41   2286.17    144.54
06:01:42   2291.04    144.69
06:01:43   2282.73    144.25
06:01:44   2205.19    139.43
06:01:45   2720.99    171.50
06:01:46   2181.04    138.19
06:01:47   2253.12    142.46
06:01:48   7901.08    498.87
06:01:49   7742.40    489.68
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:01:50   7549.75    476.66
06:01:51   6011.18    379.87
06:01:52   7845.44    495.71
06:01:53  10149.63    641.96
06:01:54  16471.82   1040.92
