Linux 4.4.0-142-generic (vm) 	2025-02-25 	_x86_64_	(1 CPU)

06:34:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:34:18     all   51.49    0.00   16.83    0.00    0.00    0.00    0.00    0.00    0.00   31.68
06:34:19     all   13.13    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   84.85
06:34:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:22     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
06:34:23     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:24     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:34:25     all    1.00    0.00    1.00    6.00    0.00    0.00    0.00    0.00    0.00   92.00
06:34:26     all    9.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   88.00
06:34:27     all    0.00   14.43    2.06    0.00    0.00    0.00    0.00    0.00    0.00   83.51
06:34:28     all    5.88   89.22    3.92    0.98    0.00    0.00    0.00    0.00    0.00    0.00
06:34:29     all   16.33   70.41   12.24    1.02    0.00    0.00    0.00    0.00    0.00    0.00
06:34:30     all    2.97    0.00    8.91    8.91    0.00    0.00    0.00    0.00    0.00   79.21
06:34:31     all   13.00    0.00    3.00    3.00    0.00    0.00    0.00    0.00    0.00   81.00
06:34:32     all   17.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
06:34:33     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:36     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
06:34:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:38     all   12.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
06:34:39     all   32.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00   57.00
06:34:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:41     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
06:34:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:43     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:46     all    0.99    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00   93.07
06:34:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:49     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:50     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
06:34:51     all   10.64    0.00   23.40    0.00    0.00    4.26    0.00    0.00    0.00   61.70
06:34:52     all   12.90    0.00   23.66    4.30    0.00    6.45    0.00    0.00    0.00   52.69
06:34:53     all   15.00    0.00   27.00    0.00    0.00    4.00    0.00    0.00    0.00   54.00
06:34:54     all   21.28    0.00   19.15    0.00    0.00    6.38    0.00    0.00    0.00   53.19
06:34:55     all   24.74    0.00   18.56    0.00    0.00    3.09    0.00    0.00    0.00   53.61
06:34:56     all   18.48    0.00   14.13    0.00    0.00    4.35    0.00    0.00    0.00   63.04
06:34:57     all   35.23    0.00   12.50    4.55    0.00    1.14    0.00    0.00    0.00   46.59
06:34:58     all   19.15    0.00   22.34    0.00    0.00    4.26    0.00    0.00    0.00   54.26
06:34:59     all   16.85    0.00   19.10    0.00    0.00    3.37    0.00    0.00    0.00   60.67
06:35:00     all   28.57    0.00   16.48    0.00    0.00    4.40    0.00    0.00    0.00   50.55
06:35:01     all   27.37    0.00   18.95    0.00    0.00    3.16    0.00    0.00    0.00   50.53
06:35:02     all   19.78    0.00   17.58    4.40    0.00    4.40    0.00    0.00    0.00   53.85
06:35:03     all   23.16    0.00   15.79    0.00    0.00    2.11    0.00    0.00    0.00   58.95
06:35:04     all   47.37    0.00   10.53    0.00    0.00    0.00    0.00    0.00    0.00   42.11
06:35:05     all   20.88    0.00   16.48    0.00    0.00    2.20    0.00    0.00    0.00   60.44
06:35:06     all   21.28    0.00   14.89    0.00    0.00    3.19    0.00    0.00    0.00   60.64
06:35:07     all   20.69    0.00   12.64    0.00    0.00    2.30    0.00    0.00    0.00   64.37
06:35:08     all   21.28    0.00   13.83    4.26    0.00    3.19    0.00    0.00    0.00   57.45
06:35:09     all   20.83    0.00   14.58    0.00    0.00    2.08    0.00    0.00    0.00   62.50
06:35:10     all   15.05    0.00   17.20    0.00    0.00    3.23    0.00    0.00    0.00   64.52
06:35:11     all   24.21    0.00   15.79    0.00    0.00    3.16    0.00    0.00    0.00   56.84
06:35:12     all   28.72    0.00   11.70    0.00    0.00    4.26    0.00    0.00    0.00   55.32
06:35:13     all   31.63    0.00   14.29    6.12    0.00    1.02    0.00    0.00    0.00   46.94
06:35:14     all   25.81    0.00   13.98    0.00    0.00    1.08    0.00    0.00    0.00   59.14
06:35:15     all   30.11    0.00   25.81    0.00    0.00    3.23    0.00    0.00    0.00   40.86
06:35:16     all   27.84    0.00   24.74    0.00    0.00    6.19    0.00    0.00    0.00   41.24
06:35:17     all   63.64    0.00    9.09    0.00    0.00    5.05    0.00    0.00    0.00   22.22
06:35:18     all   23.16    0.00   13.68    4.21    0.00    2.11    0.00    0.00    0.00   56.84
06:35:19     all   17.89    0.00   17.89    6.32    0.00    4.21    0.00    0.00    0.00   53.68
06:35:20     all   17.53    0.00   20.62    0.00    0.00    2.06    0.00    0.00    0.00   59.79
06:35:21     all   25.00    0.00   13.04    0.00    0.00    3.26    0.00    0.00    0.00   58.70
