Linux 4.4.0-142-generic (vm) 	2024-08-15 	_x86_64_	(1 CPU)

15:37:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:37:52     all   54.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   21.00
15:37:53     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:37:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:37:55     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:37:56     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
15:37:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:37:58     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
15:37:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:38:00     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:38:01     all    5.05    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   88.89
15:38:02     all    6.00    0.00    8.00   74.00    0.00    0.00    0.00    0.00    0.00   12.00
15:38:03     all   16.16    0.00    9.09    1.01    0.00    0.00    0.00    0.00    0.00   73.74
15:38:04     all    8.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
15:38:05     all    1.02   65.31    3.06    0.00    0.00    0.00    0.00    0.00    0.00   30.61
15:38:06     all    8.91   69.31   12.87    8.91    0.00    0.00    0.00    0.00    0.00    0.00
15:38:07     all    1.02   89.80    5.10    4.08    0.00    0.00    0.00    0.00    0.00    0.00
15:38:08     all   19.00   77.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:38:09     all    1.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:38:10     all    0.00   82.18    5.94   11.88    0.00    0.00    0.00    0.00    0.00    0.00
15:38:11     all   39.39   29.29   11.11    9.09    0.00    0.00    0.00    0.00    0.00   11.11
15:38:12     all   25.25    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   67.68
15:38:13     all   29.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   58.00
15:38:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:38:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:38:16     all    0.00    0.00    0.99    5.94    0.00    0.00    0.00    0.00    0.00   93.07
15:38:17     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:38:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:38:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:38:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:38:21     all    0.00    0.00    0.00   15.84    0.00    0.00    0.00    0.00    0.00   84.16
15:38:22     all    0.00    0.00    0.00   61.62    0.00    0.00    0.00    0.00    0.00   38.38
15:38:23     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
15:38:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:38:25     all   16.33    0.00   22.45    0.00    0.00    8.16    0.00    0.00    0.00   53.06
15:38:26     all   13.68    0.00   30.53    0.00    0.00    7.37    0.00    0.00    0.00   48.42
15:38:27     all   16.50    0.00   33.01    1.94    0.00    6.80    0.00    0.00    0.00   41.75
15:38:28     all   18.00    0.00   31.00    0.00    0.00    6.00    0.00    0.00    0.00   45.00
15:38:29     all   21.28    0.00   27.66    0.00    0.00    7.45    0.00    0.00    0.00   43.62
15:38:30     all   32.65    0.00   25.51    0.00    0.00    6.12    0.00    0.00    0.00   35.71
15:38:31     all   17.17    0.00   30.30    0.00    0.00    6.06    0.00    0.00    0.00   46.46
15:38:32     all   23.08    0.00   26.37    2.20    0.00    6.59    0.00    0.00    0.00   41.76
15:38:33     all   22.12    0.00   28.85    0.00    0.00    7.69    0.00    0.00    0.00   41.35
15:38:34     all   19.61    0.00   31.37    0.00    0.00    7.84    0.00    0.00    0.00   41.18
15:38:35     all   25.49    0.00   26.47    0.00    0.00    9.80    0.00    0.00    0.00   38.24
15:38:36     all   29.00    0.00   24.00    0.00    0.00    7.00    0.00    0.00    0.00   40.00
15:38:37     all   36.36    0.00   19.19    3.03    0.00    6.06    0.00    0.00    0.00   35.35
15:38:38     all   22.22    0.00   26.26    0.00    0.00    9.09    0.00    0.00    0.00   42.42
15:38:39     all   20.83    0.00   23.96    0.00    0.00    7.29    0.00    0.00    0.00   47.92
15:38:40     all   16.84    0.00   27.37    0.00    0.00    6.32    0.00    0.00    0.00   49.47
15:38:41     all   18.75    0.00   26.04    0.00    0.00    6.25    0.00    0.00    0.00   48.96
15:38:42     all   19.79    0.00   25.00    0.00    0.00    6.25    0.00    0.00    0.00   48.96
15:38:43     all   18.63    0.00   28.43    1.96    0.00    5.88    0.00    0.00    0.00   45.10
15:38:44     all   12.12    0.00   29.29    0.00    0.00    9.09    0.00    0.00    0.00   49.49
15:38:45     all   18.75    0.00   29.17    0.00    0.00    4.17    0.00    0.00    0.00   47.92
15:38:46     all   22.55    0.00   29.41    0.00    0.00    4.90    0.00    0.00    0.00   43.14
15:38:47     all   19.59    0.00   27.84    0.00    0.00    5.15    0.00    0.00    0.00   47.42
15:38:48     all   15.84    0.00   27.72    3.96    0.00    8.91    0.00    0.00    0.00   43.56
15:38:49     all   19.15    0.00   26.60    0.00    0.00    6.38    0.00    0.00    0.00   47.87
15:38:50     all   17.98    0.00   29.21    0.00    0.00    4.49    0.00    0.00    0.00   48.31
15:38:51     all   42.86    0.00   22.45    0.00    0.00    2.04    0.00    0.00    0.00   32.65
15:38:52     all   61.62    0.00   12.12    0.00    0.00    3.03    0.00    0.00    0.00   23.23
15:38:53     all   13.64    0.00   27.27    3.41    0.00    4.55    0.00    0.00    0.00   51.14
15:38:54     all   15.91    0.00   23.86    0.00    0.00    3.41    0.00    0.00    0.00   56.82
15:38:55     all   18.18    0.00   21.59    0.00    0.00    5.68    0.00    0.00    0.00   54.55
15:38:56     all   18.60    0.00   23.26    0.00    0.00    5.81    0.00    0.00    0.00   52.33
15:38:57     all   12.79    0.00   23.26    0.00    0.00    4.65    0.00    0.00    0.00   59.30
15:38:58     all   19.51    0.00   19.51    0.00    0.00    4.88    0.00    0.00    0.00   56.10
15:38:59     all   15.56    0.00   23.33   14.44    0.00    5.56    0.00    0.00    0.00   41.11
15:39:00     all   23.40    0.00   26.60    0.00    0.00    5.32    0.00    0.00    0.00   44.68
15:39:01     all   25.53    0.00   27.66    0.00    0.00    3.19    0.00    0.00    0.00   43.62
15:39:02     all   24.74    0.00   21.65    1.03    0.00    7.22    0.00    0.00    0.00   45.36
15:39:03     all   27.88    0.00   29.81    0.00    0.00    7.69    0.00    0.00    0.00   34.62
15:39:04     all   27.84    0.00   28.87   21.65    0.00   10.31    0.00    0.00    0.00   11.34
15:39:05     all   23.76    0.00   28.71   39.60    0.00    7.92    0.00    0.00    0.00    0.00
15:39:06     all   29.52    0.00   23.81   41.90    0.00    4.76    0.00    0.00    0.00    0.00
15:39:07     all   30.53    0.00   22.11   42.11    0.00    5.26    0.00    0.00    0.00    0.00
