  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:39:33      0.06      0.00
19:39:34      0.00      0.00
19:39:35      0.00      0.00
19:39:36      0.06      0.06
19:39:37      0.00      0.00
19:39:38      0.00      0.00
19:39:39      0.39      0.00
19:39:40      0.12      0.04
19:39:41      0.12      0.00
19:39:42      0.63      0.26
19:39:43      3.02      3.14
19:39:44      0.00      0.00
19:39:45      0.00      0.00
19:39:46      0.39      0.00
19:39:47      0.00      0.00
19:39:48      0.00      0.00
19:39:49      0.06      0.00
19:39:50      0.06      0.00
19:39:51      0.06      0.00
19:39:52      2.11      0.47
19:39:53      1.38      3.50
19:39:54      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:39:55      0.00      0.00
19:39:56      0.06      0.00
19:39:57      0.33      0.00
19:39:58      0.06      0.00
19:39:59      0.27      0.00
19:40:00      0.33      0.00
19:40:01      0.00      0.00
19:40:02      0.00      0.00
19:40:03      0.06      0.00
19:40:04      0.33      0.00
19:40:05  11781.18    745.27
19:40:06  14884.47    940.17
19:40:07  14795.42    934.91
19:40:08  14145.03    893.95
19:40:09  18168.45   1148.13
19:40:10  17078.28   1079.53
19:40:11  16637.54   1051.46
19:40:12  16864.31   1065.67
19:40:13  18359.97   1160.31
19:40:14  17865.54   1129.06
19:40:15  17992.03   1137.11
19:40:16  15731.00    994.08
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:40:17  18736.12   1183.79
19:40:18  12858.34    813.44
19:40:19  18335.02   1158.95
19:40:20  18243.97   1152.62
19:40:21  18605.63   1175.62
19:40:22  16387.97   1035.81
19:40:23  17374.52   1097.96
19:40:24  17657.55   1115.85
19:40:25  16952.02   1071.05
19:40:26  17576.81   1111.18
19:40:27  17755.23   1121.59
19:40:28  17128.47   1082.77
19:40:29  18879.60   1192.78
19:40:30  17056.74   1078.24
19:40:31  11358.95    717.78
19:40:32  14815.06    937.16
19:40:33  17860.47   1128.29
19:40:34  16574.18   1047.60
19:40:35  17357.53   1096.53
19:40:36  18060.71   1141.52
19:40:37  16503.69   1042.71
19:40:38  17343.98   1096.10
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:40:39  16964.41   1072.12
19:40:40  16488.63   1041.88
19:40:41  17447.45   1102.93
19:40:42  16491.76   1041.96
19:40:43  18970.29   1198.87
19:40:44  16993.53   1073.90
19:40:45  15806.70    998.74
19:40:46  16666.57   1053.54
19:40:47  17172.53   1085.05
19:40:48  17291.19   1092.70
19:40:49  15341.44    969.55
19:40:50  16244.19   1026.31
19:40:51  17425.10   1101.57
19:40:52  17095.99   1080.43
19:40:53  15893.89   1004.18
19:40:54  17141.55   1083.44
19:40:55  16138.38   1019.34
19:40:56  15557.07    983.54
19:40:57  16906.27   1068.23
19:40:58  12645.13    799.27
19:40:59   2938.29    187.97
19:41:00  17329.41   1095.33
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:41:01  16614.66   1050.09
19:41:02  16936.68   1070.15
19:41:03  18173.69   1148.39
19:41:04  16869.55   1066.12
19:41:05  18307.07   1156.59
19:41:06  17461.63   1103.68
19:41:07  17237.46   1089.30
19:41:08  15410.96    973.95
19:41:09  16167.87   1021.91
19:41:10  16728.86   1056.80
19:41:11  15941.23   1007.53
19:41:12  15847.58   1001.47
19:41:13  16824.48   1063.25
19:41:14  17593.75   1111.82
19:41:15  17453.55   1103.03
19:41:16  17673.46   1116.71
19:41:17  17107.26   1081.12
19:41:18  18286.05   1155.20
19:41:19  17490.05   1105.70
19:41:20  16464.22   1040.37
19:41:21  16571.14   1046.91
19:41:22  16959.70   1071.82
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:41:23  16488.28   1041.89
19:41:24  16106.77   1017.92
19:41:25  16632.92   1051.24
19:41:26  16447.54   1039.09
19:41:27  16494.07   1042.30
19:41:28  16470.12   1041.17
19:41:29  16500.00   1042.69
19:41:30  16424.21   1037.98
19:41:31  17887.99   1130.39
19:41:32  15892.17   1003.92
19:41:33  16822.01   1063.47
19:41:34  16998.56   1074.13
19:41:35  17167.41   1084.49
19:41:36  16958.68   1071.90
19:41:37  17547.15   1108.73
19:41:38  15717.80    993.27
19:41:39  16134.27   1019.73
19:41:40  16174.24   1022.25
19:41:41  18104.58   1144.16
19:41:42  15548.69    982.51
19:41:43  15282.86    965.71
19:41:44  16700.67   1055.45
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:41:45  16806.26   1062.03
19:41:46  15965.01   1008.82
19:41:47  15066.05    951.93
19:41:48  16534.98   1044.98
19:41:49  14896.52    941.49
19:41:50  15006.07    948.28
19:41:51  12864.69    813.42
19:41:52  16070.80   1015.43
19:41:53   9184.32    580.96
19:41:54   7070.26    447.12
19:41:55      6.85      0.75
19:41:56   6473.82    409.55
19:41:57  14052.23    888.37
19:41:58  13221.36    835.29
19:41:59  14033.00    886.58
19:42:00  10663.65    674.42
19:42:01  15158.82    958.02
19:42:02  15331.13    969.05
19:42:03  16976.56   1072.79
19:42:04  16227.71   1025.35
19:42:05  15563.08    983.20
19:42:06  15707.88    992.35
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:42:07  16600.84   1049.70
19:42:08  15122.31    955.42
19:42:09  15146.63    957.32
19:42:10  15530.62    981.15
19:42:11  15985.02   1010.57
19:42:12  14820.65    936.21
19:42:13  15008.21    948.42
19:42:14  16932.47   1070.10
19:42:15  16210.70   1024.27
19:42:16  14553.29    919.97
19:42:17  15618.24    986.83
19:42:18  16736.01   1057.61
19:42:19  17597.31   1112.11
19:42:20  15664.27    989.74
19:42:21  15203.17    960.87
19:42:22  15897.44   1004.55
19:42:23  14691.93    928.37
19:42:24  15426.37    974.85
19:42:25  14408.67    910.52
19:42:26  12970.78    819.60
19:42:27  12409.17    784.40
19:42:28  14283.13    902.46
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:42:29  11633.14    735.33
19:42:30   9286.53    586.84
19:42:31  11377.30    719.12
19:42:32  10359.44    654.36
19:42:33   9379.43    592.65
19:42:34   9488.68    599.92
19:42:35   9384.61    592.83
19:42:36  12232.51    772.88
19:42:37  12972.02    819.90
19:42:38  12881.20    813.94
19:42:39  13141.00    830.41
19:42:40  11119.18    702.66
19:42:41  10486.06    662.72
19:42:42  11721.77    740.96
19:42:43  11225.26    709.05
19:42:44  12532.96    792.44
19:42:45  12660.16    799.61
19:42:46  12698.38    802.60
19:42:47  12605.88    796.59
19:42:48  14043.38    887.31
19:42:49  10567.12    667.99
19:42:50  10562.99    667.22
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:42:51   9350.65    591.35
19:42:52  10053.22    635.37
19:42:53   9739.94    615.29
19:42:54   9766.60    617.54
19:42:55   9157.38    578.62
19:42:56   8268.09    522.95
19:42:57   7278.88    460.18
19:42:58   7351.97    464.81
19:42:59   8221.17    519.09
19:43:00   7817.24    494.00
19:43:01   9394.45    593.87
19:43:02   8567.08    541.17
19:43:03   7917.22    500.46
19:43:04   9260.81    585.08
19:43:05   8623.15    544.91
19:43:06   7689.27    486.34
19:43:07  13504.83    853.85
19:43:08  13839.10    874.83
19:43:09  13297.73    839.90
19:43:10  13141.38    830.45
19:43:11  13059.42    825.78
19:43:12  13218.55    834.82
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:43:13  12403.82    783.84
19:43:14  13359.93    844.27
19:43:15  12840.09    811.46
19:43:16  13868.83    876.79
19:43:17  13189.14    833.33
19:43:18  12638.50    798.49
19:43:19  12802.09    808.87
19:43:20  11359.05    718.33
19:43:21  11765.70    743.01
19:43:22  11606.46    733.51
19:43:23  11454.70    723.87
19:43:24  14127.69    893.14
19:43:25  12663.77    800.20
19:43:26  13304.03    840.37
19:43:27  13562.21    857.48
19:43:28  11231.17    709.30
19:43:29  12130.38    766.62
19:43:30  12714.87    803.57
19:43:31  12103.12    764.84
19:43:32  11581.97    731.84
19:43:33  12822.96    810.31
19:43:34  13198.87    834.09
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:43:35  12942.17    818.23
19:43:36  13194.90    833.45
19:43:37  14140.85    893.69
19:43:38  12585.95    795.72
19:43:39  12246.31    773.31
19:43:40  12953.13    818.75
19:43:41  12176.99    769.36
19:43:42  12125.22    766.46
19:43:43  11901.06    752.29
19:43:44  11803.55    745.69
19:43:45  11446.21    723.93
19:43:46  10619.05    670.91
19:43:47   9884.69    624.89
19:43:48   9979.91    631.08
19:43:49  10187.82    643.44
19:43:50  11290.80    713.79
19:43:51  11179.58    706.53
19:43:52  10580.31    668.68
19:43:53  11441.07    722.67
19:43:54  11113.14    702.48
19:43:55  11590.22    732.94
19:43:56  11889.14    751.56
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:43:57  11909.92    752.35
19:43:58  11635.24    735.32
19:43:59  12040.59    760.82
19:44:00  10608.17    670.30
19:44:01  11936.68    754.47
