  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:40:51      0.12      0.06
13:40:52      0.00      0.00
13:40:53      0.00      0.00
13:40:54      0.06      0.06
13:40:55      0.33      0.00
13:40:56      0.00      0.00
13:40:57      0.14      0.04
13:40:58      0.00      0.08
13:40:59      0.33      0.00
13:41:00      0.24      0.26
13:41:01      3.02      3.27
13:41:02      0.08      0.17
13:41:03      0.33      0.00
13:41:04      0.00      0.00
13:41:05      0.06      0.00
13:41:06      0.00      0.00
13:41:07      0.06      0.00
13:41:08      0.06      0.00
13:41:09      0.00      0.00
13:41:10      2.11      0.39
13:41:11      1.38      3.50
13:41:12      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:41:13      0.33      0.00
13:41:14      0.00      0.00
13:41:15      0.00      0.00
13:41:16      0.00      0.00
13:41:17      0.33      0.00
13:41:18      0.00      0.00
13:41:19      0.06      0.00
13:41:20      0.00      0.00
13:41:21      0.39      0.00
13:41:22      0.00      0.00
13:41:23  12802.74    809.83
13:41:24  16446.46   1038.88
13:41:25  16460.00   1040.24
13:41:26  16393.60   1036.34
13:41:27  15756.05    995.68
13:41:28  16473.14   1040.78
13:41:29  14892.43    941.25
13:41:30  14116.41    892.46
13:41:31  15803.97    998.26
13:41:32  17450.79   1102.78
13:41:33  18714.63   1182.72
13:41:34  17481.52   1104.65
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:41:35  16867.22   1065.96
13:41:36  14925.20    943.25
13:41:37  13792.95    872.40
13:41:38  17024.70   1076.21
13:41:39  15592.44    985.18
13:41:40  16902.28   1068.26
13:41:41  17780.63   1123.55
13:41:42  17246.10   1089.41
13:41:43  16887.08   1067.23
13:41:44  17238.01   1089.34
13:41:45  18463.13   1167.04
13:41:46  18455.06   1165.89
13:41:47  16633.84   1051.16
13:41:48  16135.47   1019.81
13:41:49  16440.64   1038.77
13:41:50   7615.95    482.51
13:41:51  17746.20   1121.74
13:41:52  17322.82   1094.76
13:41:53  16061.01   1014.79
13:41:54  17948.75   1134.18
13:41:55  17254.87   1090.19
13:41:56  16767.70   1059.90
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:41:57  16770.72   1059.56
13:41:58  16654.06   1052.43
13:41:59  16682.27   1054.65
13:42:00  14624.60    923.68
13:42:01  15566.07    983.68
13:42:02  16428.72   1038.71
13:42:03  15987.64   1010.18
13:42:04  14668.63    927.22
13:42:05  16910.54   1068.64
13:42:06  15636.98    987.80
13:42:07  15643.43    988.47
13:42:08  15633.36    987.93
13:42:09  15114.22    955.12
13:42:10  15753.51    995.60
13:42:11  15679.31    990.89
13:42:12  15193.24    960.19
13:42:13  16060.66   1015.22
13:42:14  15876.99   1002.82
13:42:15  15621.35    987.51
13:42:16  15953.77   1007.82
13:42:17  16630.04   1050.92
13:42:18  11304.39    714.83
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:42:19   4829.03    306.67
13:42:20  16616.33   1050.05
13:42:21  15502.48    979.59
13:42:22  15825.68    999.94
13:42:23  14832.24    937.23
13:42:24  15580.08    984.62
13:42:25  15491.16    979.14
13:42:26  15633.45    987.94
13:42:27  15182.02    959.48
13:42:28  14891.35    940.53
13:42:29  15516.37    981.02
13:42:30  15346.40    969.58
13:42:31  14996.02    947.73
13:42:32  15137.86    956.26
13:42:33  15027.06    949.89
13:42:34  17344.57   1095.78
13:42:35  16951.19   1071.21
13:42:36  16008.83   1011.87
13:42:37  15371.87    971.19
13:42:38  15342.26    969.68
13:42:39  17408.91   1100.42
13:42:40  17753.38   1121.98
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:42:41  18057.08   1140.73
13:42:42  16848.64   1065.02
13:42:43  17669.07   1116.62
13:42:44  17095.01   1080.38
13:42:45  16506.88   1042.70
13:42:46  15933.62   1007.20
13:42:47  16549.44   1045.73
13:42:48  15809.63    999.29
13:42:49  15530.42    980.99
13:42:50  17757.64   1122.38
13:42:51  15639.74    988.53
13:42:52  17821.81   1126.01
13:42:53  18007.51   1138.25
13:42:54  16272.04   1027.93
13:42:55  15775.68    996.85
13:42:56  17000.06   1074.23
13:42:57  18201.45   1150.00
13:42:58  17695.20   1118.95
13:42:59  17592.55   1111.38
13:43:00  16796.25   1061.42
13:43:01  17581.01   1111.28
13:43:02  18765.90   1185.82
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:43:03  17364.18   1097.24
13:43:04  17584.01   1111.06
13:43:05  15183.49    959.63
13:43:06  16268.27   1028.27
13:43:07  16819.74   1062.54
13:43:08  16367.61   1034.26
13:43:09  15835.98   1000.86
13:43:10  16361.37   1034.15
13:43:11  15078.44    952.72
13:43:12  15928.38   1006.50
13:43:13  15651.95    988.96
13:43:14   8338.07    527.31
13:43:15     20.57      2.14
13:43:16   5583.19    354.37
13:43:17  17691.41   1118.21
13:43:18  17156.92   1084.07
13:43:19  16181.29   1022.61
13:43:20  16160.19   1020.93
13:43:21  15601.29    986.34
13:43:22  16258.07   1027.41
13:43:23  17197.06   1086.72
13:43:24  16969.62   1072.23
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
13:43:25  17307.71   1093.67
13:43:26  17513.12   1106.50
13:43:27  16650.66   1052.63
13:43:28  16496.08   1042.01
13:43:29  16064.43   1015.39
13:43:30  16670.00   1053.51
13:43:31  16525.23   1044.00
13:43:32  16679.22   1054.10
13:43:33  16464.40   1040.38
13:43:34  16200.93   1023.87
13:43:35  15385.82    972.22
13:43:36  16642.65   1051.79
13:43:37  16492.37   1042.62
