  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:16:36      0.40      0.06
21:16:37      0.00      0.00
21:16:38      0.00      0.00
21:16:39      0.06      0.06
21:16:40      0.33      0.00
21:16:41      0.00      0.00
21:16:42      0.00      0.00
21:16:43      0.06      0.04
21:16:44      0.06      0.08
21:16:45      0.24      0.18
21:16:46      3.08      3.27
21:16:47      0.00      0.00
21:16:48      0.00      0.00
21:16:49      0.06      0.00
21:16:50      0.33      0.00
21:16:51      0.00      0.00
21:16:52      0.00      0.00
21:16:53      0.00      0.00
21:16:54      0.33      0.00
21:16:55      2.11      0.41
21:16:56      1.44      3.57
21:16:57      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:16:58      0.33      0.00
21:16:59      0.06      0.00
21:17:00      0.14      0.00
21:17:01      0.00      0.00
21:17:02      0.00      0.00
21:17:03      0.00      0.00
21:17:04      0.06      0.00
21:17:05      0.00      0.00
21:17:06      0.00      0.00
21:17:07      0.00      0.00
21:17:08  14013.80    885.90
21:17:09  18176.50   1148.86
21:17:10  17846.90   1127.53
21:17:11  16729.05   1057.53
21:17:12  17394.47   1098.99
21:17:13  17708.45   1119.35
21:17:14  14955.98    945.22
21:17:15  17789.68   1124.13
21:17:16  16087.27   1016.59
21:17:17  17948.58   1134.24
21:17:18  16607.27   1049.84
21:17:19  16719.91   1056.60
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:17:20  17312.49   1093.61
21:17:21  12591.82    796.57
21:17:22  15634.06    988.34
21:17:23  17231.79   1089.02
21:17:24  17678.06   1116.71
21:17:25  16950.82   1071.48
21:17:26  17961.36   1134.81
21:17:27  17447.25   1102.41
21:17:28  16851.38   1065.19
21:17:29  16817.29   1062.96
21:17:30  17748.10   1121.48
21:17:31  16159.57   1020.82
21:17:32  17283.87   1092.60
21:17:33  16935.04   1070.19
21:17:34  12590.83    795.68
21:17:35  13133.61    830.48
21:17:36  16133.30   1019.67
21:17:37  17670.50   1116.38
21:17:38  16883.67   1066.94
21:17:39  18461.08   1166.99
21:17:40  18186.58   1149.28
21:17:41  18414.11   1163.23
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:17:42  17150.29   1083.79
21:17:43  17805.97   1125.66
21:17:44  18291.00   1155.64
21:17:45  17386.92   1098.94
21:17:46  18391.01   1161.76
21:17:47  17618.49   1113.46
21:17:48  18437.87   1165.24
21:17:49  16864.47   1065.73
21:17:50  17731.19   1121.00
21:17:51  17960.19   1134.90
21:17:52  17455.61   1102.78
21:17:53  17657.98   1116.02
21:17:54  17465.04   1103.76
21:17:55  18549.92   1171.88
21:17:56  17575.19   1110.93
21:17:57  18319.91   1157.63
21:17:58  17593.68   1112.03
21:17:59  17647.72   1114.92
21:18:00  10363.40    655.22
21:18:01   6117.62    387.34
21:18:02  18921.79   1195.79
21:18:03  17912.55   1131.67
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:18:04  17497.48   1105.66
21:18:05  17114.17   1081.51
21:18:06  17898.04   1131.31
21:18:07  17312.07   1094.09
21:18:08  17590.62   1111.47
21:18:09  18279.77   1154.95
21:18:10  19173.30   1211.69
21:18:11  17638.74   1114.80
21:18:12  17948.26   1134.29
21:18:13  17788.73   1124.14
21:18:14  17669.19   1116.65
21:18:15  17304.75   1093.48
21:18:16  17105.15   1080.94
21:18:17  16663.61   1052.60
21:18:18  16722.20   1057.03
21:18:19  16458.04   1039.83
21:18:20  17989.31   1137.22
21:18:21  18122.80   1144.82
21:18:22  18097.40   1144.08
21:18:23  18256.04   1153.53
21:18:24  17190.84   1086.26
21:18:25  18138.14   1146.07
  Time           eth0       
