Linux 4.4.0-142-generic (vm) 	2024-08-18 	_x86_64_	(1 CPU)

16:11:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:11:12     all   57.00    0.00   22.00    0.00    0.00    0.00    0.00    0.00    0.00   21.00
16:11:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:15     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:11:16     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
16:11:17     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:11:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:19     all    1.00    0.00    1.00    7.00    0.00    0.00    0.00    0.00    0.00   91.00
16:11:20     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:11:21     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:11:22     all   11.11    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   82.83
16:11:23     all   16.16   70.71   13.13    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:11:24     all    8.08   52.53   11.11    2.02    0.00    0.00    0.00    0.00    0.00   26.26
16:11:25     all    0.00    0.00    0.00   44.44    0.00    0.00    0.00    0.00    0.00   55.56
16:11:26     all   28.71    0.00    3.96    2.97    0.00    0.00    0.00    0.00    0.00   64.36
16:11:27     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:11:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:29     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:30     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
16:11:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:32     all    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
