  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:18:48      0.00      0.00
06:18:49      0.33      0.00
06:18:50      0.00      0.00
06:18:51      0.12      0.06
06:18:52      0.33      0.00
06:18:53      0.00      0.00
06:18:54      0.06      0.00
06:18:55      0.00      0.04
06:18:56      0.33      0.00
06:18:57      0.24      0.16
06:18:58      3.02      3.37
06:18:59      0.06      0.00
06:19:00      0.00      0.00
06:19:01      0.00      0.00
06:19:02      0.00      0.00
06:19:03      0.00      0.00
06:19:04      0.00      0.00
06:19:05      0.00      0.00
06:19:06      0.00      0.00
06:19:07      2.44      2.21
06:19:08      1.44      1.77
06:19:09      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:19:10      0.39      0.00
06:19:11      0.00      0.00
06:19:12      0.00      0.00
06:19:13      0.00      0.00
06:19:14      0.39      0.00
06:19:15      0.00      0.00
06:19:16      0.00      0.00
06:19:17      0.00      0.00
06:19:18      0.00      0.00
06:19:19      0.00      0.00
06:19:20  13224.16    835.95
06:19:21  17466.45   1103.91
06:19:22  17513.53   1106.89
06:19:23  15525.73    980.99
06:19:24  16379.60   1035.30
06:19:25  14826.53    936.71
06:19:26  13199.03    834.10
06:19:27  11873.59    750.94
06:19:28  14456.28    913.24
06:19:29  15240.79    963.12
06:19:30  17258.41   1090.55
06:19:31  17776.17   1123.56
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:19:32  15802.95    998.41
06:19:33  14545.85    919.28
06:19:34  11080.42    701.35
06:19:35  15332.86    968.65
06:19:36  13959.87    882.54
06:19:37  14487.40    915.51
06:19:38  14416.92    910.70
06:19:39  16218.35   1025.11
06:19:40  16421.28   1037.36
06:19:41  13467.58    851.50
06:19:42  13610.59    859.96
06:19:43  14748.25    931.76
06:19:44  14466.59    914.41
06:19:45  12703.85    802.52
06:19:46  13215.56    835.12
06:19:47  13253.43    837.97
06:19:48  13875.29    876.54
06:19:49  13916.36    879.43
06:19:50   8874.02    561.08
06:19:51  12617.80    797.89
06:19:52  15896.18   1004.47
06:19:53  17496.71   1106.05
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:19:54  16967.76   1071.82
06:19:55  15930.69   1006.65
06:19:56  17630.40   1114.57
06:19:57  13051.08    824.82
06:19:58  15533.35    981.25
06:19:59  13058.38    825.22
06:20:00  13852.16    875.30
06:20:01  14678.73    928.19
06:20:02  12863.84    812.70
06:20:03  13478.32    851.53
06:20:04  14619.44    923.77
06:20:05  17673.65   1117.37
06:20:06  17226.24   1088.23
06:20:07  13811.59    872.74
06:20:08  13782.22    871.29
06:20:09  13277.53    838.62
06:20:10  13681.79    864.68
06:20:11  14502.64    916.62
06:20:12  15421.42    974.76
06:20:13  16541.37   1044.88
06:20:14  15180.61    959.32
06:20:15  14019.29    886.07
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:20:16  14979.86    946.49
06:20:17  16218.44   1025.05
06:20:18  15765.81    996.16
06:20:19  17640.89   1114.77
06:20:20  11751.12    743.06
06:20:21   4275.11    271.00
06:20:22  18007.23   1138.23
06:20:23  17933.33   1133.26
06:20:24  16876.47   1066.35
06:20:25  16766.92   1059.78
06:20:26  16643.37   1051.33
06:20:27  16852.34   1065.30
06:20:28  16716.46   1056.45
06:20:29  16827.47   1062.89
06:20:30  16695.73   1055.50
06:20:31  10609.85    670.68
06:20:32  15150.16    957.63
06:20:33  16968.06   1072.42
06:20:34  15881.18   1003.37
06:20:35  16741.48   1058.17
06:20:36  17324.34   1095.01
06:20:37  17122.99   1081.83
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:20:38  17295.56   1092.97
06:20:39  17128.78   1082.72
06:20:40  17427.86   1101.24
06:20:41  17719.73   1119.77
06:20:42  16263.58   1027.40
06:20:43  16517.70   1044.25
06:20:44  16903.34   1067.88
06:20:45  17082.46   1079.36
06:20:46  17565.33   1110.45
06:20:47  17107.48   1080.58
06:20:48  17565.52   1110.47
06:20:49  15832.37   1000.15
06:20:50  15281.07    965.89
06:20:51  16374.29   1034.61
06:20:52  16657.01   1052.98
06:20:53  15259.17    964.00
06:20:54  17712.29   1119.60
06:20:55  16450.83   1039.06
06:20:56  16200.43   1023.91
06:20:57  16636.39   1051.39
06:20:58  15986.85   1010.47
06:20:59  16784.21   1060.66
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:21:00  14680.52    927.43
06:21:01  16269.10   1028.39
06:21:02  15594.42    985.09
06:21:03  16225.49   1025.28
06:21:04  17185.09   1086.06
06:21:05  18080.09   1142.91
06:21:06  17029.33   1076.08
06:21:07  16921.11   1069.02
06:21:08  15851.28   1001.63
06:21:09  15755.07    996.13
06:21:10  15480.52    977.69
06:21:11  16436.93   1039.15
06:21:12  16909.11   1068.19
06:21:13  16175.16   1022.22
06:21:14  14523.52    918.16
06:21:15  14913.66    942.16
06:21:16   5194.32    328.55
06:21:17     13.71      1.32
06:21:18  11461.43    725.35
06:21:19  15865.97   1002.49
06:21:20  16539.12   1045.37
06:21:21  16108.05   1017.93
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:21:22  16360.05   1033.85
06:21:23  16385.70   1035.18
06:21:24  15243.33    963.28
06:21:25  17607.21   1112.52
06:21:26  15452.42    976.57
06:21:27  17372.61   1097.70
06:21:28  17402.58   1100.24
06:21:29  16514.79   1043.63
06:21:30  16853.53   1065.02
06:21:31  16872.03   1066.13
06:21:32  17202.87   1086.67
06:21:33  17651.49   1115.61
06:21:34  16868.88   1065.92
06:21:35  15728.00    994.20
06:21:36  17452.86   1103.05
06:21:37  16909.84   1068.16
06:21:38  15629.62    987.75
06:21:39  16767.11   1059.58
06:21:40  16908.63   1068.87
06:21:41  15858.54   1001.73
06:21:42  15350.90    970.08
06:21:43  16138.56   1020.22
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:21:44  14452.40    913.30
06:21:45  15243.17    963.13
06:21:46  14659.76    926.19
06:21:47  15947.09   1008.12
06:21:48  14882.65    940.11
06:21:49  14568.15    920.91
06:21:50  14138.37    893.60
06:21:51  14688.56    927.87
06:21:52  13710.98    866.72
06:21:53  12777.51    807.53
06:21:54  14879.50    939.93
06:21:55  15541.78    982.14
06:21:56  15442.50    975.69
06:21:57  14467.35    914.25
06:21:58  12695.22    802.33
06:21:59  11614.34    733.95
06:22:00  11436.12    722.69
06:22:01  11331.55    716.15
06:22:02  11697.90    739.45
06:22:03  12849.80    811.67
06:22:04  12343.02    780.44
06:22:05   9569.11    604.35
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:22:06  11708.61    739.89
06:22:07  12681.14    801.45
06:22:08  12791.05    808.32
06:22:09  11790.04    745.16
06:22:10  11359.02    718.16
06:22:11  13196.97    833.53
06:22:12  11385.10    719.61
06:22:13  11952.75    755.20
06:22:14  11658.12    736.92
06:22:15  11940.52    754.50
06:22:16  11029.84    697.01
06:22:17  13230.96    835.97
06:22:18  14060.61    888.69
06:22:19  12626.30    797.98
06:22:20  11454.39    723.85
06:22:21  11220.39    709.06
06:22:22  11582.81    731.82
06:22:23  10870.84    686.97
06:22:24  12147.37    767.76
06:22:25  12006.09    758.42
06:22:26  13098.49    827.88
06:22:27  12169.81    769.06
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:22:28  11678.73    738.00
06:22:29  11684.30    738.38
06:22:30  10429.57    659.01
06:22:31  12016.46    759.44
06:22:32  10331.56    652.78
06:22:33  10978.05    693.82
06:22:34  11934.94    754.21
06:22:35  10844.35    685.30
06:22:36  11964.79    756.17
06:22:37  10344.01    653.61
06:22:38   7930.94    501.31
06:22:39   9252.53    584.49
06:22:40   9879.28    624.50
06:22:41   8857.63    559.89
06:22:42  10046.01    635.19
06:22:43  10925.38    689.98
06:22:44  10839.71    685.00
06:22:45  10108.13    638.77
06:22:46  10247.48    647.48
06:22:47  10799.34    682.45
06:22:48  10250.22    647.82
06:22:49   8866.18    560.36
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:22:50   6037.88    381.75
06:22:51   7987.59    504.91
06:22:52   8068.14    509.86
06:22:53   8491.66    536.19
06:22:54  11158.65    705.15
06:22:55   9305.97    588.21
06:22:56   9235.17    583.60
06:22:57  11351.43    717.34
06:22:58   9032.64    570.95
06:22:59  10035.90    633.99
06:23:00   8229.75    520.05
06:23:01   6337.10    400.90
06:23:02   7807.18    495.64
06:23:03  10108.35    639.12
06:23:04   8854.76    560.48
06:23:05   9162.35    578.76
06:23:06  10118.38    639.93
06:23:07   9804.05    619.05
06:23:08  10526.45    665.40
06:23:09   9144.70    578.52
06:23:10   8084.28    511.19
06:23:11  11488.51    727.28
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:23:12  10210.15    644.71
06:23:13  11361.82    718.21
06:23:14  12761.71    806.32
06:23:15  11259.12    712.11
06:23:16  11664.19    736.89
06:23:17  11428.55    722.14
06:23:18  12054.76    761.98
06:23:19  12168.20    768.81
06:23:20  13206.02    834.54
06:23:21  12525.00    791.86
06:23:22  12865.51    812.71
06:23:23  12397.02    783.49
06:23:24  12456.53    787.17
06:23:25  12552.11    793.00
06:23:26  12487.93    789.64
06:23:27  12720.66    803.86
06:23:28  12549.72    792.63
06:23:29  10914.69    689.67
06:23:30  12155.17    768.35
06:23:31  13113.01    828.52
06:23:32  13186.74    833.32
06:23:33  12727.81    804.39
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
06:23:34  12991.02    821.02
06:23:35  13359.71    844.18
06:23:36  12110.07    765.12
06:23:37  12286.68    776.73
06:23:38  13055.26    824.72
06:23:39  12899.53    815.60
06:23:40  12715.34    803.24
06:23:41  12692.19    802.37
06:23:42   5320.26    336.38
06:23:43      0.15      0.06
06:23:44      7.29      0.82
06:23:45     20.96     27.21
06:23:46      6.88     75.64
