Linux 4.4.0-142-generic (vm) 	2024-08-18 	_x86_64_	(1 CPU)

03:21:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:51     all   53.47    0.00   22.77    0.99    0.00    0.00    0.00    0.00    0.00   22.77
03:21:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:21:53     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:21:54     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:21:55     all    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   95.00
03:21:56     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:21:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:21:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:21:59     all    1.00    0.00    1.00    7.00    0.00    0.00    0.00    0.00    0.00   91.00
03:22:00     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:22:01     all   17.17    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   76.77
03:22:02     all   17.17   18.18   12.12    2.02    0.00    0.00    0.00    0.00    0.00   50.51
03:22:03     all    0.00   95.05    3.96    0.99    0.00    0.00    0.00    0.00    0.00    0.00
03:22:04     all    6.00    3.00   11.00   17.00    0.00    0.00    0.00    0.00    0.00   63.00
03:22:05     all   19.19    0.00    2.02    3.03    0.00    0.00    0.00    0.00    0.00   75.76
03:22:06     all   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
03:22:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:08     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:22:09     all    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
03:22:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:11     all    5.94    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   89.11
03:22:12     all   20.41    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   69.39
03:22:13     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:22:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:15     all    0.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   94.00
03:22:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:17     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:20     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
03:22:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:23     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:22:24     all   29.07    0.00   17.44    0.00    0.00    8.14    0.00    0.00    0.00   45.35
03:22:25     all   25.81    0.00   22.58    3.23    0.00    4.30    0.00    0.00    0.00   44.09
03:22:26     all   31.58    0.00   18.95    0.00    0.00    7.37    0.00    0.00    0.00   42.11
03:22:27     all   36.56    0.00   22.58    0.00    0.00    4.30    0.00    0.00    0.00   36.56
03:22:28     all   19.35    0.00   26.88    0.00    0.00    5.38    0.00    0.00    0.00   48.39
03:22:29     all   26.60    0.00   24.47    0.00    0.00    3.19    0.00    0.00    0.00   45.74
03:22:30     all   40.82    0.00   20.41    2.04    0.00    5.10    0.00    0.00    0.00   31.63
03:22:31     all   18.48    0.00   27.17    5.43    0.00    4.35    0.00    0.00    0.00   44.57
03:22:32     all   15.38    0.00   31.87    0.00    0.00    3.30    0.00    0.00    0.00   49.45
03:22:33     all   29.79    0.00   23.40    0.00    0.00    6.38    0.00    0.00    0.00   40.43
03:22:34     all   28.09    0.00   23.60    0.00    0.00    6.74    0.00    0.00    0.00   41.57
03:22:35     all   27.47    0.00   23.08    0.00    0.00    4.40    0.00    0.00    0.00   45.05
03:22:36     all   19.35    0.00   27.96    3.23    0.00    3.23    0.00    0.00    0.00   46.24
03:22:37     all   16.30    0.00   30.43    0.00    0.00    4.35    0.00    0.00    0.00   48.91
03:22:38     all   35.11    0.00   20.21    0.00    0.00    6.38    0.00    0.00    0.00   38.30
03:22:39     all   20.00    0.00   29.47    0.00    0.00    3.16    0.00    0.00    0.00   47.37
03:22:40     all   19.78    0.00   26.37    0.00    0.00    4.40    0.00    0.00    0.00   49.45
03:22:41     all   17.24    0.00   21.84    2.30    0.00    9.20    0.00    0.00    0.00   49.43
03:22:42     all   20.45    0.00   22.73    0.00    0.00    5.68    0.00    0.00    0.00   51.14
03:22:43     all   14.29    0.00   32.97    0.00    0.00    4.40    0.00    0.00    0.00   48.35
03:22:44     all   18.09    0.00   26.60    0.00    0.00    6.38    0.00    0.00    0.00   48.94
03:22:45     all   12.94    0.00   24.71    0.00    0.00    8.24    0.00    0.00    0.00   54.12
03:22:46     all   20.45    0.00   26.14    2.27    0.00    3.41    0.00    0.00    0.00   47.73
03:22:47     all   16.09    0.00   26.44    0.00    0.00    5.75    0.00    0.00    0.00   51.72
03:22:48     all   17.44    0.00   25.58    0.00    0.00    5.81    0.00    0.00    0.00   51.16
03:22:49     all   15.29    0.00   24.71    0.00    0.00    7.06    0.00    0.00    0.00   52.94
03:22:50     all   14.94    0.00   26.44    0.00    0.00    5.75    0.00    0.00    0.00   52.87
03:22:51     all   15.29    0.00   23.53    0.00    0.00    9.41    0.00    0.00    0.00   51.76
03:22:52     all   18.89    0.00   26.67    3.33    0.00    4.44    0.00    0.00    0.00   46.67
03:22:53     all   60.42    0.00   12.50    0.00    0.00    3.12    0.00    0.00    0.00   23.96
03:22:54     all   16.84    0.00   27.37    0.00    0.00    7.37    0.00    0.00    0.00   48.42
03:22:55     all   18.18    0.00   22.73    0.00    0.00    7.95    0.00    0.00    0.00   51.14
03:22:56     all   16.67    0.00   28.89    0.00    0.00    5.56    0.00    0.00    0.00   48.89
03:22:57     all   32.99    0.00   19.59    2.06    0.00    6.19    0.00    0.00    0.00   39.18
03:22:58     all   21.11    0.00   21.11    0.00    0.00    6.67    0.00    0.00    0.00   51.11
03:22:59     all   16.85    0.00   29.21    0.00    0.00    4.49    0.00    0.00    0.00   49.44
