  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:34:38      0.00      0.00
12:34:39      0.00      0.00
12:34:40      0.00      0.00
12:34:41      0.06      0.06
12:34:42      0.12      0.00
12:34:43      0.33      0.00
12:34:44      0.06      0.00
12:34:45      0.00      0.00
12:34:46      0.33      0.04
12:34:47      0.30      0.16
12:34:48      3.02      3.37
12:34:49      0.00      0.00
12:34:50      0.33      0.00
12:34:51      0.00      0.00
12:34:52      0.00      0.00
12:34:53      0.00      0.00
12:34:54      0.00      0.00
12:34:55      0.00      0.00
12:34:56      0.00      0.00
12:34:57      0.30      0.24
12:34:58      3.25      3.74
12:34:59      0.06      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:35:00      0.30      0.00
12:35:01      0.39      0.00
12:35:02      0.15      0.00
12:35:03      0.09      0.00
12:35:04      0.42      0.00
12:35:05      0.06      0.00
12:35:06      0.00      0.00
12:35:07      0.00      0.00
12:35:08      0.33      0.00
12:35:09      0.00      0.00
12:35:10  11613.11    734.58
12:35:11  15382.24    972.06
12:35:12  13434.16    848.44
12:35:13  13326.06    842.33
12:35:14  14649.52    925.61
12:35:15  12468.49    788.00
12:35:16  12612.28    797.09
12:35:17  12633.13    798.12
12:35:18  12034.25    760.95
12:35:19  14333.54    906.20
12:35:20  15162.75    957.83
12:35:21  13879.32    877.16
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:35:22  13072.83    826.39
12:35:23  13859.74    875.56
12:35:24  13802.32    872.22
12:35:25  12856.44    812.74
12:35:26  10515.84    665.22
12:35:27  12934.39    817.51
12:35:28  14047.81    887.37
12:35:29  13902.72    878.71
12:35:30  13493.62    852.71
12:35:31  14049.23    887.75
12:35:32  14307.67    903.94
12:35:33  13771.62    870.35
12:35:34  15979.70   1010.18
12:35:35  14668.56    926.53
12:35:36  14496.42    916.37
12:35:37  13265.51    838.11
12:35:38  14656.86    926.22
12:35:39  13785.53    871.09
12:35:40  13564.00    857.14
12:35:41  14159.33    894.86
12:35:42  12440.02    786.45
12:35:43  10244.28    648.81
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:35:44  14000.48    884.72
12:35:45  16000.96   1011.01
12:35:46  16074.63   1016.11
12:35:47  15098.74    953.93
12:35:48  15681.37    990.89
12:35:49  14363.62    907.62
12:35:50  13958.12    882.08
12:35:51  14376.05    908.55
12:35:52  12990.99    820.91
12:35:53  14935.44    944.12
12:35:54  15428.42    974.76
12:35:55  13734.67    868.29
12:35:56  14636.63    924.95
12:35:57  14522.04    917.27
12:35:58  14471.14    914.75
12:35:59  14517.39    917.48
12:36:00  14443.53    912.45
12:36:01  15376.10    971.74
12:36:02  14281.69    902.49
12:36:03  14019.08    886.28
12:36:04  14036.76    886.68
12:36:05  13901.31    878.47
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:36:06  13500.35    853.07
12:36:07  12892.43    814.94
12:36:08  13637.38    861.58
12:36:09  13528.84    854.87
12:36:10  13495.61    852.98
12:36:11  13518.27    854.63
12:36:12  12778.46    807.30
12:36:13  13412.96    847.58
12:36:14  11311.38    714.67
12:36:15   1934.93    124.11
12:36:16  14621.75    923.62
12:36:17  14673.98    927.45
12:36:18  13885.43    877.55
12:36:19  12729.30    804.55
12:36:20  13953.04    881.65
12:36:21  14777.51    933.77
12:36:22  14256.96    900.80
12:36:23  14503.46    916.74
12:36:24  14559.56    920.22
12:36:25  13865.64    876.22
12:36:26  14372.81    907.91
12:36:27  14218.82    898.83
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:36:28  15464.84    976.92
12:36:29  14973.83    946.62
12:36:30  14958.09    944.89
12:36:31  13596.77    859.57
12:36:32  14440.09    912.16
12:36:33  15020.76    949.51
12:36:34  14849.29    938.36
12:36:35  15313.55    967.79
12:36:36  16234.96   1025.80
12:36:37  14628.96    924.24
12:36:38  14997.79    948.04
12:36:39  15190.80    960.11
12:36:40  15008.84    948.11
12:36:41  14283.75    902.57
12:36:42  14901.45    941.82
12:36:43  15794.19    997.95
12:36:44  14511.68    917.12
12:36:45  14220.59    898.79
12:36:46  14575.01    920.83
12:36:47  14690.72    928.65
12:36:48  14114.74    891.68
12:36:49  14627.04    924.60
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:36:50  13799.22    871.74
12:36:51  15547.64    982.51
12:36:52  14606.13    923.29
12:36:53  13555.12    856.67
12:36:54  14807.79    935.47
12:36:55  15094.66    954.25
12:36:56  14618.85    923.80
12:36:57  15965.24   1008.76
12:36:58  14648.69    925.85
12:36:59  15260.51    964.20
12:37:00  13808.23    872.74
12:37:01  16366.25   1033.81
12:37:02  14484.96    915.79
12:37:03  15621.87    986.92
12:37:04  14266.86    901.43
12:37:05  15942.26   1007.67
12:37:06  14392.60    909.30
12:37:07  14932.46    943.91
12:37:08  14874.99    939.86
12:37:09  15241.95    963.05
12:37:10  13490.21    852.69
12:37:11  14371.43    908.04
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:37:12  14725.70    930.50
12:37:13  13471.07    851.29
12:37:14  14773.00    933.61
12:37:15  13363.93    844.59
12:37:16  13250.69    837.65
12:37:17   4362.63    276.04
12:37:18      0.00      0.00
12:37:19   8089.56    511.59
12:37:20  13890.93    877.82
12:37:21  14173.59    895.61
12:37:22  13882.03    877.76
12:37:23  13687.73    864.98
12:37:24  14223.51    898.77
12:37:25  12795.01    808.11
12:37:26  13579.26    858.56
12:37:27  13323.19    842.02
12:37:28  12557.53    793.10
12:37:29  12808.71    809.43
12:37:30  12187.13    770.15
12:37:31  12384.62    783.06
12:37:32  12130.13    766.46
12:37:33  13601.28    859.16
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:37:34  12490.60    789.33
12:37:35  11328.45    715.89
12:37:36  11114.08    702.34
12:37:37  10987.65    694.35
12:37:38  11719.63    740.75
12:37:39  11438.28    723.12
12:37:40  11699.12    738.81
12:37:41  11107.62    702.01
12:37:42  12129.45    766.43
12:37:43  11912.80    752.87
12:37:44  12150.83    768.21
12:37:45  12968.53    819.17
12:37:46  12164.97    769.09
12:37:47  12075.55    762.67
12:37:48  11775.27    744.34
12:37:49  12220.78    772.35
12:37:50  11686.08    738.68
12:37:51  11450.71    723.18
12:37:52  11631.63    735.05
12:37:53  11364.25    718.30
12:37:54  10681.31    675.14
12:37:55  11580.10    731.43
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
12:37:56  12322.83    778.73
12:37:57  11864.32    749.82
12:37:58  11848.31    748.97
