Linux 4.4.0-142-generic (vm) 	2024-08-16 	_x86_64_	(1 CPU)

09:37:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:37:42     all   55.00    0.00   23.00    0.00    0.00    0.00    0.00    0.00    0.00   22.00
09:37:43     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
09:37:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:37:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:37:46     all    0.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   94.00
09:37:47     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
09:37:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:37:49     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:37:50     all    0.99    0.00    1.98   11.88    0.00    0.00    0.00    0.00    0.00   85.15
09:37:51     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:37:52     all   10.10    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   85.86
09:37:53     all   21.00   14.00   12.00    1.00    0.00    0.00    0.00    0.00    0.00   52.00
09:37:54     all    0.00   96.08    2.94    0.98    0.00    0.00    0.00    0.00    0.00    0.00
09:37:55     all    7.07   11.11   11.11   14.14    0.00    0.00    0.00    0.00    0.00   56.57
09:37:56     all   12.12    0.00    4.04    2.02    0.00    0.00    0.00    0.00    0.00   81.82
09:37:57     all   15.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   83.00
09:37:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:37:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:00     all    5.00    0.00    1.00    6.00    0.00    0.00    0.00    0.00    0.00   88.00
09:38:01     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:02     all    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:38:03     all   24.24    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   64.65
09:38:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:05     all    0.99    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00   93.07
09:38:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:11     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
09:38:12     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
09:38:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:38:15     all   17.39    0.00   26.09    0.00    0.00    0.00    0.00    0.00    0.00   56.52
09:38:16     all   13.33    0.00   23.33    3.33    0.00    8.89    0.00    0.00    0.00   51.11
09:38:17     all    6.10    0.00   25.61    0.00    0.00    4.88    0.00    0.00    0.00   63.41
09:38:18     all   24.49    0.00   22.45    0.00    0.00    5.10    0.00    0.00    0.00   47.96
09:38:19     all   18.09    0.00   26.60    0.00    0.00    4.26    0.00    0.00    0.00   51.06
09:38:20     all   16.85    0.00   22.47    0.00    0.00    6.74    0.00    0.00    0.00   53.93
09:38:21     all   15.05    0.00   29.03   10.75    0.00    4.30    0.00    0.00    0.00   40.86
09:38:22     all   25.29    0.00   20.69    4.60    0.00    3.45    0.00    0.00    0.00   45.98
09:38:23     all   13.95    0.00   20.93    0.00    0.00    5.81    0.00    0.00    0.00   59.30
09:38:24     all   30.34    0.00   20.22    0.00    0.00    4.49    0.00    0.00    0.00   44.94
09:38:25     all   27.96    0.00   22.58    0.00    0.00    4.30    0.00    0.00    0.00   45.16
09:38:26     all   13.33    0.00   25.56    4.44    0.00    4.44    0.00    0.00    0.00   52.22
09:38:27     all   15.56    0.00   25.56    0.00    0.00    3.33    0.00    0.00    0.00   55.56
09:38:28     all   16.67    0.00   22.22    0.00    0.00    4.44    0.00    0.00    0.00   56.67
09:38:29     all   39.53    0.00   13.95    0.00    0.00    1.16    0.00    0.00    0.00   45.35
09:38:30     all   17.65    0.00   20.00    0.00    0.00    2.35    0.00    0.00    0.00   60.00
09:38:31     all   14.77    0.00   25.00    0.00    0.00    2.27    0.00    0.00    0.00   57.95
09:38:32     all   11.83    0.00   29.03    3.23    0.00    3.23    0.00    0.00    0.00   52.69
09:38:33     all   15.48    0.00   22.62    0.00    0.00    3.57    0.00    0.00    0.00   58.33
09:38:34     all   21.74    0.00   19.57    0.00    0.00    2.17    0.00    0.00    0.00   56.52
09:38:35     all   20.65    0.00   21.74    0.00    0.00    3.26    0.00    0.00    0.00   54.35
09:38:36     all   17.58    0.00   23.08    0.00    0.00    3.30    0.00    0.00    0.00   56.04
09:38:37     all   19.77    0.00   22.09    2.33    0.00    2.33    0.00    0.00    0.00   53.49
09:38:38     all   19.35    0.00   22.58    0.00    0.00    5.38    0.00    0.00    0.00   52.69
09:38:39     all   15.73    0.00   21.35    0.00    0.00    2.25    0.00    0.00    0.00   60.67
09:38:40     all   19.77    0.00   19.77    0.00    0.00    3.49    0.00    0.00    0.00   56.98
09:38:41     all   12.50    0.00   23.86    0.00    0.00    5.68    0.00    0.00    0.00   57.95
09:38:42     all    9.30    0.00   26.74    3.49    0.00    3.49    0.00    0.00    0.00   56.98
09:38:43     all   43.96    0.00   16.48    0.00    0.00    2.20    0.00    0.00    0.00   37.36
09:38:44     all   38.89    0.00   15.56    0.00    0.00    2.22    0.00    0.00    0.00   43.33
09:38:45     all   18.18    0.00   21.59    0.00    0.00    5.68    0.00    0.00    0.00   54.55
09:38:46     all   12.36    0.00   25.84    0.00    0.00    3.37    0.00    0.00    0.00   58.43
09:38:47     all   17.02    0.00   25.53    0.00    0.00    5.32    0.00    0.00    0.00   52.13
09:38:48     all   13.19    0.00   27.47    3.30    0.00    4.40    0.00    0.00    0.00   51.65
09:38:49     all   10.23    0.00   27.27    0.00    0.00    4.55    0.00    0.00    0.00   57.95
09:38:50     all   17.39    0.00   25.00    0.00    0.00    4.35    0.00    0.00    0.00   53.26
09:38:51     all   15.73    0.00   23.60    0.00    0.00    3.37    0.00    0.00    0.00   57.30
09:38:52     all   17.39    0.00   25.00    1.09    0.00    5.43    0.00    0.00    0.00   51.09
09:38:53     all   25.00    0.00   19.79    3.12    0.00    4.17    0.00    0.00    0.00   47.92
09:38:54     all   14.74    0.00   25.26    0.00    0.00    4.21    0.00    0.00    0.00   55.79
09:38:55     all   16.48    0.00   24.18    0.00    0.00    3.30    0.00    0.00    0.00   56.04
09:38:56     all   14.44    0.00   27.78    0.00    0.00    2.22    0.00    0.00    0.00   55.56
