  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:01:12      0.00      0.00
16:01:13      0.00      0.00
16:01:14      0.33      0.00
16:01:15      0.06      0.06
16:01:16      0.12      0.00
16:01:17      0.33      0.00
16:01:18      0.06      0.00
16:01:19      0.00      0.00
16:01:20      0.00      0.00
16:01:21      2.33      0.43
16:01:22      1.33      3.13
16:01:23      0.00      0.00
16:01:24      0.00      0.00
16:01:25      0.00      0.00
16:01:26      0.00      0.00
16:01:27      0.35      0.46
16:01:28      6.14      0.54
16:01:29      0.00      0.00
16:01:30      0.06      0.00
16:01:31      2.11      0.37
16:01:32      1.83      3.50
16:01:33      0.12      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:01:34      0.00      0.00
16:01:35      0.33      0.00
16:01:36      0.00      0.00
16:01:37      0.00      0.00
16:01:38      0.06      0.00
16:01:39      0.33      0.00
16:01:40      0.00      0.00
16:01:41      0.00      0.00
16:01:42      0.12      0.00
16:01:43      0.06      0.00
16:01:44  16181.98   1022.94
16:01:45  18950.30   1197.90
16:01:46  19328.68   1221.30
16:01:47  19415.29   1226.93
16:01:48  16800.85   1061.56
16:01:49  17416.47   1100.47
16:01:50  13819.48    873.67
16:01:51  14891.99    941.52
16:01:52  16217.76   1024.49
16:01:53  18937.49   1196.85
16:01:54  17126.25   1082.20
16:01:55  17380.81   1098.72
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:01:56  17005.83   1074.59
16:01:57  13348.94    844.03
16:01:58  15772.21    997.00
16:01:59  16422.96   1037.54
16:02:00  16587.66   1048.17
16:02:01  16646.56   1051.96
16:02:02  15558.23    983.26
16:02:03  14931.52    943.87
16:02:04  15582.85    984.31
16:02:05  15424.29    975.01
16:02:06  15160.49    957.91
16:02:07  16130.32   1019.55
16:02:08  14905.50    941.62
16:02:09  16345.50   1032.86
16:02:10  15817.32    999.70
16:02:11   7036.31    444.95
16:02:12  17907.73   1132.04
16:02:13  16819.48   1062.96
16:02:14  16640.91   1051.46
16:02:15  17885.19   1130.72
16:02:16  16607.03   1049.10
16:02:17  17608.43   1112.74
  Time           eth0       
