Linux 4.4.0-142-generic (vm) 	2024-08-16 	_x86_64_	(1 CPU)

16:35:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:35:09     all   56.00    0.00   22.00    0.00    0.00    0.00    0.00    0.00    0.00   22.00
16:35:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:35:11     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:35:12     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:35:13     all    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   95.00
16:35:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:35:15     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:35:16     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:35:17     all    0.00    0.00    2.02    7.07    0.00    0.00    0.00    0.00    0.00   90.91
16:35:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:35:19     all   13.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   82.00
16:35:20     all   17.00   69.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16:35:21     all    3.96   45.54   14.85    1.98    0.00    0.00    0.00    0.00    0.00   33.66
16:35:22     all    1.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   92.00
16:35:23     all   21.00    0.00    7.00   14.00    0.00    0.00    0.00    0.00    0.00   58.00
16:35:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:35:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:35:26     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:35:27     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:35:28     all    0.99    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00   92.08
