Linux 4.4.0-142-generic (vm) 	2024-08-15 	_x86_64_	(1 CPU)

23:49:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:49:52     all   61.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00    0.00   13.00
23:49:53     all    1.00   24.00    6.00    1.00    0.00    0.00    0.00    0.00    0.00   68.00
23:49:54     all    0.00   95.96    3.03    1.01    0.00    0.00    0.00    0.00    0.00    0.00
23:49:55     all    6.06    3.03   11.11   21.21    0.00    0.00    0.00    0.00    0.00   58.59
23:49:56     all   25.74    0.00    3.96    2.97    0.00    0.00    0.00    0.00    0.00   67.33
23:49:57     all    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
23:49:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:49:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:50:00     all    4.08    0.00    1.02    7.14    0.00    0.00    0.00    0.00    0.00   87.76
23:50:01     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:50:02     all    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
23:50:03     all   20.00    0.00   12.00    1.00    0.00    0.00    0.00    0.00    0.00   67.00
23:50:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:50:05     all    0.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   94.00
23:50:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:50:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:50:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:50:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:50:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
