  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:18:03      0.33      0.00
02:18:04      0.00      0.00
02:18:05      0.06      0.06
02:18:06      0.06      0.08
02:18:07      0.06      0.00
02:18:08      0.00      0.00
02:18:09      0.00      0.00
02:18:10      0.00      0.00
02:18:11      0.06      0.00
02:18:12      2.11      0.41
02:18:13      1.15      2.90
02:18:14      0.33      0.00
02:18:15      0.00      0.00
02:18:16      0.00      0.00
02:18:17      0.33      0.00
02:18:18      0.00      0.00
02:18:19      0.00      0.00
02:18:20      0.06      0.00
02:18:21      0.33      0.00
02:18:22      2.19      2.21
02:18:23      1.36      1.77
02:18:24      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:18:25      0.12      0.00
02:18:26      0.06      0.00
02:18:27      0.00      0.00
02:18:28      0.06      0.00
02:18:29      0.12      0.00
02:18:30      0.06      0.00
02:18:31      0.00      0.00
02:18:32      0.39      0.00
02:18:33      0.06      0.00
02:18:34      0.06      0.00
02:18:35  12690.15    802.54
02:18:36  17021.41   1075.57
02:18:37  15918.29   1005.71
02:18:38  15705.21    992.61
02:18:39  16941.20   1070.63
02:18:40  16781.04   1060.31
02:18:41  16271.78   1028.42
02:18:42  14021.48    886.46
02:18:43  16080.80   1016.35
02:18:44  17519.88   1107.07
02:18:45  16257.69   1027.09
02:18:46  15609.99    986.53
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:18:47  16469.55   1040.70
02:18:48  15883.32   1004.02
02:18:49  12742.21    805.64
02:18:50  16734.95   1057.88
02:18:51  15353.83    969.97
02:18:52  14983.40    947.00
02:18:53  14256.58    900.90
02:18:54  15497.74    979.36
02:18:55  16513.64   1043.41
02:18:56  16551.53   1046.31
02:18:57  15674.04    990.19
02:18:58  15478.61    978.08
02:18:59  15823.98    999.91
02:19:00  15951.79   1008.34
02:19:01  16476.65   1040.93
02:19:02  15729.18    994.13
02:19:03   8222.95    520.22
02:19:04  15090.70    954.22
02:19:05  16828.52   1063.39
02:19:06  16012.24   1012.01
02:19:07  17110.06   1081.46
02:19:08  16021.40   1012.43
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:19:09  16284.29   1029.00
02:19:10  15571.08    983.81
02:19:11  16114.10   1018.58
02:19:12  16212.67   1024.18
02:19:13  15876.09   1003.85
02:19:14  15403.06    972.95
02:19:15  16522.82   1044.55
02:19:16  15521.22    980.63
02:19:17  16564.18   1046.83
02:19:18  15889.68   1004.20
02:19:19  15420.70    974.13
02:19:20  16120.83   1018.67
02:19:21  16957.53   1071.82
02:19:22  16808.45   1061.97
02:19:23  15824.96   1000.11
02:19:24  15753.19    995.79
02:19:25  16222.46   1025.09
02:19:26  16261.41   1027.74
02:19:27  15629.13    987.66
02:19:28  16105.68   1017.42
02:19:29  16630.25   1050.97
02:19:30  15807.66    999.30
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
02:19:31  14335.74    905.64
02:19:32    271.84     17.88
02:19:33  14016.13    886.63
02:19:34  15363.53    970.88
02:19:35  13995.99    884.32
02:19:36  16031.81   1013.03
02:19:37  14213.63    898.28
02:19:38  13538.22    855.38
02:19:39  14365.90    908.05
02:19:40  16426.51   1037.91
02:19:41  15598.33    986.00
02:19:42  15189.52    959.52
02:19:43  15880.94   1003.94
02:19:44  15681.02    990.56
02:19:45  15216.68    962.03
