  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:21:33      0.00      0.00
09:21:34      0.33      0.00
09:21:35      0.00      0.00
09:21:36      0.06      0.06
09:21:37      0.12      0.00
09:21:38      0.39      0.00
09:21:39      0.12      0.04
09:21:40      0.06      0.00
09:21:41      0.00      0.08
09:21:42      0.30      0.18
09:21:43      3.02      3.27
09:21:44      0.00      0.00
09:21:45      0.00      0.00
09:21:46      0.00      0.00
09:21:47      0.00      0.00
09:21:48      0.39      0.00
09:21:49      0.06      0.00
09:21:50      0.12      0.00
09:21:51      0.00      0.00
09:21:52      2.44      0.42
09:21:53      1.50      3.50
09:21:54      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:21:55      0.00      0.00
09:21:56      0.33      0.00
09:21:57      0.00      0.00
09:21:58      0.00      0.00
09:21:59      0.06      0.00
09:22:00      0.00      0.00
09:22:01      0.00      0.00
09:22:02      0.00      0.00
09:22:03      0.00      0.00
09:22:04      0.00      0.00
09:22:05  10485.39    663.38
09:22:06  14911.73    942.31
09:22:07  15292.14    966.29
09:22:08  14913.55    942.44
09:22:09  15760.42    995.74
09:22:10  14841.35    937.86
09:22:11  14425.22    911.59
09:22:12  13153.72    831.76
09:22:13  15800.21    998.54
09:22:14  14709.56    929.46
09:22:15  15702.20    992.35
09:22:16  13946.72    881.27
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:22:17  15938.16   1006.98
09:22:18  14366.65    907.74
09:22:19  14547.64    919.32
09:22:20  11031.93    698.07
09:22:21  13923.55    879.73
09:22:22  14172.49    895.61
09:22:23  13641.35    862.19
09:22:24  13874.42    876.90
09:22:25  14835.00    937.26
09:22:26  15016.16    948.86
09:22:27  14566.53    920.51
09:22:28  15025.67    949.65
09:22:29  14674.34    927.39
09:22:30  14396.33    909.98
09:22:31  14188.28    896.61
09:22:32  13872.82    876.22
09:22:33  13105.47    828.62
09:22:34  14664.06    926.53
09:22:35  14375.83    908.25
09:22:36   7120.16    451.40
09:22:37  14776.46    933.42
09:22:38  13668.82    864.07
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:22:39  14731.26    930.70
09:22:40  13889.02    877.91
09:22:41  14223.76    898.64
09:22:42  15107.20    954.59
09:22:43  14070.70    889.55
09:22:44  13538.27    855.68
09:22:45  14062.66    888.71
09:22:46  13644.05    861.84
09:22:47  14755.37    932.52
09:22:48  14442.30    912.59
09:22:49  14559.14    920.33
09:22:50  14186.89    896.21
09:22:51  13708.56    866.51
09:22:52  14003.34    884.71
09:22:53  14964.02    946.14
09:22:54  14227.25    899.00
09:22:55  13649.31    862.34
09:22:56  13411.55    847.31
09:22:57  14356.34    907.23
09:22:58  14098.01    891.41
09:22:59  14663.52    926.14
09:23:00  14505.13    916.33
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:23:01  14624.00    924.58
09:23:02  13599.79    859.57
09:23:03  14242.56    899.83
09:23:04  13917.51    879.48
09:23:05  13354.53    843.92
09:23:06  14141.24    894.00
09:23:07  14160.96    894.45
09:23:08   7708.02    487.54
09:23:09   6090.99    386.42
09:23:10  14463.49    914.00
09:23:11  14650.62    925.39
09:23:12  13809.36    872.67
09:23:13  14257.68    901.14
09:23:14  14140.05    893.42
09:23:15  13642.42    862.62
09:23:16  13582.79    857.99
09:23:17  15010.30    948.49
09:23:18  14206.01    897.71
09:23:19  14525.85    918.31
09:23:20  14050.37    887.90
09:23:21  13126.81    829.32
09:23:22  13785.15    871.33
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:23:23  13493.56    852.35
09:23:24  13989.97    884.44
09:23:25  14017.13    885.58
09:23:26  13820.55    873.64
09:23:27  13670.01    863.42
09:23:28  14030.37    886.85
09:23:29  14331.17    905.71
09:23:30  14052.99    888.20
09:23:31  13523.29    854.08
09:23:32  14178.82    896.52
09:23:33  14079.82    889.25
09:23:34  13655.42    863.01
09:23:35  14169.54    895.79
09:23:36  13192.10    833.28
09:23:37  14886.64    941.18
09:23:38  13083.67    826.44
09:23:39  13868.08    876.52
09:23:40  13699.10    865.38
09:23:41  14426.14    912.08
09:23:42  12855.58    812.39
09:23:43  14152.92    894.38
09:23:44  13435.49    848.80
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:23:45  13517.89    854.03
09:23:46  14178.32    896.42
09:23:47  14301.11    903.31
09:23:48  14193.06    897.42
09:23:49  14366.64    907.37
09:23:50  13826.50    873.96
09:23:51  13148.59    830.91
09:23:52  13634.39    861.39
09:23:53  14143.83    893.88
09:23:54  14055.52    888.34
09:23:55  14388.75    909.14
09:23:56  13667.42    863.77
09:23:57  14316.64    904.64
09:23:58  13176.49    832.58
09:23:59  13984.93    883.83
09:24:00  14281.11    902.55
09:24:01  14674.47    927.19
09:24:02  13573.70    857.75
09:24:03  13316.39    841.51
09:24:04  13630.05    861.34
09:24:05  13205.05    834.48
09:24:06  13658.36    863.56
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:24:07  15361.51    970.83
09:24:08  15390.31    972.50
09:24:09  14586.36    921.76
09:24:10  16018.39   1012.26
09:24:11  14999.75    947.96
09:24:12  15461.85    977.00
09:24:13   7279.63    460.06
09:24:14      6.92      0.76
09:24:15   5981.92    378.60
09:24:16  14801.61    935.63
09:24:17  15137.88    956.40
09:24:18  15572.34    984.00
09:24:19  15244.11    963.48
09:24:20  14695.99    928.39
09:24:21  13564.95    857.65
09:24:22  14027.98    885.97
09:24:23  14379.01    908.67
09:24:24  13863.20    876.07
09:24:25  14810.18    936.13
09:24:26  14457.06    913.38
09:24:27  14749.05    932.19
09:24:28  13596.59    859.22
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:24:29  11663.19    737.04
09:24:30  11117.28    702.88
09:24:31  10858.56    685.98
09:24:32  11779.21    744.52
09:24:33  10353.60    654.07
09:24:34  11029.29    696.89
09:24:35  10377.68    656.09
09:24:36  10956.87    692.33
09:24:37  11029.16    697.12
09:24:38  10700.90    675.85
09:24:39  11369.43    718.76
09:24:40  11384.47    719.43
09:24:41  10924.25    689.98
09:24:42  11074.12    699.82
09:24:43  10469.18    661.73
