Linux 4.4.0-142-generic (vm) 	2024-08-17 	_x86_64_	(1 CPU)

10:40:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:40:03     all   54.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   21.00
10:40:04     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:40:05     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:06     all    0.00    0.00    1.00    5.00    0.00    0.00    0.00    0.00    0.00   94.00
10:40:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:11     all    2.00    0.00    1.00    7.00    0.00    0.00    0.00    0.00    0.00   90.00
10:40:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:13     all    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
10:40:14     all   25.00    5.00    9.00    2.00    0.00    0.00    0.00    0.00    0.00   59.00
10:40:15     all    1.01   95.96    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:40:16     all    5.94   22.77   19.80   24.75    0.00    0.00    0.00    0.00    0.00   26.73
10:40:17     all    5.00    0.00    3.00    9.00    0.00    0.00    0.00    0.00    0.00   83.00
10:40:18     all   22.00    0.00    3.00    3.00    0.00    0.00    0.00    0.00    0.00   72.00
10:40:19     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:40:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:21     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:22     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
10:40:23     all    5.94    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   91.09
10:40:24     all   20.20    0.00   13.13    0.00    0.00    0.00    0.00    0.00    0.00   66.67
10:40:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:26     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:27     all    0.99    0.00    0.00    3.96    0.00    0.00    0.00    0.00    0.00   95.05
10:40:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:29     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:30     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:33     all    1.98    0.00    0.00    7.92    0.00    0.00    0.00    0.00    0.00   90.10
