Linux 4.4.0-142-generic (vm) 	2024-08-17 	_x86_64_	(1 CPU)

19:01:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:01:33     all   54.90    0.00   21.57    0.98    0.00    0.00    0.00    0.00    0.00   22.55
19:01:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:37     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
19:01:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:39     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:01:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:41     all    1.02    0.00    2.04   96.94    0.00    0.00    0.00    0.00    0.00    0.00
19:01:42     all    0.98    0.00    2.94   33.33    0.00    0.00    0.00    0.00    0.00   62.75
19:01:43     all   10.10    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   85.86
19:01:44     all   21.00   31.00   15.00    1.00    0.00    0.00    0.00    0.00    0.00   32.00
19:01:45     all    2.00   90.00    6.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:01:46     all    4.04    0.00    8.08   15.15    0.00    0.00    0.00    0.00    0.00   72.73
19:01:47     all   28.57    0.00    2.04    3.06    0.00    0.00    0.00    0.00    0.00   66.33
19:01:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:49     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:01:50     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
19:01:51     all    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
19:01:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:53     all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
19:01:54     all   30.30    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   61.62
19:01:55     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:56     all    0.00    0.00    0.00    7.92    0.00    0.00    0.00    0.00    0.00   92.08
19:01:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:01:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:00     all    4.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.96
19:02:01     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:02     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
19:02:03     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:02:05     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:02:06     all   25.00    0.00   21.88    0.00    0.00    4.17    0.00    0.00    0.00   48.96
19:02:07     all   47.47    0.00   17.17    2.02    0.00    3.03    0.00    0.00    0.00   30.30
19:02:08     all   35.48    0.00   23.66    0.00    0.00    2.15    0.00    0.00    0.00   38.71
19:02:09     all   38.89    0.00   20.00    0.00    0.00    5.56    0.00    0.00    0.00   35.56
19:02:10     all   32.97    0.00   23.08    0.00    0.00    4.40    0.00    0.00    0.00   39.56
19:02:11     all   28.89    0.00   20.00    0.00    0.00    4.44    0.00    0.00    0.00   46.67
19:02:12     all   33.70    0.00   19.57    0.00    0.00    3.26    0.00    0.00    0.00   43.48
19:02:13     all   27.37    0.00   23.16    0.00    0.00    2.11    0.00    0.00    0.00   47.37
19:02:14     all   20.24    0.00   23.81    0.00    0.00    4.76    0.00    0.00    0.00   51.19
19:02:15     all   41.30    0.00   27.17    0.00    0.00    3.26    0.00    0.00    0.00   28.26
19:02:16     all   44.09    0.00   19.35    0.00    0.00    4.30    0.00    0.00    0.00   32.26
19:02:17     all   34.04    0.00   19.15    0.00    0.00    2.13    0.00    0.00    0.00   44.68
19:02:18     all   34.48    0.00   21.84    3.45    0.00    5.75    0.00    0.00    0.00   34.48
19:02:19     all   52.58    0.00   16.49    0.00    0.00    4.12    0.00    0.00    0.00   26.80
19:02:20     all   34.41    0.00   18.28    0.00    0.00    2.15    0.00    0.00    0.00   45.16
19:02:21     all   35.16    0.00   20.88    0.00    0.00    3.30    0.00    0.00    0.00   40.66
19:02:22     all   32.95    0.00   23.86    0.00    0.00    4.55    0.00    0.00    0.00   38.64
19:02:23     all   43.96    0.00   16.48    2.20    0.00    2.20    0.00    0.00    0.00   35.16
19:02:24     all   33.33    0.00   22.99    0.00    0.00    3.45    0.00    0.00    0.00   40.23
19:02:25     all   37.50    0.00   18.18    0.00    0.00    3.41    0.00    0.00    0.00   40.91
19:02:26     all   39.78    0.00   19.35    0.00    0.00    2.15    0.00    0.00    0.00   38.71
19:02:27     all   45.83    0.00   18.75    0.00    0.00    3.12    0.00    0.00    0.00   32.29
19:02:28     all   44.90    0.00   16.33    2.04    0.00    6.12    0.00    0.00    0.00   30.61
19:02:29     all   41.49    0.00   18.09    1.06    0.00    3.19    0.00    0.00    0.00   36.17
19:02:30     all   39.13    0.00   22.83    0.00    0.00    3.26    0.00    0.00    0.00   34.78
19:02:31     all   42.39    0.00   18.48    0.00    0.00    1.09    0.00    0.00    0.00   38.04
19:02:32     all   27.78    0.00   17.78    0.00    0.00    4.44    0.00    0.00    0.00   50.00
19:02:33     all   43.16    0.00   17.89    0.00    0.00    2.11    0.00    0.00    0.00   36.84
19:02:34     all   59.78    0.00   11.96    0.00    0.00    0.00    0.00    0.00    0.00   28.26
19:02:35     all   40.62    0.00   14.58    0.00    0.00    3.12    0.00    0.00    0.00   41.67
19:02:36     all   35.87    0.00   18.48    0.00    0.00    2.17    0.00    0.00    0.00   43.48
19:02:37     all   34.83    0.00   19.10    0.00    0.00    1.12    0.00    0.00    0.00   44.94
19:02:38     all   32.29    0.00   19.79    0.00    0.00    2.08    0.00    0.00    0.00   45.83
19:02:39     all   39.78    0.00   15.05    2.15    0.00    2.15    0.00    0.00    0.00   40.86
19:02:40     all   26.60    0.00   23.40    0.00    0.00    3.19    0.00    0.00    0.00   46.81
19:02:41     all   33.33    0.00   20.00    0.00    0.00    1.11    0.00    0.00    0.00   45.56
19:02:42     all   35.48    0.00   18.28    0.00    0.00    2.15    0.00    0.00    0.00   44.09
19:02:43     all   37.63    0.00   19.35    1.08    0.00    2.15    0.00    0.00    0.00   39.78
19:02:44     all   25.81    0.00   22.58    1.08    0.00    4.30    0.00    0.00    0.00   46.24
19:02:45     all   25.00    0.00   20.24    3.57    0.00    3.57    0.00    0.00    0.00   47.62
19:02:46     all   34.74    0.00   22.11    0.00    0.00    6.32    0.00    0.00    0.00   36.84
19:02:47     all   45.74    0.00   18.09    0.00    0.00    2.13    0.00    0.00    0.00   34.04
19:02:48     all   39.18    0.00   23.71    0.00    0.00    3.09    0.00    0.00    0.00   34.02
19:02:49     all   47.00    0.00   17.00    0.00    0.00    4.00    0.00    0.00    0.00   32.00
19:02:50     all   43.68    0.00   16.09    3.45    0.00    2.30    0.00    0.00    0.00   34.48
19:02:51     all   41.67    0.00   21.88    0.00    0.00    3.12    0.00    0.00    0.00   33.33
19:02:52     all   22.35    0.00   23.53    0.00    0.00    2.35    0.00    0.00    0.00   51.76
19:02:53     all   24.42    0.00   25.58    0.00    0.00    1.16    0.00    0.00    0.00   48.84
19:02:54     all   18.60    0.00   25.58    0.00    0.00    3.49    0.00    0.00    0.00   52.33
19:02:55     all   20.93    0.00   25.58    2.33    0.00    4.65    0.00    0.00    0.00   46.51
19:02:56     all   19.32    0.00   27.27    0.00    0.00    3.41    0.00    0.00    0.00   50.00
19:02:57     all   18.28    0.00   33.33    0.00    0.00    2.15    0.00    0.00    0.00   46.24
19:02:58     all   26.32    0.00   29.47    0.00    0.00    3.16    0.00    0.00    0.00   41.05
19:02:59     all   34.41    0.00   19.35    0.00    0.00    2.15    0.00    0.00    0.00   44.09
19:03:00     all   28.72    0.00   25.53    0.00    0.00    1.06    0.00    0.00    0.00   44.68
19:03:01     all   27.17    0.00   23.91    4.35    0.00    1.09    0.00    0.00    0.00   43.48
19:03:02     all   21.88    0.00   29.17    0.00    0.00    3.12    0.00    0.00    0.00   45.83
19:03:03     all   13.48    0.00   34.83    0.00    0.00    1.12    0.00    0.00    0.00   50.56
19:03:04     all   21.88    0.00   30.21    0.00    0.00    4.17    0.00    0.00    0.00   43.75
19:03:05     all   55.00    0.00   18.00    0.00    0.00    2.00    0.00    0.00    0.00   25.00
19:03:06     all   70.10    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   20.62
19:03:07     all   21.28    0.00   26.60    0.00    0.00    5.32    0.00    0.00    0.00   46.81
19:03:08     all   31.58    0.00   27.37    0.00    0.00    2.11    0.00    0.00    0.00   38.95
19:03:09     all   35.56    0.00   20.00    0.00    0.00    2.22    0.00    0.00    0.00   42.22
19:03:10     all   15.22    0.00   31.52    0.00    0.00    2.17    0.00    0.00    0.00   51.09
19:03:11     all   26.04    0.00   25.00    3.12    0.00    3.12    0.00    0.00    0.00   42.71
19:03:12     all   34.78    0.00   22.83    0.00    0.00    2.17    0.00    0.00    0.00   40.22
19:03:13     all   41.84    0.00   21.43    0.00    0.00    3.06    0.00    0.00    0.00   33.67
19:03:14     all   40.00    0.00   21.05    0.00    0.00    2.11    0.00    0.00    0.00   36.84
19:03:15     all   40.43    0.00   19.15    0.00    0.00    4.26    0.00    0.00    0.00   36.17
19:03:16     all   38.30    0.00   22.34    3.19    0.00    4.26    0.00    0.00    0.00   31.91
19:03:17     all   39.58    0.00   19.79    0.00    0.00    4.17    0.00    0.00    0.00   36.46
19:03:18     all   35.79    0.00   25.26    0.00    0.00    2.11    0.00    0.00    0.00   36.84
19:03:19     all   30.93    0.00   26.80    0.00    0.00    3.09    0.00    0.00    0.00   39.18
19:03:20     all   41.49    0.00   18.09    0.00    0.00    4.26    0.00    0.00    0.00   36.17
19:03:21     all   41.41    0.00   20.20    0.00    0.00    4.04    0.00    0.00    0.00   34.34
19:03:22     all   32.98    0.00   28.72    2.13    0.00    2.13    0.00    0.00    0.00   34.04
19:03:23     all   41.41    0.00   18.18    0.00    0.00    6.06    0.00    0.00    0.00   34.34
19:03:24     all   37.11    0.00   22.68    0.00    0.00    6.19    0.00    0.00    0.00   34.02
19:03:25     all   38.46    0.00   19.78    0.00    0.00    3.30    0.00    0.00    0.00   38.46
19:03:26     all   41.94    0.00   19.35    0.00    0.00    4.30    0.00    0.00    0.00   34.41
19:03:27     all   43.48    0.00   17.39    3.26    0.00    3.26    0.00    0.00    0.00   32.61
19:03:28     all   40.00    0.00   22.22    0.00    0.00    3.33    0.00    0.00    0.00   34.44
19:03:29     all   39.58    0.00   19.79    0.00    0.00    3.12    0.00    0.00    0.00   37.50
19:03:30     all   40.00    0.00   15.56    0.00    0.00    1.11    0.00    0.00    0.00   43.33
19:03:31     all   45.45    0.00   13.64    0.00    0.00    2.27    0.00    0.00    0.00   38.64
19:03:32     all   43.48    0.00   19.57    2.17    0.00    2.17    0.00    0.00    0.00   32.61
19:03:33     all   31.52    0.00   23.91    0.00    0.00    3.26    0.00    0.00    0.00   41.30
19:03:34     all   39.33    0.00   17.98    0.00    0.00    4.49    0.00    0.00    0.00   38.20
19:03:35     all   31.11    0.00   18.89    0.00    0.00    3.33    0.00    0.00    0.00   46.67
19:03:36     all   31.91    0.00   25.53    0.00    0.00    3.19    0.00    0.00    0.00   39.36
19:03:37     all   43.75    0.00   20.83    0.00    0.00    3.12    0.00    0.00    0.00   32.29
19:03:38     all   35.87    0.00   22.83    2.17    0.00    4.35    0.00    0.00    0.00   34.78
19:03:39     all   41.24    0.00   23.71    0.00    0.00    2.06    0.00    0.00    0.00   32.99
19:03:40     all   29.03    0.00   23.66    0.00    0.00    3.23    0.00    0.00    0.00   44.09
19:03:41     all   29.47    0.00   24.21    0.00    0.00    4.21    0.00    0.00    0.00   42.11
19:03:42     all   43.62    0.00   19.15    0.00    0.00    3.19    0.00    0.00    0.00   34.04
19:03:43     all   43.56    0.00   19.80    2.97    0.00    2.97    0.00    0.00    0.00   30.69
19:03:44     all   40.78    0.00   21.36    0.00    0.00    4.85    0.00    0.00    0.00   33.01
19:03:45     all   31.73    0.00   22.12    0.00    0.00    2.88    0.00    0.00    0.00   43.27
19:03:46     all   34.62    0.00   27.88    0.00    0.00    4.81    0.00    0.00    0.00   32.69
19:03:47     all   30.93    0.00   18.56    0.00    0.00    5.15    0.00    0.00    0.00   45.36
19:03:48     all   27.45    0.00   24.51    3.92    0.00    4.90    0.00    0.00    0.00   39.22
19:03:49     all   25.00    0.00   28.00    0.00    0.00    3.00    0.00    0.00    0.00   44.00
19:03:50     all   23.47    0.00   28.57    0.00    0.00    4.08    0.00    0.00    0.00   43.88
19:03:51     all   36.46    0.00   21.88    0.00    0.00    3.12    0.00    0.00    0.00   38.54
19:03:52     all   33.67    0.00   23.47    0.00    0.00    2.04    0.00    0.00    0.00   40.82
19:03:53     all   34.02    0.00   22.68    0.00    0.00    5.15    0.00    0.00    0.00   38.14
19:03:54     all   40.82    0.00   23.47    2.04    0.00    3.06    0.00    0.00    0.00   30.61
19:03:55     all   43.69    0.00   20.39    0.00    0.00    3.88    0.00    0.00    0.00   32.04
19:03:56     all   46.00    0.00   20.00    0.00    0.00    3.00    0.00    0.00    0.00   31.00
19:03:57     all   43.14    0.00   20.59    0.00    0.00    5.88    0.00    0.00    0.00   30.39
19:03:58     all   38.38    0.00   24.24    0.00    0.00    3.03    0.00    0.00    0.00   34.34
19:03:59     all   38.54    0.00   20.83    2.08    0.00    4.17    0.00    0.00    0.00   34.38
19:04:00     all   45.92    0.00   22.45    0.00    0.00    4.08    0.00    0.00    0.00   27.55
19:04:01     all   46.94    0.00   19.39    0.00    0.00    4.08    0.00    0.00    0.00   29.59
19:04:02     all   28.87    0.00   22.68    0.00    0.00    3.09    0.00    0.00    0.00   45.36
19:04:03     all   67.35    0.00   12.24    0.00    0.00    2.04    0.00    0.00    0.00   18.37
19:04:04     all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:04:05     all   73.96    0.00   10.42    0.00    0.00    1.04    0.00    0.00    0.00   14.58
19:04:06     all   40.00    0.00   26.00    0.00    0.00    2.00    0.00    0.00    0.00   32.00
19:04:07     all   32.26    0.00   22.58    0.00    0.00    4.30    0.00    0.00    0.00   40.86
19:04:08     all   25.81    0.00   23.66    0.00    0.00    4.30    0.00    0.00    0.00   46.24
19:04:09     all   31.18    0.00   25.81    0.00    0.00    2.15    0.00    0.00    0.00   40.86
19:04:10     all   42.86    0.00   22.45    3.06    0.00    4.08    0.00    0.00    0.00   27.55
19:04:11     all   46.32    0.00   17.89    0.00    0.00    4.21    0.00    0.00    0.00   31.58
19:04:12     all   41.24    0.00   22.68    0.00    0.00    5.15    0.00    0.00    0.00   30.93
19:04:13     all   43.75    0.00   21.88    0.00    0.00    3.12    0.00    0.00    0.00   31.25
19:04:14     all   45.45    0.00   19.19    0.00    0.00    4.04    0.00    0.00    0.00   31.31
19:04:15     all   44.90    0.00   19.39    3.06    0.00    3.06    0.00    0.00    0.00   29.59
19:04:16     all   34.07    0.00   24.18    0.00    0.00    4.40    0.00    0.00    0.00   37.36
19:04:17     all   43.16    0.00   17.89    0.00    0.00    3.16    0.00    0.00    0.00   35.79
19:04:18     all   47.83    0.00   16.30    0.00    0.00    3.26    0.00    0.00    0.00   32.61
19:04:19     all   36.73    0.00   20.41    0.00    0.00    2.04    0.00    0.00    0.00   40.82
19:04:20     all   20.83    0.00   26.04    4.17    0.00    5.21    0.00    0.00    0.00   43.75
19:04:21     all   26.60    0.00   24.47    0.00    0.00    2.13    0.00    0.00    0.00   46.81
19:04:22     all   28.57    0.00   24.49    0.00    0.00    2.04    0.00    0.00    0.00   44.90
19:04:23     all   22.02    0.00   33.94    0.00    0.00    3.67    0.00    0.00    0.00   40.37
19:04:24     all   26.47    0.00   27.45    0.00    0.00    4.90    0.00    0.00    0.00   41.18
19:04:25     all   20.79    0.00   29.70    0.00    0.00    4.95    0.00    0.00    0.00   44.55
19:04:26     all   32.29    0.00   21.88    2.08    0.00    3.12    0.00    0.00    0.00   40.62
19:04:27     all   36.84    0.00   15.79    0.00    0.00    3.16    0.00    0.00    0.00   44.21
19:04:28     all   40.22    0.00   17.39    0.00    0.00    2.17    0.00    0.00    0.00   40.22
19:04:29     all   60.00    0.00   11.00    0.00    0.00    3.00    0.00    0.00    0.00   26.00
19:04:30     all   48.00    0.00   13.00    0.00    0.00    2.00    0.00    0.00    0.00   37.00
19:04:31     all   46.08    0.00   15.69    3.92    0.00    2.94    0.00    0.00    0.00   31.37
19:04:32     all   40.62    0.00   15.62    0.00    0.00    1.04    0.00    0.00    0.00   42.71
Average:     all   30.94    0.70   17.63    1.44    0.00    2.60    0.00    0.00    0.00   46.68
