  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
20:33:30      0.12      0.06
20:33:31      0.00      0.00
20:33:32      0.33      0.00
20:33:33      0.06      0.06
20:33:34      0.00      0.00
20:33:35      0.00      0.00
20:33:36      0.33      0.00
20:33:37      0.00      0.04
20:33:38      0.06      0.00
20:33:39      2.00      0.50
20:33:40      1.66      3.03
20:33:41      0.00      0.00
20:33:42      0.00      0.00
20:33:43      0.00      0.00
20:33:44      0.00      0.00
20:33:45      0.00      0.00
20:33:46      0.06      0.00
20:33:47      0.00      0.00
20:33:48      0.00      0.00
20:33:49      2.11      2.21
20:33:50      1.71      1.77
20:33:51      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
20:33:52      0.00      0.00
20:33:53      0.00      0.00
20:33:54      0.39      0.00
20:33:55      0.06      0.00
20:33:56      0.00      0.00
20:33:57      0.12      0.00
20:33:58      0.33      0.00
20:33:59      0.00      0.00
20:34:00      0.06      0.00
20:34:01      0.00      0.00
20:34:02  12997.02    821.60
20:34:03  16191.43   1023.27
20:34:04  15812.31    999.60
20:34:05  16698.37   1055.31
20:34:06  17031.69   1075.94
20:34:07  15068.13    952.36
20:34:08  15374.27    971.53
20:34:09  12419.70    785.09
20:34:10  14021.79    886.02
20:34:11  15588.27    985.44
20:34:12  16725.01   1056.90
20:34:13  14243.97    899.77
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
20:34:14  15187.91    959.78
20:34:15  15962.71   1008.67
20:34:16  11278.46    713.17
20:34:17  14946.76    944.99
20:34:18  13769.78    870.02
20:34:19  14654.50    926.07
20:34:20  13063.09    825.65
20:34:21  14877.38    940.45
20:34:22  14950.66    944.72
20:34:23  15695.54    991.57
20:34:24  15224.37    962.09
20:34:25  14733.19    931.18
20:34:26  14843.55    937.93
20:34:27  13820.10    873.49
20:34:28  14236.41    899.80
20:34:29  14084.04    889.66
20:34:30  13881.37    877.41
20:34:31  14763.97    932.84
20:34:32   7745.36    490.16
20:34:33  14917.15    942.60
20:34:34  15048.97    951.34
20:34:35  14613.46    923.12
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
20:34:36  14745.03    932.30
20:34:37  14764.42    932.52
20:34:38  15082.13    953.24
20:34:39  13119.01    828.97
20:34:40  14550.76    919.45
20:34:41  14927.71    943.42
20:34:42  14915.44    942.71
20:34:43  13861.94    876.09
20:34:44  15365.46    970.91
20:34:45  15032.84    949.91
20:34:46  15320.30    968.58
20:34:47  14541.77    918.51
20:34:48  15208.47    961.49
