  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:11:03      0.00      0.00
21:11:04      0.00      0.00
21:11:05      0.45      0.00
21:11:06      0.06      0.06
21:11:07      0.06      0.00
21:11:08      0.00      0.00
21:11:09      0.00      0.00
21:11:10      0.06      0.04
21:11:11      0.00      0.00
21:11:12      0.24      0.26
21:11:13      3.01      3.27
21:11:14      0.00      0.00
21:11:15      0.00      0.00
21:11:16      0.33      0.00
21:11:17      0.00      0.00
21:11:18      0.00      0.00
21:11:19      0.39      0.00
21:11:20      0.00      0.00
21:11:21      0.00      0.00
21:11:22      2.17      0.47
21:11:23      1.71      3.50
21:11:24      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:11:25      0.00      0.00
21:11:26      0.00      0.00
21:11:27      0.06      0.00
21:11:28      0.00      0.00
21:11:29      0.00      0.00
21:11:30      0.00      0.00
21:11:31      0.00      0.00
21:11:32      0.00      0.00
21:11:33      0.00      0.00
21:11:34      0.33      0.00
21:11:35  11740.79    742.21
21:11:36  18007.13   1138.08
21:11:37  17773.79   1123.10
21:11:38  17562.77   1109.86
21:11:39  15806.39    998.94
21:11:40  15909.66   1005.39
21:11:41  15507.02    980.25
21:11:42  15563.46    983.94
21:11:43  16008.72   1011.72
21:11:44  16928.63   1069.71
21:11:45  16747.56   1058.05
21:11:46  16534.16   1045.22
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:11:47  17567.76   1109.81
21:11:48  13756.84    870.49
21:11:49  16346.05   1032.97
21:11:50  16565.21   1046.53
21:11:51  16566.49   1046.76
21:11:52  16434.26   1038.81
21:11:53  15667.78    990.25
21:11:54  16041.93   1013.32
21:11:55  16660.46   1052.96
21:11:56  16152.93   1020.69
21:11:57  14841.75    938.34
21:11:58  14120.61    891.83
21:11:59  15196.52    960.74
21:12:00  15577.68    984.12
21:12:01  15609.93    986.52
21:12:02  15316.34    967.75
21:12:03   6856.77    434.08
21:12:04  16231.64   1026.10
21:12:05  15432.81    975.11
21:12:06  15238.63    962.98
21:12:07  16052.99   1014.45
21:12:08  13613.78    860.52
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:12:09  13923.93    879.40
21:12:10  15156.81    957.87
21:12:11  14219.84    898.53
21:12:12  13722.78    867.48
21:12:13  14307.68    904.28
21:12:14  15355.04    970.14
21:12:15  13499.19    853.35
21:12:16  12141.55    767.16
21:12:17  12781.18    807.53
21:12:18  12160.97    768.50
21:12:19  12349.06    780.60
21:12:20  13946.07    881.23
21:12:21  11962.20    755.94
21:12:22  13304.78    840.63
21:12:23  12747.01    805.46
21:12:24  11438.05    723.25
21:12:25  11034.49    697.15
21:12:26  13178.97    833.05
21:12:27  12530.01    791.75
21:12:28  13188.82    833.28
21:12:29  13354.10    843.75
21:12:30  13607.75    860.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
21:12:31  11757.17    742.82
21:12:32   9745.49    616.29
21:12:33   3520.18    222.16
21:12:34   5042.94    319.68
21:12:35   4837.95    305.35
