Linux 4.4.0-142-generic (vm) 	2024-08-17 	_x86_64_	(1 CPU)

05:06:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:06:10     all   56.57    0.00   20.20    3.03    0.00    0.00    0.00    0.00    0.00   20.20
05:06:11     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:12     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:06:13     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:15     all    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
05:06:16     all    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:06:17     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:19     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:06:20     all    5.05    0.00    6.06   63.64    0.00    0.00    0.00    0.00    0.00   25.25
05:06:21     all   20.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   72.00
05:06:22     all    8.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   88.00
05:06:23     all    0.00    8.16    3.06    0.00    0.00    0.00    0.00    0.00    0.00   88.78
05:06:24     all    0.00   98.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:06:25     all   10.78   61.76   15.69   11.76    0.00    0.00    0.00    0.00    0.00    0.00
05:06:26     all    8.00   85.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:06:27     all   10.10   87.88    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:06:28     all    0.99   92.08    1.98    4.95    0.00    0.00    0.00    0.00    0.00    0.00
05:06:29     all   15.15   56.57   11.11   15.15    0.00    0.00    0.00    0.00    0.00    2.02
05:06:30     all   48.98    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   43.88
05:06:31     all   39.22    0.00   13.73    0.98    0.00    0.00    0.00    0.00    0.00   46.08
05:06:32     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:06:33     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:34     all    0.00    0.00    1.00    6.00    0.00    0.00    0.00    0.00    0.00   93.00
05:06:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:40     all    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
05:06:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:06:43     all   26.44    0.00   21.84    0.00    0.00    3.45    0.00    0.00    0.00   48.28
05:06:44     all   26.04    0.00   22.92    0.00    0.00    5.21    0.00    0.00    0.00   45.83
05:06:45     all   28.12    0.00   17.71   27.08    0.00    5.21    0.00    0.00    0.00   21.88
05:06:46     all   23.96    0.00   25.00    5.21    0.00    4.17    0.00    0.00    0.00   41.67
05:06:47     all   17.71    0.00   23.96    0.00    0.00    5.21    0.00    0.00    0.00   53.12
05:06:48     all   25.00    0.00   25.00    0.00    0.00    2.08    0.00    0.00    0.00   47.92
05:06:49     all   14.71    0.00   33.33    0.00    0.00    5.88    0.00    0.00    0.00   46.08
05:06:50     all   25.00    0.00   28.85    1.92    0.00    1.92    0.00    0.00    0.00   42.31
05:06:51     all   16.48    0.00   25.27    0.00    0.00    3.30    0.00    0.00    0.00   54.95
05:06:52     all   28.12    0.00   21.88    0.00    0.00    5.21    0.00    0.00    0.00   44.79
05:06:53     all   24.24    0.00   27.27    0.00    0.00    2.02    0.00    0.00    0.00   46.46
05:06:54     all   18.75    0.00   28.12    0.00    0.00    4.17    0.00    0.00    0.00   48.96
05:06:55     all   19.44    0.00   32.41    0.00    0.00    2.78    0.00    0.00    0.00   45.37
05:06:56     all   22.45    0.00   26.53    2.04    0.00    2.04    0.00    0.00    0.00   46.94
05:06:57     all   41.49    0.00   13.83    0.00    0.00    2.13    0.00    0.00    0.00   42.55
05:06:58     all   19.78    0.00   20.88    0.00    0.00    4.40    0.00    0.00    0.00   54.95
05:06:59     all   25.00    0.00   19.32    0.00    0.00    1.14    0.00    0.00    0.00   54.55
05:07:00     all   29.13    0.00   19.42    0.00    0.00    3.88    0.00    0.00    0.00   47.57
05:07:01     all   16.35    0.00   30.77    2.88    0.00    5.77    0.00    0.00    0.00   44.23
05:07:02     all   16.33    0.00   29.59    0.00    0.00    1.02    0.00    0.00    0.00   53.06
05:07:03     all   16.83    0.00   28.71    0.00    0.00    2.97    0.00    0.00    0.00   51.49
05:07:04     all   24.47    0.00   24.47    0.00    0.00    3.19    0.00    0.00    0.00   47.87
05:07:05     all   25.56    0.00   20.00    0.00    0.00    5.56    0.00    0.00    0.00   48.89
05:07:06     all   24.24    0.00   29.29    1.01    0.00    2.02    0.00    0.00    0.00   43.43
05:07:07     all   25.25    0.00   22.22    0.00    0.00    8.08    0.00    0.00    0.00   44.44
05:07:08     all   27.66    0.00   18.09    0.00    0.00    6.38    0.00    0.00    0.00   47.87
05:07:09     all   16.50    0.00   30.10    0.00    0.00    5.83    0.00    0.00    0.00   47.57
05:07:10     all   25.00    0.00   22.12    0.00    0.00    5.77    0.00    0.00    0.00   47.12
05:07:11     all   18.00    0.00   28.00    0.00    0.00    4.00    0.00    0.00    0.00   50.00
05:07:12     all   25.53    0.00   24.47    2.13    0.00    2.13    0.00    0.00    0.00   45.74
05:07:13     all   49.46    0.00   12.90    0.00    0.00    3.23    0.00    0.00    0.00   34.41
05:07:14     all   20.83    0.00   25.00    0.00    0.00    4.17    0.00    0.00    0.00   50.00
05:07:15     all   15.22    0.00   26.09    0.00    0.00    4.35    0.00    0.00    0.00   54.35
05:07:16     all   10.64    0.00   28.72    0.00    0.00    5.32    0.00    0.00    0.00   55.32
05:07:17     all   19.10    0.00   24.72    4.49    0.00    3.37    0.00    0.00    0.00   48.31
05:07:18     all   18.09    0.00   21.28    0.00    0.00    5.32    0.00    0.00    0.00   55.32
05:07:19     all   13.33    0.00   24.44    0.00    0.00    5.56    0.00    0.00    0.00   56.67
05:07:20     all   22.58    0.00   20.43    0.00    0.00    3.23    0.00    0.00    0.00   53.76
05:07:21     all   18.18    0.00   23.86    0.00    0.00    4.55    0.00    0.00    0.00   53.41
05:07:22     all   16.84    0.00   25.26    1.05    0.00    7.37    0.00    0.00    0.00   49.47
05:07:23     all   16.84    0.00   21.05    0.00    0.00    5.26    0.00    0.00    0.00   56.84
05:07:24     all   30.53    0.00   18.95    0.00    0.00    4.21    0.00    0.00    0.00   46.32
05:07:25     all   23.33    0.00   20.00    0.00    0.00    3.33    0.00    0.00    0.00   53.33
05:07:26     all   25.81    0.00   19.35    0.00    0.00    3.23    0.00    0.00    0.00   51.61
05:07:27     all   19.10    0.00   21.35    2.25    0.00    6.74    0.00    0.00    0.00   50.56
05:07:28     all   13.68    0.00   28.42    0.00    0.00    6.32    0.00    0.00    0.00   51.58
05:07:29     all   22.47    0.00   17.98    0.00    0.00    6.74    0.00    0.00    0.00   52.81
05:07:30     all   21.51    0.00   24.73    0.00    0.00    5.38    0.00    0.00    0.00   48.39
05:07:31     all   25.00    0.00   23.96    0.00    0.00    3.12    0.00    0.00    0.00   47.92
05:07:32     all   16.48    0.00   21.98    0.00    0.00    4.40    0.00    0.00    0.00   57.14
05:07:33     all   24.14    0.00   18.39    3.45    0.00    2.30    0.00    0.00    0.00   51.72
05:07:34     all   23.33    0.00   17.78    0.00    0.00    4.44    0.00    0.00    0.00   54.44
05:07:35     all   29.03    0.00   20.43    0.00    0.00    3.23    0.00    0.00    0.00   47.31
05:07:36     all   16.67    0.00   23.33    0.00    0.00    7.78    0.00    0.00    0.00   52.22
05:07:37     all   14.61    0.00   23.60    0.00    0.00    6.74    0.00    0.00    0.00   55.06
05:07:38     all   13.25    0.00   24.10    3.61    0.00    3.61    0.00    0.00    0.00   55.42
05:07:39     all   22.22    0.00   23.33    0.00    0.00    3.33    0.00    0.00    0.00   51.11
05:07:40     all   27.37    0.00   21.05    0.00    0.00    3.16    0.00    0.00    0.00   48.42
05:07:41     all   20.88    0.00   20.88    0.00    0.00    5.49    0.00    0.00    0.00   52.75
05:07:42     all   18.75    0.00   22.92    0.00    0.00    6.25    0.00    0.00    0.00   52.08
05:07:43     all   73.27    0.00    8.91    0.00    0.00    1.98    0.00    0.00    0.00   15.84
05:07:44     all   55.79    0.00   12.63    0.00    0.00    2.11    0.00    0.00    0.00   29.47
05:07:45     all   17.07    0.00   19.51    0.00    0.00    7.32    0.00    0.00    0.00   56.10
05:07:46     all   21.11    0.00   21.11    0.00    0.00    3.33    0.00    0.00    0.00   54.44
05:07:47     all   15.19    0.00   20.25    0.00    0.00    5.06    0.00    0.00    0.00   59.49
05:07:48     all   15.58    0.00   12.99    0.00    0.00    2.60    0.00    0.00    0.00   68.83
05:07:49     all   18.75    0.00   18.75    3.75    0.00    3.75    0.00    0.00    0.00   55.00
05:07:50     all   15.19    0.00   17.72    0.00    0.00    2.53    0.00    0.00    0.00   64.56
05:07:51     all   12.66    0.00   18.99    0.00    0.00    6.33    0.00    0.00    0.00   62.03
05:07:52     all   16.05    0.00   18.52    0.00    0.00    1.23    0.00    0.00    0.00   64.20
