  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:04:41      0.00      0.00
07:04:42      0.00      0.00
07:04:43      0.18      0.00
07:04:44      0.12      0.06
07:04:45      0.00      0.00
07:04:46      0.00      0.00
07:04:47      0.00      0.00
07:04:48      0.33      0.04
07:04:49      0.12      0.08
07:04:50      0.36      0.18
07:04:51      3.41      3.27
07:04:52      0.06      0.00
07:04:53      0.00      0.00
07:04:54      0.00      0.00
07:04:55      0.39      0.00
07:04:56      0.00      0.00
07:04:57      0.12      0.00
07:04:58      0.06      0.00
07:04:59      0.00      0.00
07:05:00      2.11      2.21
07:05:01      1.38      1.77
07:05:02      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:05:03      0.00      0.00
07:05:04      0.00      0.00
07:05:05      0.00      0.00
07:05:06      0.39      0.00
07:05:07      0.98      0.00
07:05:08      0.12      0.00
07:05:09      0.33      0.00
07:05:10      0.00      0.00
07:05:11      0.00      0.00
07:05:12      0.00      0.00
07:05:13  10138.83    641.32
07:05:14  17412.63   1100.15
07:05:15  20007.95   1264.31
07:05:16  17842.08   1127.44
07:05:17  15762.98    996.48
07:05:18  15510.13    979.78
07:05:19  15005.30    948.39
07:05:20  13327.17    842.51
07:05:21  15577.93    984.50
07:05:22  18326.65   1158.06
07:05:23  17254.62   1090.60
07:05:24  17707.29   1119.19
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:05:25  17704.60   1118.75
07:05:26  13011.56    822.34
07:05:27  15973.76   1009.81
07:05:28  15639.79    988.48
07:05:29  15724.04    993.37
07:05:30  18538.50   1172.02
07:05:31  16054.74   1014.25
07:05:32  14198.64    897.12
07:05:33  14451.99    913.20
07:05:34  14932.48    943.64
07:05:35  15012.28    948.97
07:05:36  13722.05    867.29
07:05:37  16876.30   1066.12
07:05:38  14631.94    924.94
07:05:39  16689.66   1054.61
07:05:40  15056.07    951.23
07:05:41   7072.63    447.34
07:05:42  11957.12    755.97
07:05:43  14805.52    935.62
07:05:44  15263.61    964.63
07:05:45  13092.90    827.37
07:05:46  15197.64    960.11
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:05:47  13912.25    879.38
07:05:48  15004.25    948.18
07:05:49  14593.87    922.22
07:05:50  14449.47    913.04
07:05:51  16081.20   1016.38
07:05:52  14087.01    890.69
07:05:53  14899.88    941.29
07:05:54  12621.27    797.73
07:05:55  13785.43    870.87
07:05:56  12856.34    812.65
07:05:57  10718.45    677.62
07:05:58  14168.29    894.84
07:05:59  13176.26    833.16
07:06:00  12127.64    766.01
07:06:01  13659.68    863.06
07:06:02  10821.99    683.96
07:06:03  13488.75    852.82
07:06:04  13124.85    828.98
07:06:05  15380.02    972.36
07:06:06  14342.42    905.92
07:06:07  13221.63    835.85
07:06:08  13484.71    852.15
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:06:09  10463.88    660.96
07:06:10   7271.41    459.44
07:06:11   5496.81    347.28
07:06:12   4027.62    255.02
07:06:13   4049.73    255.78
07:06:14   4623.66    292.29
07:06:15   4852.86    306.51
07:06:16   4062.29    256.69
07:06:17   3981.23    251.57
07:06:18   2771.76    175.89
07:06:19   3096.21    195.59
07:06:20   3803.94    240.39
07:06:21   2896.09    183.06
07:06:22   3405.33    215.12
07:06:23   3313.87    209.63
07:06:24   2539.12    160.46
07:06:25   3017.16    190.50
07:06:26   2995.16    189.34
07:06:28   2156.46    136.41
07:06:29      0.00      0.00
07:06:30      0.00      0.00
07:06:31      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
07:06:32      0.00      0.00
07:06:33      0.00      0.00
07:06:34      0.00      0.00
07:06:35      0.00      0.00
07:06:36      0.00      0.00
07:06:37      0.33      0.00
07:06:38      0.06      0.00
07:06:39      0.00      0.00
07:06:40      0.39      0.00
07:06:41      0.00      0.00
07:06:42      0.00      0.00
07:06:43      0.00      0.00
07:06:44     91.79      6.54
07:06:45   1038.30     65.83
07:06:46   1042.93     66.53
07:06:47   4266.44    269.61
07:06:48   4837.99    305.73
07:06:49   4379.77    276.69
07:06:50   4234.46    267.74
07:06:51   4496.02    284.05
07:06:52   3929.41    248.24
07:06:53   4308.18    272.25
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
