Linux 4.4.0-142-generic (vm) 	2024-08-15 	_x86_64_	(1 CPU)

06:10:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:10:21     all   50.98    0.00   27.45    0.00    0.00    0.98    0.00    0.00    0.00   20.59
06:10:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:23     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:10:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:25     all    0.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   94.00
06:10:26     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:27     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:28     all    0.00    0.00    2.00    3.00    0.00    0.00    0.00    0.00    0.00   95.00
06:10:29     all    1.01    0.00    1.01   34.34    0.00    0.00    0.00    0.00    0.00   63.64
06:10:30     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:10:31     all   12.12    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   82.83
06:10:32     all   21.00   25.00   10.00    2.00    0.00    0.00    0.00    0.00    0.00   42.00
06:10:33     all    0.00   94.95    4.04    1.01    0.00    0.00    0.00    0.00    0.00    0.00
06:10:34     all    7.00    1.00    9.00    9.00    0.00    0.00    0.00    0.00    0.00   74.00
06:10:35     all   22.22    0.00    3.03    3.03    0.00    0.00    0.00    0.00    0.00   71.72
06:10:36     all    4.95    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   93.07
06:10:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:38     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:10:39     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
06:10:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:41     all    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
06:10:42     all   26.47    0.00   11.76    0.98    0.00    0.00    0.00    0.00    0.00   60.78
06:10:43     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:44     all    0.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   94.00
06:10:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:46     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
06:10:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:49     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
06:10:50     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
06:10:51     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:53     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:10:54     all   13.79    0.00   28.74    0.00    0.00    2.30    0.00    0.00    0.00   55.17
06:10:55     all   17.71    0.00   28.12    2.08    0.00    6.25    0.00    0.00    0.00   45.83
06:10:56     all   14.29    0.00   29.67    0.00    0.00    6.59    0.00    0.00    0.00   49.45
06:10:57     all   22.58    0.00   26.88    0.00    0.00    3.23    0.00    0.00    0.00   47.31
06:10:58     all   24.24    0.00   24.24    0.00    0.00    4.04    0.00    0.00    0.00   47.47
06:10:59     all   21.35    0.00   23.60    0.00    0.00    4.49    0.00    0.00    0.00   50.56
06:11:00     all   21.98    0.00   26.37   12.09    0.00    3.30    0.00    0.00    0.00   36.26
06:11:01     all   27.27    0.00   29.29    6.06    0.00    1.01    0.00    0.00    0.00   36.36
06:11:02     all   25.56    0.00   25.56    0.00    0.00    3.33    0.00    0.00    0.00   45.56
06:11:03     all   28.87    0.00   29.90    0.00    0.00    2.06    0.00    0.00    0.00   39.18
