Linux 4.4.0-142-generic (vm) 	2024-08-19 	_x86_64_	(1 CPU)

14:21:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:21:17     all   62.00    0.00   23.00    1.00    0.00    0.00    0.00    0.00    0.00   14.00
14:21:18     all    1.02   62.24    3.06    0.00    0.00    0.00    0.00    0.00    0.00   33.67
14:21:19     all    5.94   55.45   13.86    2.97    0.00    0.00    0.00    0.00    0.00   21.78
14:21:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:21     all   26.00    0.00    6.00    3.00    0.00    0.00    0.00    0.00    0.00   65.00
14:21:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:23     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:24     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
14:21:25     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:26     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
14:21:27     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
14:21:28     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
14:21:29     all    0.99    0.00    0.00    8.91    0.00    0.00    0.00    0.00    0.00   90.10
14:21:30     all    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   97.00
14:21:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:32     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
14:21:33     all   22.45    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   70.41
14:21:34     all    0.00    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00   94.06
14:21:35     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
14:21:36     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
14:21:37     all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
14:21:38     all   27.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
14:21:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:40     all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
14:21:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:43     all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
