  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
14:34:47      0.00      0.00
14:34:48      0.06      0.00
14:34:49      0.00      0.00
14:34:50      0.39      0.06
14:34:51      0.00      0.00
14:34:52      0.00      0.00
14:34:53      0.06      0.00
14:34:54      0.00      0.00
14:34:55      0.00      0.04
14:34:56      2.00      0.50
14:34:57      1.26      3.03
14:34:58      0.00      0.00
14:34:59      0.00      0.00
14:35:00      0.00      0.00
14:35:01      0.33      0.00
14:35:02      0.06      0.00
14:35:03      0.00      0.00
14:35:04      0.39      0.00
14:35:05      0.00      0.00
14:35:06      2.17      2.21
14:35:07      1.38      1.77
14:35:08      0.33      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
14:35:09      0.00      0.00
14:35:10      0.06      0.00
14:35:11      0.00      0.00
14:35:12      0.00      0.00
14:35:13      0.08      0.06
14:35:14      0.00      0.00
14:35:15      0.06      0.00
14:35:16      0.00      0.00
14:35:17      0.00      0.00
14:35:18      0.14      0.08
14:35:19  10424.44    659.09
14:35:20  18802.11   1188.32
14:35:21  17505.67   1106.32
14:35:22  15379.56    971.73
14:35:23  13792.67    871.61
14:35:24  15127.67    955.76
14:35:25  16139.94   1020.09
14:35:26  11952.55    755.69
14:35:27  15044.34    950.64
14:35:28  14711.99    929.78
14:35:29  17665.07   1116.61
14:35:30  17087.72   1079.69
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
14:35:31  17758.00   1121.98
14:35:32  17969.04   1135.53
14:35:33  11696.59    740.36
14:35:34  16001.58   1010.91
14:35:35  14547.09    919.57
14:35:36  14719.13    930.16
14:35:37  15125.53    955.46
14:35:38  15472.49    977.84
14:35:39  15486.22    978.49
14:35:40  15067.11    952.34
14:35:41  17821.35   1126.27
14:35:42  17140.24   1083.23
14:35:43  16265.40   1027.95
14:35:44  15574.70    983.84
14:35:45  14779.38    934.25
14:35:46  14921.47    943.09
14:35:47  13577.36    857.57
14:35:48   7389.16    467.72
14:35:49  15043.50    950.66
14:35:50  17192.34   1086.45
14:35:51  17978.95   1136.52
14:35:52  16091.25   1016.72
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
14:35:53  15568.41    983.54
14:35:54  16232.33   1025.85
14:35:55  14889.42    940.83
14:35:56  13920.35    879.90
14:35:57  15594.24    985.75
14:35:58  15189.38    959.42
14:35:59  17115.42   1081.67
14:36:00  16079.04   1016.13
14:36:01  17607.26   1112.60
14:36:02  15244.87    963.43
14:36:03  15993.36   1010.97
14:36:04  14311.08    904.52
14:36:05  14847.32    937.82
14:36:06  16986.31   1073.50
14:36:07  15450.76    976.32
14:36:08  15066.14    952.02
14:36:09  16418.56   1037.91
14:36:10  16121.50   1018.63
14:36:11  15175.61    959.29
14:36:12  15025.03    949.42
14:36:13  17056.36   1077.91
14:36:14  16363.81   1033.66
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
14:36:15  16050.88   1014.39
14:36:16  14797.85    935.50
14:36:17      0.00      0.00
14:36:18  15394.83    973.38
14:36:19  13631.10    861.61
14:36:20  14331.08    905.61
14:36:21  14330.20    905.58
14:36:22  14281.00    902.04
14:36:23  13731.44    867.82
14:36:24  15724.81    994.14
14:36:25  16057.62   1014.24
14:36:26  15130.15    956.28
14:36:27  16085.91   1016.53
14:36:28  16370.56   1034.66
14:36:29  16369.95   1034.26
14:36:30  14992.45    947.36
14:36:31  15454.27    977.03
14:36:32  15144.12    956.87
14:36:33  16291.93   1029.62
14:36:34  13954.97    881.77
14:36:35  16611.54   1049.89
14:36:36  14390.33    909.24
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
14:36:37  14552.38    919.33
14:36:38  14306.43    904.20
14:36:39  14774.78    933.53
14:36:40  13951.54    881.80
14:36:41  13934.02    880.40
14:36:42  13235.79    836.78
14:36:43  15473.38    977.53
14:36:44  14161.41    894.84
14:36:45  15159.71    958.00
14:36:46  15141.51    956.99
14:36:47  15633.25    987.56
14:36:48  14432.35    912.54
14:36:49  15522.53    980.76
14:36:50  14216.70    898.55
14:36:51  16589.56   1048.14
14:36:52  15721.20    993.61
14:36:53  15535.40    981.53
14:36:54  15720.35    993.43
14:36:55  15517.47    981.04
14:36:56  15052.31    950.83
14:36:57  14995.24    947.68
14:36:58  16663.32   1053.02
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
14:36:59  14198.26    897.24
14:37:00  14860.35    938.87
14:37:01  13912.23    879.75
14:37:02  13807.34    872.47
14:37:03  15018.07    948.83
14:37:04  15572.67    983.95
14:37:05  15767.20    996.68
14:37:06  16861.67   1065.19
14:37:07  14608.29    923.63
14:37:08  16448.73   1039.03
14:37:09  14371.53    908.55
14:37:10  14495.35    915.71
14:37:11  15239.20    962.95
14:37:12  15450.62    976.46
14:37:13  16076.67   1016.16
14:37:14  15256.72    963.75
14:37:15  15972.12   1009.77
14:37:16  13646.89    862.03
14:37:17   8159.84    516.82
14:37:18      0.00      0.00
14:37:19   7194.05    454.91
14:37:20  16314.45   1031.11
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
14:37:21  15566.86    983.59
14:37:22  14647.44    925.63
14:37:23  15465.99    977.50
14:37:24  15725.33    993.82
14:37:25  15757.91    995.71
14:37:26  16870.72   1066.41
14:37:27  18370.11   1160.88
14:37:28  17491.51   1105.12
14:37:29  15718.84    993.19
14:37:30  14295.15    903.29
14:37:31  14775.03    933.84
14:37:32  13787.98    871.15
14:37:33  12188.59    770.24
14:37:34  14230.32    899.70
14:37:35  14965.04    945.77
14:37:36  13180.91    832.52
14:37:37  12218.14    772.11
14:37:38  12020.81    759.79
14:37:39  10172.19    643.11
14:37:40   8807.55    556.51
14:37:41   9327.33    589.35
14:37:42   9685.05    611.75
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
14:37:43   8609.62    544.49
14:37:44   8351.11    527.52
14:37:45  11852.97    748.82
14:37:46  12923.71    816.75
14:37:47  13676.70    864.42
14:37:48  13024.97    822.81
14:37:49  13178.98    832.83
14:37:50  13270.87    838.76
14:37:51  12529.05    791.69
14:37:52  13134.69    829.96
14:37:53  10908.34    689.41
14:37:54  10726.23    677.83
14:37:55  11602.86    733.23
14:37:56  10290.60    650.30
